"Estacion","Fecha inicial","Fecha final","PST"
"MED-Univ. Medellín (S)","2008-04-09","","115.59735359"
"MED-Univ. Medellín (S)","2008-04-06","","81.72812422"
"MED-Univ. Medellín (S)","2008-04-03","","108.41162015"
"MED-Univ. Medellín (S)","2008-03-31","","56.12123995"
"MED-Univ. Medellín (S)","2008-03-28","","117.59012162"
"MED-Univ. Medellín (S)","2007-12-29","","60.75707385"
"MED-Univ. Medellín (S)","2007-12-26","","84.72554652"
"MED-Univ. Medellín (S)","2007-12-23","","29.44500821"
"MED-Univ. Medellín (S)","2007-12-20","","80.13344306"
"MED-Univ. Medellín (S)","2007-12-17","","57.63484544"
"MED-Univ. Medellín (S)","2007-12-14","","111.12387826"
"MED-Univ. Medellín (S)","2007-12-11","","84.45468831"
"MED-Univ. Medellín (S)","2007-12-08","","100.78018562"
"MED-Univ. Medellín (S)","2007-12-05","","96.82018912"
"MED-Univ. Medellín (S)","2007-12-02","","49.36275536"
"MED-Univ. Medellín (S)","2007-11-29","","94.88642417"
"MED-Univ. Medellín (S)","2007-11-26","","79.76046519"
"MED-Univ. Medellín (S)","2007-11-23","","93.19280247"
"MED-Univ. Medellín (S)","2007-11-20","","119.11503298"
"MED-Univ. Medellín (S)","2007-11-17","","88.99751653"
"MED-Univ. Medellín (S)","2007-11-14","","116.71540157"
"MED-Univ. Medellín (S)","2007-11-11","","78.5477759"
"MED-Univ. Medellín (S)","2007-11-08","","104.49494562"
"MED-Univ. Medellín (S)","2007-11-05","","79.06384488"
"MED-Univ. Medellín (S)","2007-11-02","","128.72950957"
"MED-Univ. Medellín (S)","2007-10-30","","113.15659998"
"MED-Univ. Medellín (S)","2007-10-27","","57.18348101"
"MED-Univ. Medellín (S)","2007-10-24","","91.96953489"
"MED-Univ. Medellín (S)","2007-10-21","","72.14965802"
"MED-Univ. Medellín (S)","2007-10-18","","71.02055251"
"MED-Univ. Medellín (S)","2007-10-15","","65.05187639"
"MED-Univ. Medellín (S)","2007-10-12","","107.47837752"
"MED-Univ. Medellín (S)","2007-10-09","","79.16239414"
"MED-Univ. Medellín (S)","2007-10-06","","86.64090118"
"MED-Univ. Medellín (S)","2007-10-03","","92.66672232"
"MED-Univ. Medellín (S)","2007-09-30","","87.08280611"
"MED-Univ. Medellín (S)","2007-09-27","","125.35496249"
"MED-Univ. Medellín (S)","2007-09-24","","75.4214407"
"MED-Univ. Medellín (S)","2007-09-21","","80.93289745"
"MED-Univ. Medellín (S)","2007-09-18","","74.60583053"
"MED-Univ. Medellín (S)","2007-09-15","","71.15846976"
"MED-Univ. Medellín (S)","2007-09-12","","96.31109633"
"MED-Univ. Medellín (S)","2007-09-09","","77.34023883"
"MED-Univ. Medellín (S)","2007-09-06","","87.27331497"
"MED-Univ. Medellín (S)","2007-09-03","","73.46551377"
"MED-Univ. Medellín (S)","2007-08-31","","131.22715715"
"MED-Univ. Medellín (S)","2007-08-28","","121.90115648"
"MED-Univ. Medellín (S)","2007-08-25","","63.41051435"
"MED-Univ. Medellín (S)","2007-08-19","","64.17829794"
"MED-Univ. Medellín (S)","2007-08-16","","74.56735638"
"MED-Univ. Medellín (S)","2007-08-13","","97.12233255"
"MED-Univ. Medellín (S)","2007-08-10","","91.09635422"
"MED-Univ. Medellín (S)","2007-08-07","","46.84782996"
"MED-Univ. Medellín (S)","2007-08-04","","88.26036243"
"MED-Univ. Medellín (S)","2007-08-01","","109.03859364"
"MED-Univ. Medellín (S)","2007-07-29","","61.24714768"
"MED-Univ. Medellín (S)","2007-07-26","","91.2867877"
"MED-Univ. Medellín (S)","2007-07-23","","66.7289626"
"MED-Univ. Medellín (S)","2007-07-20","","65.90322839"
"MED-Univ. Medellín (S)","2007-07-17","","77.52563913"
"MED-Univ. Medellín (S)","2007-07-14","","70.21876072"
"MED-Univ. Medellín (S)","2007-07-11","","102.68753581"
"MED-Univ. Medellín (S)","2007-07-08","","52.55410256"
"MED-Univ. Medellín (S)","2007-07-05","","140.37281384"
"MED-Univ. Medellín (S)","2007-07-02","","74.78874139"
"MED-Univ. Medellín (S)","2007-06-29","","106.59562052"
"MED-Univ. Medellín (S)","2007-06-26","","78.15435254"
"MED-Univ. Medellín (S)","2007-06-23","","76.74832291"
"MED-Univ. Medellín (S)","2007-06-20","","109.03670769"
"MED-Univ. Medellín (S)","2007-06-17","","45.12954605"
"MED-Univ. Medellín (S)","2007-06-14","","93.36633142"
"MED-Univ. Medellín (S)","2007-06-11","","55.1011379"
"MED-Univ. Medellín (S)","2007-06-08","","97.26178748"
"MED-Univ. Medellín (S)","2007-06-05","","108.16426912"
"MED-Univ. Medellín (S)","2007-06-02","","77.07309351"
"MED-Univ. Medellín (S)","2007-05-30","","95.82983218"
"MED-Univ. Medellín (S)","2007-05-27","","73.25012209"
"MED-Univ. Medellín (S)","2007-05-24","","111.29332141"
"MED-Univ. Medellín (S)","2007-05-21","","43.28922765"
"MED-Univ. Medellín (S)","2007-05-18","","63.7716034"
"MED-Univ. Medellín (S)","2007-05-15","","65.62457894"
"MED-Univ. Medellín (S)","2007-05-12","","87.28200395"
"MED-Univ. Medellín (S)","2007-05-09","","118.04497979"
"MED-Univ. Medellín (S)","2007-05-06","","42.26925221"
"MED-Univ. Medellín (S)","2007-05-03","","82.09834179"
"MED-Univ. Medellín (S)","2007-04-30","","72.54409177"
"MED-Univ. Medellín (S)","2007-04-27","","97.44495007"
"MED-Univ. Medellín (S)","2007-04-24","","79.57668404"
"MED-Univ. Medellín (S)","2007-04-21","","127.25687936"
"MED-Univ. Medellín (S)","2007-04-18","","95.3405017"
"MED-Univ. Medellín (S)","2007-04-15","","85.7119322"
"MED-Univ. Medellín (S)","2007-04-12","","90.75579019"
"MED-Univ. Medellín (S)","2007-04-09","","94.12976411"
"MED-Univ. Medellín (S)","2007-04-06","","36.84261716"
"MED-Univ. Medellín (S)","2007-04-03","","97.40405958"
"MED-Univ. Medellín (S)","2007-03-31","","64.62800987"
"MED-Univ. Medellín (S)","2007-03-28","","79.59322685"
"MED-Univ. Medellín (S)","2007-03-25","","56.9540709"
"MED-Univ. Medellín (S)","2007-03-22","","72.81290644"
"MED-Univ. Medellín (S)","2007-03-19","","60.86223009"
"MED-Univ. Medellín (S)","2007-03-16","","148.08248909"
"MED-Univ. Medellín (S)","2007-03-13","","139.31569581"
"MED-Univ. Medellín (S)","2007-03-10","","91.17049611"
"MED-Univ. Medellín (S)","2007-03-07","","108.70013537"
"MED-Univ. Medellín (S)","2007-03-04","","87.53585128"
"MED-Univ. Medellín (S)","2007-03-01","","157.63803386"
"MED-Univ. Medellín (S)","2007-02-26","","123.36491291"
"MED-Univ. Medellín (S)","2007-02-23","","132.56695533"
"MED-Univ. Medellín (S)","2007-02-20","","103.26209045"
"MED-Univ. Medellín (S)","2007-02-17","","104.20200175"
"MED-Univ. Medellín (S)","2007-02-14","","100.45250964"
"MED-Univ. Medellín (S)","2007-02-05","","124.75370095"
"MED-Univ. Medellín (S)","2007-02-02","","120.23962257"
"MED-Univ. Medellín (S)","2007-01-30","","118.90654836"
"MED-Univ. Medellín (S)","2007-01-27","","59.80617482"
"MED-Univ. Medellín (S)","2007-01-24","","101.82354692"
"MED-Univ. Medellín (S)","2007-01-21","","52.66957622"
"MED-Univ. Medellín (S)","2007-01-18","","75.28020892"
"MED-Univ. Medellín (S)","2006-09-08","","78.55207551"
"MED-Univ. Medellín (S)","2006-09-05","","86.81937743"
"MED-Univ. Medellín (S)","2006-09-02","","87.73052947"
"MED-Univ. Medellín (S)","2006-08-30","","121.97556993"
"MED-Univ. Medellín (S)","2006-08-27","","64.06285849"
"MED-Univ. Medellín (S)","2006-08-24","","115.43320858"
"MED-Univ. Medellín (S)","2006-08-21","","43.88773159"
"MED-Univ. Medellín (S)","2006-08-18","","99.62386166"
"MED-Univ. Medellín (S)","2006-08-15","","90.17874767"
"MED-Univ. Medellín (S)","2006-08-12","","86.40315497"
"MED-Univ. Medellín (S)","2006-08-06","","68.35770644"
"MED-Univ. Medellín (S)","2006-08-03","","45.11441543"
"MED-Univ. Medellín (S)","2006-07-31","","58.58292187"
"MED-Univ. Medellín (S)","2006-07-28","","83.5847936"
"MED-Univ. Medellín (S)","2006-07-25","","64.96290885"
"MED-Univ. Medellín (S)","2006-07-22","","49.04367258"
"MED-Univ. Medellín (S)","2006-07-19","","77.84110112"
"MED-Univ. Medellín (S)","2006-07-16","","49.29530357"
"MED-Univ. Medellín (S)","2006-07-13","","87.83075968"
"MED-Univ. Medellín (S)","2006-07-10","","87.29907132"
"MED-Univ. Medellín (S)","2006-07-07","","102.75660151"
"MED-Univ. Medellín (S)","2006-07-04","","75.19143162"
"MED-Univ. Medellín (S)","2006-07-01","","90.14193309"
"MED-Univ. Medellín (S)","2006-06-28","","99.12230216"
"MED-Univ. Medellín (S)","2006-06-25","","65.22559988"
"MED-Univ. Medellín (S)","2006-06-22","","99.18174676"
"MED-Univ. Medellín (S)","2006-06-19","","33.41399522"
"MED-Univ. Medellín (S)","2006-06-16","","58.92651679"
"MED-Univ. Medellín (S)","2006-06-13","","129.91771551"
"MED-Univ. Medellín (S)","2006-06-10","","78.1419309"
"MED-Univ. Medellín (S)","2006-06-07","","64.30321861"
"MED-Univ. Medellín (S)","2006-06-04","","53.587986"
"MED-Univ. Medellín (S)","2006-06-01","","92.73045876"
"MED-Univ. Medellín (S)","2006-05-26","","84.70067859"
"MED-Univ. Medellín (S)","2006-05-23","","83.67794135"
"MED-Univ. Medellín (S)","2006-05-20","","74.64299284"
"MED-Univ. Medellín (S)","2006-05-17","","50.98028121"
"MED-Univ. Medellín (S)","2006-05-14","","57.49423886"
"MED-Univ. Medellín (S)","2006-05-11","","100.47228776"
"MED-Univ. Medellín (S)","2006-05-08","","92.24829848"
"MED-Univ. Medellín (S)","2006-05-05","","75.10753406"
"MED-Univ. Medellín (S)","2006-05-02","","62.98153957"
"MED-Univ. Medellín (S)","2006-04-29","","65.71796931"
"MED-Univ. Medellín (S)","2006-04-26","","63.49137744"
"MED-Univ. Medellín (S)","2006-04-23","","89.37480626"
"MED-Univ. Medellín (S)","2006-04-20","","101.6932243"
"MED-Univ. Medellín (S)","2006-04-17","","84.32389043"
"MED-Univ. Medellín (S)","2006-04-11","","76.06575003"
"MED-Univ. Medellín (S)","2006-04-08","","72.36630845"
"MED-Univ. Medellín (S)","2006-04-05","","99.02221197"
"MED-Univ. Medellín (S)","2006-04-02","","74.52656495"
"MED-Univ. Medellín (S)","2006-03-30","","113.53861449"
"MED-Univ. Medellín (S)","2006-03-27","","102.78549582"
"MED-Univ. Medellín (S)","2006-03-24","","58.53668518"
"MED-Univ. Medellín (S)","2006-03-21","","93.00941572"
"MED-Univ. Medellín (S)","2006-03-18","","84.12502537"
"MED-Univ. Medellín (S)","2006-03-15","","109.45064694"
"MED-Univ. Medellín (S)","2006-03-12","","69.06481848"
"MED-Univ. Medellín (S)","2006-03-09","","66.46212335"
"MED-Univ. Medellín (S)","2006-03-06","","67.90865581"
"MED-Univ. Medellín (S)","2006-03-03","","98.58149487"
"MED-Univ. Medellín (S)","2006-02-28","","104.9952048"
"MED-Univ. Medellín (S)","2006-02-25","","110.79338476"
"MED-Univ. Medellín (S)","2006-02-22","","134.41988421"
"MED-Univ. Medellín (S)","2006-02-19","","60.10681583"
"MED-Univ. Medellín (S)","2006-02-16","","111.3033214"
"MED-Univ. Medellín (S)","2006-02-10","","79.52097782"
"MED-Univ. Medellín (S)","2006-02-07","","86.4601268"
"MED-Univ. Medellín (S)","2006-02-04","","72.73387037"
"MED-Univ. Medellín (S)","2006-02-01","","86.73445575"
"MED-Univ. Medellín (S)","2006-01-29","","44.50708446"
"MED-Univ. Medellín (S)","2006-01-26","","78.83975458"
"MED-Univ. Medellín (S)","2006-01-23","","84.57427765"
"MED-Univ. Medellín (S)","2006-01-20","","87.55034785"
"MED-Univ. Medellín (S)","2006-01-17","","81.23566418"
"MED-Univ. Medellín (S)","2006-01-14","","86.51362381"
"MED-Univ. Medellín (S)","2006-01-11","","90.12070375"
"MED-Univ. Medellín (S)","2005-12-15","","113.09831859"
"MED-Univ. Medellín (S)","2005-12-09","","69.58884977"
"MED-Univ. Medellín (S)","2005-12-06","","99.64722242"
"MED-Univ. Medellín (S)","2005-12-03","","64.26547502"
"MED-Univ. Medellín (S)","2005-11-30","","72.1516029"
"MED-Univ. Medellín (S)","2005-11-27","","45.66373742"
"MED-Univ. Medellín (S)","2005-11-24","","72.87274873"
"MED-Univ. Medellín (S)","2005-11-21","","88.82242315"
"MED-Univ. Medellín (S)","2005-11-18","","91.93650581"
"MED-Univ. Medellín (S)","2005-11-15","","71.14685857"
"MED-Univ. Medellín (S)","2005-11-12","","94.24338583"
"MED-Univ. Medellín (S)","2005-11-09","","76.73208839"
"MED-Univ. Medellín (S)","2005-11-03","","77.70206571"
"MED-Univ. Medellín (S)","2005-07-24","","60.53157469"
"MED-Univ. Medellín (S)","2005-07-21","","60.64767178"
"MED-Univ. Medellín (S)","2005-07-18","","61.08100066"
"MED-Univ. Medellín (S)","2005-07-15","","79.93104701"
"MED-Univ. Medellín (S)","2005-07-12","","89.2619312"
"MED-Univ. Medellín (S)","2005-07-09","","82.22028737"
"MED-Univ. Medellín (S)","2005-07-06","","64.69606991"
"MED-Univ. Medellín (S)","2005-07-03","","34.80443037"
"MED-Univ. Medellín (S)","2005-06-30","","64.28655082"
"MED-Univ. Medellín (S)","2005-06-27","","81.30706179"
"MED-Univ. Medellín (S)","2005-06-24","","99.31424457"
"MED-Univ. Medellín (S)","2005-06-21","","124.78515267"
"MED-Univ. Medellín (S)","2005-06-18","","57.97349487"
"MED-Univ. Medellín (S)","2005-06-15","","73.30780866"
"MED-Univ. Medellín (S)","2005-06-12","","44.3759549"
"MED-Univ. Medellín (S)","2005-06-09","","92.44662143"
"MED-Univ. Medellín (S)","2005-06-06","","41.78184796"
"MED-Univ. Medellín (S)","2005-06-03","","66.10521057"
"MED-Univ. Medellín (S)","2005-05-31","","97.55965202"
"MED-Univ. Medellín (S)","2005-05-28","","65.20168382"
"MED-Univ. Medellín (S)","2005-05-25","","78.69037065"
"MED-Univ. Medellín (S)","2005-05-22","","56.9106874"
"MED-Univ. Medellín (S)","2005-05-19","","101.2588885"
