"Estacion","Fecha inicial","Fecha final","O3"
"MED-Villahermosa","2015-06-30","","37.81666667"
"MED-Villahermosa","2015-06-29","","26.65833333"
"MED-Villahermosa","2015-06-28","","25.9375"
"MED-Villahermosa","2015-06-27","","38.07916667"
"MED-Villahermosa","2015-06-26","","32.43333333"
"MED-Villahermosa","2015-06-25","","31.19583333"
"MED-Villahermosa","2015-06-24","","31.5875"
"MED-Villahermosa","2015-06-23","","27.84166667"
"MED-Villahermosa","2015-06-22","","25.24166667"
"MED-Villahermosa","2015-06-21","","33.27916667"
"MED-Villahermosa","2015-06-20","","31.65416667"
"MED-Villahermosa","2015-06-19","","29.645"
"MED-Villahermosa","2015-06-18","","33.98333333"
"MED-Villahermosa","2015-06-17","","25.51666667"
"MED-Villahermosa","2015-06-16","","31.32916667"
"MED-Villahermosa","2015-06-15","","29.1875"
"MED-Villahermosa","2015-06-14","","27.40416667"
"MED-Villahermosa","2015-06-13","","30.65"
"MED-Villahermosa","2015-06-12","","27.31666667"
"MED-Villahermosa","2015-06-11","","29.25416667"
"MED-Villahermosa","2015-06-10","","30.70416667"
"MED-Villahermosa","2015-06-09","","25.50416667"
"MED-Villahermosa","2015-06-08","","30.075"
"MED-Villahermosa","2015-06-07","","28.34166667"
"MED-Villahermosa","2015-06-06","","29.63333333"
"MED-Villahermosa","2015-06-05","","18.22083333"
"MED-Villahermosa","2015-06-04","","28.54166667"
"MED-Villahermosa","2015-06-03","","31.1375"
"MED-Villahermosa","2015-06-02","","27.4875"
"MED-Villahermosa","2015-06-01","","23.59583333"
"MED-Villahermosa","2015-05-31","","28.025"
"MED-Villahermosa","2015-05-30","","30.54166667"
"MED-Villahermosa","2015-05-29","","25.43333333"
"MED-Villahermosa","2015-05-28","","17.825"
"MED-Villahermosa","2015-05-27","","24.0375"
"MED-Villahermosa","2015-05-26","","17.675"
"MED-Villahermosa","2015-05-25","","24.07083333"
"MED-Villahermosa","2015-05-24","","29.02083333"
"MED-Villahermosa","2015-05-23","","37.7"
"MED-Villahermosa","2015-05-22","","22.42083333"
"MED-Villahermosa","2015-05-21","","33.95238095"
