"Estacion","Fecha inicial","Fecha final","PM10"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-29","","15.47995127"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-23","","10.62527559"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-20","","12.8388893"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-17","","21.30357387"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-14","","13.11960311"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-11","","18.54576946"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-08","","11.0148492"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-05","","16.0936241"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-09-02","","12.22840999"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-30","","12.81250564"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-27","","8.24514074"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-24","","13.01437835"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-21","","15.51119684"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-18","","3.42904093"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-15","","18.3265216"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-12","","15.64350632"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-09","","12.13290794"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-08-06","","16.91498251"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-31","","14.81879321"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-28","","9.13548051"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-25","","26.35293458"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-22","","16.97540517"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-16","","14.34830679"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-13","","11.58067827"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-10","","22.23453395"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-07","","12.98061328"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-04","","13.36114972"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-07-01","","11.18339402"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-27","","10.97301338"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-25","","15.318994"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-22","","10.76354329"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-19","","10.98689298"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-16","","8.27073364"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-13","","4.44684741"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-10","","15.3062003"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-07","","7.96600683"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-06-04","","17.18067763"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-31","","15.7559147"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-28","","16.91269178"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-25","","10.78766492"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-22","","20.17370022"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-19","","21.93410019"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-16","","24.09636117"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-13","","33.17873018"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-10","","15.65778568"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-07","","15.31757462"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-04","","15.51588666"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-05-01","","17.66217516"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-28","","20.77158273"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-25","","17.41724177"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-22","","24.83542196"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-19","","9.75380393"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-14","","15.59079467"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-11","","12.91738668"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-09","","25.48152469"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-07","","17.89948377"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-04","","20.01117825"
"MEDELLIN -TANQUE MIRAFLORES (S)","2025-04-01","","23.71952142"
