"Estacion","Fecha inicial","Fecha final","DViento"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-31","","232.97582609"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-30","","212.54908333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-29","","165.74179167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-28","","195.77825"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-27","","193.62854167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-26","","183.37820833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-25","","216.16425"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-24","","157.835875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-23","","197.61791667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-22","","168.96795833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-21","","216.03583333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-20","","204.43370833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-19","","153.56391667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-18","","201.14241667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-17","","206.24095833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-16","","232.56895833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-15","","180.07670833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-14","","61.38854167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-13","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-12","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-11","","170.84520833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-10","","209.3165"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-09","","209.58108333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-08","","191.59033333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-07","","190.21854167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-06","","238.86366667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-05","","205.512875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-04","","202.052875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-03","","177.73108333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-02","","213.84620833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-01","","212.70316667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-30","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-29","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-28","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-27","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-26","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-25","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-24","","97.073625"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-23","","136.40575"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-22","","185.16025"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-21","","174.47466667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-20","","212.18879167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-19","","219.41616667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-18","","216.79754167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-17","","216.07729167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-16","","156.56275"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-15","","190.13895833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-14","","164.172875"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-13","","164.80679167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-12","","150.11954167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-11","","180.78891667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-10","","176.57670833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-09","","159.77225"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-08","","151.89233333"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-07","","193.76466667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-06","","205.75616667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-05","","229.389125"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-04","","205.66045833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-03","","176.17595833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-02","","186.15141667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-01","","167.85966667"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-31","","196.8888338"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-30","","140.19237661"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-29","","143.0869791"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-28","","151.48209287"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-27","","155.32384757"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-26","","147.34796703"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-25","","174.45846876"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-24","","190.16686977"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-23","","210.66576866"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-22","","233.95624289"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-21","","153.25029056"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-20","","179.61365895"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-19","","203.72020375"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-18","","187.86817849"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-17","","169.38233967"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-16","","187.0728564"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-15","","182.27267096"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-14","","242.88549123"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-13","","185.35463814"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-12","","163.72074842"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-11","","145.40536978"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-10","","195.07166374"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-09","","188.25469399"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-08","","153.26041674"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-07","","205.53833149"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-06","","178.49054118"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-05","","159.77217285"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-04","","200.03263154"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-03","","144.08227531"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-02","","194.14216686"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-01","","177.52266913"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-31","","144.56525518"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-30","","163.17123731"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-29","","158.45573329"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-28","","176.11760185"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-27","","146.91552326"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-26","","205.10459596"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-25","","226.11997135"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-24","","140.28842892"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-23","","152.01469887"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-22","","128.32174082"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-21","","161.85265198"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-20","","146.11863251"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-19","","119.47734816"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-18","","155.83558132"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-17","","151.46137898"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-16","","132.52141355"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-15","","125.1455266"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-14","","192.04345873"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-13","","189.1785724"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-12","","151.61003837"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-11","","192.22352185"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-10","","205.34898451"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-09","","198.04099968"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-08","","157.48565535"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-07","","149.96761371"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-06","","208.07883823"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-05","","203.9907081"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-04","","233.74283562"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-03","","176.75623279"
