"Estacion","Fecha inicial","Fecha final","O3"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-31","","28.2946287"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-30","","32.16768917"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-29","","14.64099917"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-28","","23.06100417"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-27","","17.82098167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-26","","22.50512042"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-25","","27.524425"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-24","","18.58123458"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-23","","24.77770458"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-22","","23.84578208"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-21","","32.91159292"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-20","","48.81150583"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-19","","28.49722167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-18","","31.94697125"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-17","","23.02013125"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-16","","29.1266775"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-15","","22.4233725"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-14","","25.96304417"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-13","","19.78292542"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-12","","25.54613208"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-11","","37.61208125"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-10","","20.30610917"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-09","","40.53047042"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-08","","13.8235225"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-07","","34.16233208"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-06","","24.58968583"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-05","","46.34272833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-04","","29.19207708"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-03","","26.28186083"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-02","","32.91976875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-01","","23.44521875"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-30","","21.98229174"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-29","","41.53596708"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-28","","43.44886167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-27","","23.78855833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-26","","34.08875917"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-25","","40.48959708"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-24","","38.42138208"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-23","","48.03490333"
