"Estacion","Fecha inicial","Fecha final","PLiquida"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-31","","0.03347826"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-30","","0.00833333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-29","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-28","","0.03666667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-27","","0.18041667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-26","","0.06458333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-25","","0.12416667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-24","","0.13708333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-23","","0.06166667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-22","","0.16333333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-21","","0.01875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-20","","0.19458333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-19","","0.00916667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-18","","0.0025"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-17","","0.03041667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-16","","0.00833333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-15","","0.16375"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-14","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-13","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-12","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-11","","0.17458333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-10","","0.08625"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-09","","0.05041667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-08","","0.03875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-07","","0.01333333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-06","","0.02916667"
