"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-31","","20.48626087"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-30","","20.11470833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-29","","20.936125"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-28","","19.7995"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-27","","19.05716667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-26","","19.91954167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-25","","19.55745833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-24","","18.186875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-23","","18.25725"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-22","","18.056875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-21","","19.04370833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-20","","19.08858333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-19","","20.52883333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-18","","19.94595833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-17","","17.66983333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-16","","18.79425"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-15","","18.24608333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-14","","6.40608333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-13","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-12","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-11","","17.595875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-10","","18.10925"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-09","","19.16454167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-08","","17.5965"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-07","","20.01204167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-06","","19.12025"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-05","","20.01720833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-04","","19.53970833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-03","","19.88258333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-02","","20.38433333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-01","","17.60020833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-30","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-29","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-28","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-27","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-26","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-25","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-24","","8.06583333"
