"Estacion","Fecha inicial","Fecha final","VViento"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-31","","0.76082609"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-30","","0.71408333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-29","","0.77341667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-28","","0.79204167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-27","","0.819875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-26","","0.75333333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-25","","0.80970833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-24","","0.91075"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-23","","0.64275"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-22","","0.80433333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-21","","0.72770833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-20","","0.82166667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-19","","0.92083333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-18","","0.73820833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-17","","0.77445833"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-16","","0.85679167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-15","","0.75741667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-14","","0.42358333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-13","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-12","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-11","","0.70258333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-10","","0.648375"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-09","","0.78858333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-08","","0.75183333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-07","","0.87116667"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-06","","0.78483333"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-05","","1.01875"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-04","","0.747125"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-03","","0.93854167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-02","","0.85704167"
"MEDELLIN -TANQUE MIRAFLORES","2025-10-01","","0.71895833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-30","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-29","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-28","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-27","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-26","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-25","","0.0"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-24","","0.450125"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-23","","0.9235"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-22","","0.91033333"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-21","","1.04066667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-20","","0.84466667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-19","","0.62441667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-18","","0.66416667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-17","","0.93558333"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-16","","0.96558333"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-15","","0.94770833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-14","","1.00070833"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-13","","1.00016667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-12","","0.90258333"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-11","","1.02683333"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-10","","1.1125"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-09","","0.969375"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-08","","0.67841667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-07","","0.74429167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-06","","0.64054167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-05","","0.85641667"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-04","","0.70879167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-03","","0.80554167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-02","","0.58629167"
"MEDELLIN -TANQUE MIRAFLORES","2025-09-01","","0.77875"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-31","","0.91140622"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-30","","1.04585835"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-29","","0.92929165"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-28","","1.01074028"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-27","","0.83407651"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-26","","0.95690864"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-25","","0.82886145"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-24","","0.95093658"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-23","","0.98041104"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-22","","0.53385202"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-21","","0.84395785"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-20","","0.82280671"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-19","","0.78647762"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-18","","0.61462504"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-17","","0.66796815"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-16","","0.90759774"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-15","","0.88237052"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-14","","0.96744674"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-13","","0.84096466"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-12","","0.88189068"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-11","","0.85329873"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-10","","0.87788407"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-09","","0.74704557"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-08","","0.88301722"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-07","","0.72253672"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-06","","0.78276611"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-05","","1.07748715"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-04","","0.84759417"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-03","","0.93160503"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-02","","0.84614058"
"MEDELLIN -TANQUE MIRAFLORES","2025-08-01","","0.94124657"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-31","","0.97228228"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-30","","0.84514621"
"MEDELLIN -TANQUE MIRAFLORES","2025-07-29","","0.78710721"
