"Estacion","Fecha inicial","Fecha final","NO2"
"MEDELLÍN - ALTAVISTA","2025-10-31","","27.13603174"
"MEDELLÍN - ALTAVISTA","2025-10-30","","26.61364042"
"MEDELLÍN - ALTAVISTA","2025-10-29","","26.52378125"
"MEDELLÍN - ALTAVISTA","2025-10-28","","29.38689458"
"MEDELLÍN - ALTAVISTA","2025-10-27","","16.72505125"
"MEDELLÍN - ALTAVISTA","2025-10-26","","19.72698042"
"MEDELLÍN - ALTAVISTA","2025-10-25","","22.35341167"
"MEDELLÍN - ALTAVISTA","2025-10-24","","29.1987425"
"MEDELLÍN - ALTAVISTA","2025-10-23","","36.08567708"
"MEDELLÍN - ALTAVISTA","2025-10-22","","31.27204875"
"MEDELLÍN - ALTAVISTA","2025-10-21","","28.52828625"
"MEDELLÍN - ALTAVISTA","2025-10-20","","27.53138708"
"MEDELLÍN - ALTAVISTA","2025-10-19","","21.39503958"
"MEDELLÍN - ALTAVISTA","2025-10-18","","31.5212825"
"MEDELLÍN - ALTAVISTA","2025-10-17","","34.89142208"
"MEDELLÍN - ALTAVISTA","2025-10-16","","30.11664792"
"MEDELLÍN - ALTAVISTA","2025-10-15","","32.62423625"
"MEDELLÍN - ALTAVISTA","2025-10-14","","28.85757042"
"MEDELLÍN - ALTAVISTA","2025-10-13","","19.14151792"
"MEDELLÍN - ALTAVISTA","2025-10-12","","24.81772"
"MEDELLÍN - ALTAVISTA","2025-10-11","","36.68365125"
"MEDELLÍN - ALTAVISTA","2025-10-10","","22.72456042"
"MEDELLÍN - ALTAVISTA","2025-10-09","","31.2579775"
"MEDELLÍN - ALTAVISTA","2025-10-08","","34.87444417"
"MEDELLÍN - ALTAVISTA","2025-10-07","","29.22836833"
"MEDELLÍN - ALTAVISTA","2025-10-06","","29.44095625"
"MEDELLÍN - ALTAVISTA","2025-10-05","","20.12367833"
"MEDELLÍN - ALTAVISTA","2025-10-04","","28.09444958"
"MEDELLÍN - ALTAVISTA","2025-10-03","","32.27155458"
"MEDELLÍN - ALTAVISTA","2025-10-02","","33.54044917"
"MEDELLÍN - ALTAVISTA","2025-10-01","","30.06068792"
"MEDELLÍN - ALTAVISTA","2025-09-30","","33.56218435"
"MEDELLÍN - ALTAVISTA","2025-09-29","","32.62330417"
"MEDELLÍN - ALTAVISTA","2025-09-28","","22.93544958"
"MEDELLÍN - ALTAVISTA","2025-09-27","","35.00221792"
"MEDELLÍN - ALTAVISTA","2025-09-26","","31.74255417"
"MEDELLÍN - ALTAVISTA","2025-09-25","","30.32575042"
"MEDELLÍN - ALTAVISTA","2025-09-24","","26.2137375"
"MEDELLÍN - ALTAVISTA","2025-09-23","","25.81922458"
"MEDELLÍN - ALTAVISTA","2025-09-22","","23.93774667"
"MEDELLÍN - ALTAVISTA","2025-09-21","","21.99433792"
"MEDELLÍN - ALTAVISTA","2025-09-20","","25.39211083"
"MEDELLÍN - ALTAVISTA","2025-09-19","","31.54912167"
"MEDELLÍN - ALTAVISTA","2025-09-18","","29.5744975"
"MEDELLÍN - ALTAVISTA","2025-09-17","","29.3220825"
"MEDELLÍN - ALTAVISTA","2025-09-16","","27.9735225"
"MEDELLÍN - ALTAVISTA","2025-09-15","","24.58508125"
"MEDELLÍN - ALTAVISTA","2025-09-14","","18.00586083"
"MEDELLÍN - ALTAVISTA","2025-09-13","","25.30000833"
"MEDELLÍN - ALTAVISTA","2025-09-12","","31.74017292"
"MEDELLÍN - ALTAVISTA","2025-09-11","","25.77946958"
"MEDELLÍN - ALTAVISTA","2025-09-10","","22.44991708"
"MEDELLÍN - ALTAVISTA","2025-09-09","","23.21589083"
"MEDELLÍN - ALTAVISTA","2025-09-08","","25.05654958"
"MEDELLÍN - ALTAVISTA","2025-09-07","","16.21881167"
"MEDELLÍN - ALTAVISTA","2025-09-06","","28.89094833"
"MEDELLÍN - ALTAVISTA","2025-09-05","","24.7894125"
"MEDELLÍN - ALTAVISTA","2025-09-04","","27.65336542"
"MEDELLÍN - ALTAVISTA","2025-09-03","","25.89132458"
"MEDELLÍN - ALTAVISTA","2025-09-02","","28.707405"
"MEDELLÍN - ALTAVISTA","2025-09-01","","24.21340042"
"MEDELLÍN - ALTAVISTA","2025-08-31","","20.95247698"
"MEDELLÍN - ALTAVISTA","2025-08-30","","21.21595269"
"MEDELLÍN - ALTAVISTA","2025-08-29","","25.50525607"
"MEDELLÍN - ALTAVISTA","2025-08-28","","27.14496955"
"MEDELLÍN - ALTAVISTA","2025-08-27","","26.35568602"
"MEDELLÍN - ALTAVISTA","2025-08-26","","27.27128689"
"MEDELLÍN - ALTAVISTA","2025-08-25","","26.40251322"
"MEDELLÍN - ALTAVISTA","2025-08-24","","13.65673551"
"MEDELLÍN - ALTAVISTA","2025-08-23","","22.86516877"
"MEDELLÍN - ALTAVISTA","2025-08-22","","29.39408719"
"MEDELLÍN - ALTAVISTA","2025-08-21","","24.3878403"
"MEDELLÍN - ALTAVISTA","2025-08-20","","20.27836656"
"MEDELLÍN - ALTAVISTA","2025-08-19","","23.21510743"
"MEDELLÍN - ALTAVISTA","2025-08-18","","15.31369266"
"MEDELLÍN - ALTAVISTA","2025-08-17","","23.66741155"
"MEDELLÍN - ALTAVISTA","2025-08-16","","20.60003621"
"MEDELLÍN - ALTAVISTA","2025-08-15","","28.48416677"
"MEDELLÍN - ALTAVISTA","2025-08-14","","25.69224188"
"MEDELLÍN - ALTAVISTA","2025-08-13","","24.71034047"
"MEDELLÍN - ALTAVISTA","2025-08-12","","20.11226806"
"MEDELLÍN - ALTAVISTA","2025-08-11","","27.75904355"
"MEDELLÍN - ALTAVISTA","2025-08-10","","21.9435819"
"MEDELLÍN - ALTAVISTA","2025-08-09","","16.69598287"
"MEDELLÍN - ALTAVISTA","2025-08-08","","23.48435862"
"MEDELLÍN - ALTAVISTA","2025-08-07","","17.97512269"
"MEDELLÍN - ALTAVISTA","2025-08-06","","17.59747274"
"MEDELLÍN - ALTAVISTA","2025-08-05","","18.40309244"
"MEDELLÍN - ALTAVISTA","2025-08-04","","19.74697503"
"MEDELLÍN - ALTAVISTA","2025-08-03","","13.85943612"
"MEDELLÍN - ALTAVISTA","2025-08-02","","19.03951335"
"MEDELLÍN - ALTAVISTA","2025-08-01","","18.88324247"
"MEDELLÍN - ALTAVISTA","2025-07-31","","19.2564183"
"MEDELLÍN - ALTAVISTA","2025-07-30","","20.63860052"
"MEDELLÍN - ALTAVISTA","2025-07-29","","21.6288557"
"MEDELLÍN - ALTAVISTA","2025-07-28","","19.75351733"
"MEDELLÍN - ALTAVISTA","2025-07-27","","13.55104013"
"MEDELLÍN - ALTAVISTA","2025-07-26","","23.61902203"
"MEDELLÍN - ALTAVISTA","2025-07-25","","22.60400953"
"MEDELLÍN - ALTAVISTA","2025-07-24","","20.73989258"
"MEDELLÍN - ALTAVISTA","2025-07-23","","20.18152484"
"MEDELLÍN - ALTAVISTA","2025-07-22","","18.70140568"
