"Estacion","Fecha inicial","Fecha final","O3"
"MEDELLÍN - ALTAVISTA","2025-10-31","","32.43177"
"MEDELLÍN - ALTAVISTA","2025-10-30","","28.9631825"
"MEDELLÍN - ALTAVISTA","2025-10-29","","28.7833375"
"MEDELLÍN - ALTAVISTA","2025-10-28","","17.37954417"
"MEDELLÍN - ALTAVISTA","2025-10-27","","13.52923083"
"MEDELLÍN - ALTAVISTA","2025-10-26","","26.05296708"
"MEDELLÍN - ALTAVISTA","2025-10-25","","21.81844042"
"MEDELLÍN - ALTAVISTA","2025-10-24","","17.75558375"
"MEDELLÍN - ALTAVISTA","2025-10-23","","13.02239583"
"MEDELLÍN - ALTAVISTA","2025-10-22","","19.07172042"
"MEDELLÍN - ALTAVISTA","2025-10-21","","28.17023083"
"MEDELLÍN - ALTAVISTA","2025-10-20","","38.44590792"
"MEDELLÍN - ALTAVISTA","2025-10-19","","26.87861917"
"MEDELLÍN - ALTAVISTA","2025-10-18","","32.21673833"
"MEDELLÍN - ALTAVISTA","2025-10-17","","24.96572417"
"MEDELLÍN - ALTAVISTA","2025-10-16","","26.51892958"
"MEDELLÍN - ALTAVISTA","2025-10-15","","24.09102417"
"MEDELLÍN - ALTAVISTA","2025-10-14","","24.50793667"
"MEDELLÍN - ALTAVISTA","2025-10-13","","16.74191292"
"MEDELLÍN - ALTAVISTA","2025-10-12","","25.06382125"
"MEDELLÍN - ALTAVISTA","2025-10-11","","27.97403625"
"MEDELLÍN - ALTAVISTA","2025-10-10","","17.66566125"
"MEDELLÍN - ALTAVISTA","2025-10-09","","24.76953083"
"MEDELLÍN - ALTAVISTA","2025-10-08","","12.31119208"
"MEDELLÍN - ALTAVISTA","2025-10-07","","35.26592458"
"MEDELLÍN - ALTAVISTA","2025-10-06","","32.9361175"
"MEDELLÍN - ALTAVISTA","2025-10-05","","42.63956125"
"MEDELLÍN - ALTAVISTA","2025-10-04","","28.4808725"
"MEDELLÍN - ALTAVISTA","2025-10-03","","35.07790542"
"MEDELLÍN - ALTAVISTA","2025-10-02","","30.22209583"
"MEDELLÍN - ALTAVISTA","2025-10-01","","25.78320083"
"MEDELLÍN - ALTAVISTA","2025-09-30","","17.17126565"
"MEDELLÍN - ALTAVISTA","2025-09-29","","32.56825292"
"MEDELLÍN - ALTAVISTA","2025-09-28","","38.21701292"
"MEDELLÍN - ALTAVISTA","2025-09-27","","23.71498458"
"MEDELLÍN - ALTAVISTA","2025-09-26","","29.31469833"
