"Estacion","Fecha inicial","Fecha final","PM10"
"MEDELLÍN - ALTAVISTA","2025-10-31","","52.13043478"
"MEDELLÍN - ALTAVISTA","2025-10-30","","57.33333333"
"MEDELLÍN - ALTAVISTA","2025-10-29","","57.25"
"MEDELLÍN - ALTAVISTA","2025-10-28","","62.33333333"
"MEDELLÍN - ALTAVISTA","2025-10-27","","38.79166667"
"MEDELLÍN - ALTAVISTA","2025-10-26","","35.58333333"
"MEDELLÍN - ALTAVISTA","2025-10-25","","23.125"
"MEDELLÍN - ALTAVISTA","2025-10-24","","36.25"
"MEDELLÍN - ALTAVISTA","2025-10-23","","56.0"
"MEDELLÍN - ALTAVISTA","2025-10-22","","62.375"
"MEDELLÍN - ALTAVISTA","2025-10-21","","54.5"
"MEDELLÍN - ALTAVISTA","2025-10-20","","41.70833333"
"MEDELLÍN - ALTAVISTA","2025-10-19","","42.41666667"
"MEDELLÍN - ALTAVISTA","2025-10-18","","48.875"
"MEDELLÍN - ALTAVISTA","2025-10-17","","58.04166667"
"MEDELLÍN - ALTAVISTA","2025-10-16","","51.58333333"
"MEDELLÍN - ALTAVISTA","2025-10-15","","59.125"
"MEDELLÍN - ALTAVISTA","2025-10-14","","50.58333333"
"MEDELLÍN - ALTAVISTA","2025-10-13","","36.91666667"
"MEDELLÍN - ALTAVISTA","2025-10-12","","34.875"
"MEDELLÍN - ALTAVISTA","2025-10-11","","49.75"
"MEDELLÍN - ALTAVISTA","2025-10-10","","43.29166667"
"MEDELLÍN - ALTAVISTA","2025-10-09","","65.375"
"MEDELLÍN - ALTAVISTA","2025-10-08","","61.125"
"MEDELLÍN - ALTAVISTA","2025-10-07","","52.79166667"
"MEDELLÍN - ALTAVISTA","2025-10-06","","47.0"
"MEDELLÍN - ALTAVISTA","2025-10-05","","35.0"
"MEDELLÍN - ALTAVISTA","2025-10-04","","47.625"
"MEDELLÍN - ALTAVISTA","2025-10-03","","53.375"
"MEDELLÍN - ALTAVISTA","2025-10-02","","61.75"
"MEDELLÍN - ALTAVISTA","2025-10-01","","52.54166667"
"MEDELLÍN - ALTAVISTA","2025-09-30","","56.04347826"
"MEDELLÍN - ALTAVISTA","2025-09-29","","46.45833333"
"MEDELLÍN - ALTAVISTA","2025-09-28","","46.41666667"
"MEDELLÍN - ALTAVISTA","2025-09-27","","65.95833333"
"MEDELLÍN - ALTAVISTA","2025-09-26","","66.54166667"
"MEDELLÍN - ALTAVISTA","2025-09-25","","49.16666667"
"MEDELLÍN - ALTAVISTA","2025-09-24","","57.04166667"
"MEDELLÍN - ALTAVISTA","2025-09-23","","44.95833333"
"MEDELLÍN - ALTAVISTA","2025-09-22","","27.66666667"
"MEDELLÍN - ALTAVISTA","2025-09-21","","0.0"
"MEDELLÍN - ALTAVISTA","2025-09-20","","33.625"
"MEDELLÍN - ALTAVISTA","2025-09-19","","43.04166667"
"MEDELLÍN - ALTAVISTA","2025-09-18","","36.41666667"
"MEDELLÍN - ALTAVISTA","2025-09-17","","57.08333333"
"MEDELLÍN - ALTAVISTA","2025-09-16","","66.45833333"
"MEDELLÍN - ALTAVISTA","2025-09-15","","51.20833333"
"MEDELLÍN - ALTAVISTA","2025-09-14","","53.70833333"
"MEDELLÍN - ALTAVISTA","2025-09-13","","59.29166667"
"MEDELLÍN - ALTAVISTA","2025-09-12","","62.04166667"
