"Estacion","Fecha inicial","Fecha final","PM2.5"
"MEDELLÍN - ALTAVISTA","2025-10-31","","13.5146113"
"MEDELLÍN - ALTAVISTA","2025-10-30","","16.01291958"
"MEDELLÍN - ALTAVISTA","2025-10-29","","15.48144458"
"MEDELLÍN - ALTAVISTA","2025-10-28","","18.91104958"
"MEDELLÍN - ALTAVISTA","2025-10-27","","13.00571542"
"MEDELLÍN - ALTAVISTA","2025-10-26","","12.09243708"
"MEDELLÍN - ALTAVISTA","2025-10-25","","14.98468333"
"MEDELLÍN - ALTAVISTA","2025-10-24","","20.07646458"
"MEDELLÍN - ALTAVISTA","2025-10-23","","20.64014042"
"MEDELLÍN - ALTAVISTA","2025-10-22","","25.09207792"
"MEDELLÍN - ALTAVISTA","2025-10-21","","17.573595"
"MEDELLÍN - ALTAVISTA","2025-10-20","","15.43147292"
"MEDELLÍN - ALTAVISTA","2025-10-19","","14.7813325"
"MEDELLÍN - ALTAVISTA","2025-10-18","","18.17818792"
"MEDELLÍN - ALTAVISTA","2025-10-17","","22.126435"
"MEDELLÍN - ALTAVISTA","2025-10-16","","17.16851833"
"MEDELLÍN - ALTAVISTA","2025-10-15","","23.41907208"
"MEDELLÍN - ALTAVISTA","2025-10-14","","16.85039875"
"MEDELLÍN - ALTAVISTA","2025-10-13","","11.84814583"
"MEDELLÍN - ALTAVISTA","2025-10-12","","13.67300333"
"MEDELLÍN - ALTAVISTA","2025-10-11","","18.84411167"
"MEDELLÍN - ALTAVISTA","2025-10-10","","14.34282792"
"MEDELLÍN - ALTAVISTA","2025-10-09","","23.57513792"
"MEDELLÍN - ALTAVISTA","2025-10-08","","20.09217208"
"MEDELLÍN - ALTAVISTA","2025-10-07","","16.05129917"
"MEDELLÍN - ALTAVISTA","2025-10-06","","15.65951583"
"MEDELLÍN - ALTAVISTA","2025-10-05","","12.51276458"
"MEDELLÍN - ALTAVISTA","2025-10-04","","17.83664667"
"MEDELLÍN - ALTAVISTA","2025-10-03","","19.60484917"
"MEDELLÍN - ALTAVISTA","2025-10-02","","19.01527917"
"MEDELLÍN - ALTAVISTA","2025-10-01","","15.40833333"
"MEDELLÍN - ALTAVISTA","2025-09-30","","18.05292826"
"MEDELLÍN - ALTAVISTA","2025-09-29","","17.61480333"
"MEDELLÍN - ALTAVISTA","2025-09-28","","15.94584333"
"MEDELLÍN - ALTAVISTA","2025-09-27","","24.06330792"
"MEDELLÍN - ALTAVISTA","2025-09-26","","24.54204042"
"MEDELLÍN - ALTAVISTA","2025-09-25","","19.52426458"
"MEDELLÍN - ALTAVISTA","2025-09-24","","18.12930625"
"MEDELLÍN - ALTAVISTA","2025-09-23","","13.71650333"
"MEDELLÍN - ALTAVISTA","2025-09-22","","14.07734375"
"MEDELLÍN - ALTAVISTA","2025-09-21","","14.62050125"
"MEDELLÍN - ALTAVISTA","2025-09-20","","13.55817375"
"MEDELLÍN - ALTAVISTA","2025-09-19","","16.75170875"
"MEDELLÍN - ALTAVISTA","2025-09-18","","15.86710125"
"MEDELLÍN - ALTAVISTA","2025-09-17","","19.67090417"
"MEDELLÍN - ALTAVISTA","2025-09-16","","21.90768083"
"MEDELLÍN - ALTAVISTA","2025-09-15","","16.327085"
"MEDELLÍN - ALTAVISTA","2025-09-14","","16.87851375"
"MEDELLÍN - ALTAVISTA","2025-09-13","","16.97013417"
"MEDELLÍN - ALTAVISTA","2025-09-12","","19.97632167"
"MEDELLÍN - ALTAVISTA","2025-09-11","","18.5346725"
"MEDELLÍN - ALTAVISTA","2025-09-10","","13.91335042"
"MEDELLÍN - ALTAVISTA","2025-09-09","","12.18729458"
"MEDELLÍN - ALTAVISTA","2025-09-08","","10.83724042"
"MEDELLÍN - ALTAVISTA","2025-09-07","","9.71759792"
"MEDELLÍN - ALTAVISTA","2025-09-06","","17.17598833"
"MEDELLÍN - ALTAVISTA","2025-09-05","","12.44444375"
"MEDELLÍN - ALTAVISTA","2025-09-04","","17.04719083"
"MEDELLÍN - ALTAVISTA","2025-09-03","","13.82861458"
"MEDELLÍN - ALTAVISTA","2025-09-02","","14.76212917"
"MEDELLÍN - ALTAVISTA","2025-09-01","","16.25"
"MEDELLÍN - ALTAVISTA","2025-08-31","","19.73465217"
"MEDELLÍN - ALTAVISTA","2025-08-30","","20.79474375"
"MEDELLÍN - ALTAVISTA","2025-08-29","","17.06561636"
"MEDELLÍN - ALTAVISTA","2025-08-28","","17.86743409"
"MEDELLÍN - ALTAVISTA","2025-08-27","","16.22697227"
"MEDELLÍN - ALTAVISTA","2025-08-26","","15.46439182"
"MEDELLÍN - ALTAVISTA","2025-08-25","","17.284505"
"MEDELLÍN - ALTAVISTA","2025-08-24","","11.75279174"
"MEDELLÍN - ALTAVISTA","2025-08-23","","15.44169333"
"MEDELLÍN - ALTAVISTA","2025-08-22","","17.7945513"
"MEDELLÍN - ALTAVISTA","2025-08-21","","13.5117625"
"MEDELLÍN - ALTAVISTA","2025-08-20","","13.59071917"
"MEDELLÍN - ALTAVISTA","2025-08-19","","12.71117833"
"MEDELLÍN - ALTAVISTA","2025-08-18","","9.27906409"
"MEDELLÍN - ALTAVISTA","2025-08-17","","18.77753208"
"MEDELLÍN - ALTAVISTA","2025-08-16","","14.58544913"
"MEDELLÍN - ALTAVISTA","2025-08-15","","20.29663625"
"MEDELLÍN - ALTAVISTA","2025-08-14","","23.09061217"
"MEDELLÍN - ALTAVISTA","2025-08-13","","15.83270583"
"MEDELLÍN - ALTAVISTA","2025-08-12","","12.69833333"
"MEDELLÍN - ALTAVISTA","2025-08-11","","15.54030913"
"MEDELLÍN - ALTAVISTA","2025-08-10","","16.74709125"
"MEDELLÍN - ALTAVISTA","2025-08-09","","12.17478208"
"MEDELLÍN - ALTAVISTA","2025-08-08","","16.46956652"
"MEDELLÍN - ALTAVISTA","2025-08-07","","17.08577045"
"MEDELLÍN - ALTAVISTA","2025-08-06","","14.34279542"
"MEDELLÍN - ALTAVISTA","2025-08-05","","15.50702273"
"MEDELLÍN - ALTAVISTA","2025-08-04","","13.03051773"
"MEDELLÍN - ALTAVISTA","2025-08-03","","10.11246136"
"MEDELLÍN - ALTAVISTA","2025-08-02","","19.5929913"
"MEDELLÍN - ALTAVISTA","2025-08-01","","14.9"
"MEDELLÍN - ALTAVISTA","2025-07-31","","13.50615"
"MEDELLÍN - ALTAVISTA","2025-07-30","","14.61589455"
"MEDELLÍN - ALTAVISTA","2025-07-29","","14.78488286"
"MEDELLÍN - ALTAVISTA","2025-07-28","","14.56887619"
"MEDELLÍN - ALTAVISTA","2025-07-27","","11.73646261"
"MEDELLÍN - ALTAVISTA","2025-07-26","","16.99741955"
"MEDELLÍN - ALTAVISTA","2025-07-25","","19.73179583"
"MEDELLÍN - ALTAVISTA","2025-07-24","","16.12423708"
"MEDELLÍN - ALTAVISTA","2025-07-23","","17.85500833"
"MEDELLÍN - ALTAVISTA","2025-07-22","","18.11272042"
"MEDELLÍN - ALTAVISTA","2025-07-21","","16.16326913"
"MEDELLÍN - ALTAVISTA","2025-07-20","","14.16328727"
"MEDELLÍN - ALTAVISTA","2025-07-19","","16.34413826"
"MEDELLÍN - ALTAVISTA","2025-07-18","","15.37891261"
"MEDELLÍN - ALTAVISTA","2025-07-17","","18.27682556"
"MEDELLÍN - ALTAVISTA","2025-07-16","","16.66792174"
"MEDELLÍN - ALTAVISTA","2025-07-15","","15.22711261"
"MEDELLÍN - ALTAVISTA","2025-07-14","","10.62208609"
"MEDELLÍN - ALTAVISTA","2025-07-13","","11.96655667"
"MEDELLÍN - ALTAVISTA","2025-07-12","","14.29506292"
"MEDELLÍN - ALTAVISTA","2025-07-11","","13.38211208"
"MEDELLÍN - ALTAVISTA","2025-07-10","","15.09494583"
"MEDELLÍN - ALTAVISTA","2025-07-09","","16.69792957"
"MEDELLÍN - ALTAVISTA","2025-07-08","","14.69923167"
"MEDELLÍN - ALTAVISTA","2025-07-07","","11.17753435"
"MEDELLÍN - ALTAVISTA","2025-07-06","","11.51380958"
"MEDELLÍN - ALTAVISTA","2025-07-05","","13.77551955"
"MEDELLÍN - ALTAVISTA","2025-07-04","","13.26708208"
"MEDELLÍN - ALTAVISTA","2025-07-03","","16.64967857"
"MEDELLÍN - ALTAVISTA","2025-07-02","","15.65863"
"MEDELLÍN - ALTAVISTA","2025-07-01","","14.52608696"
"MEDELLÍN - ALTAVISTA","2025-06-30","","14.52865158"
"MEDELLÍN - ALTAVISTA","2025-06-29","","14.16355292"
"MEDELLÍN - ALTAVISTA","2025-06-28","","15.02502833"
"MEDELLÍN - ALTAVISTA","2025-06-27","","18.38969917"
"MEDELLÍN - ALTAVISTA","2025-06-26","","14.68295043"
"MEDELLÍN - ALTAVISTA","2025-06-25","","20.68884"
"MEDELLÍN - ALTAVISTA","2025-06-24","","10.71139667"
"MEDELLÍN - ALTAVISTA","2025-06-23","","12.939555"
"MEDELLÍN - ALTAVISTA","2025-06-22","","14.08383522"
"MEDELLÍN - ALTAVISTA","2025-06-21","","14.65277818"
"MEDELLÍN - ALTAVISTA","2025-06-20","","13.20289826"
"MEDELLÍN - ALTAVISTA","2025-06-19","","14.811461"
"MEDELLÍN - ALTAVISTA","2025-06-18","","11.82681619"
"MEDELLÍN - ALTAVISTA","2025-06-17","","11.72182435"
"MEDELLÍN - ALTAVISTA","2025-06-16","","18.63444957"
"MEDELLÍN - ALTAVISTA","2025-06-15","","14.67171"
"MEDELLÍN - ALTAVISTA","2025-06-14","","15.54394348"
"MEDELLÍN - ALTAVISTA","2025-06-13","","12.65111091"
"MEDELLÍN - ALTAVISTA","2025-06-12","","23.75804261"
"MEDELLÍN - ALTAVISTA","2025-06-11","","24.64549167"
"MEDELLÍN - ALTAVISTA","2025-06-10","","15.696058"
"MEDELLÍN - ALTAVISTA","2025-06-09","","14.622441"
"MEDELLÍN - ALTAVISTA","2025-06-05","","22.83740364"
