"Estacion","Fecha inicial","Fecha final","DViento"
"MEDELLÍN - SANTA ELENA","2025-10-31","","99.09917391"
"MEDELLÍN - SANTA ELENA","2025-10-30","","87.333125"
"MEDELLÍN - SANTA ELENA","2025-10-29","","85.56295833"
"MEDELLÍN - SANTA ELENA","2025-10-28","","154.00025"
"MEDELLÍN - SANTA ELENA","2025-10-27","","238.312625"
"MEDELLÍN - SANTA ELENA","2025-10-26","","186.26041667"
"MEDELLÍN - SANTA ELENA","2025-10-25","","194.053"
"MEDELLÍN - SANTA ELENA","2025-10-24","","210.47741667"
"MEDELLÍN - SANTA ELENA","2025-10-23","","201.443125"
"MEDELLÍN - SANTA ELENA","2025-10-22","","212.8475"
"MEDELLÍN - SANTA ELENA","2025-10-21","","157.26054167"
"MEDELLÍN - SANTA ELENA","2025-10-20","","146.96141667"
"MEDELLÍN - SANTA ELENA","2025-10-19","","95.61975"
"MEDELLÍN - SANTA ELENA","2025-10-18","","86.51120833"
"MEDELLÍN - SANTA ELENA","2025-10-17","","112.03666667"
"MEDELLÍN - SANTA ELENA","2025-10-16","","115.32033333"
"MEDELLÍN - SANTA ELENA","2025-10-15","","169.7585"
"MEDELLÍN - SANTA ELENA","2025-10-14","","32.196875"
"MEDELLÍN - SANTA ELENA","2025-10-13","","0.0"
"MEDELLÍN - SANTA ELENA","2025-10-12","","0.0"
"MEDELLÍN - SANTA ELENA","2025-10-11","","175.197625"
"MEDELLÍN - SANTA ELENA","2025-10-10","","206.88008333"
"MEDELLÍN - SANTA ELENA","2025-10-09","","132.88870833"
"MEDELLÍN - SANTA ELENA","2025-10-08","","143.333"
"MEDELLÍN - SANTA ELENA","2025-10-07","","93.02695833"
"MEDELLÍN - SANTA ELENA","2025-10-06","","133.96708333"
"MEDELLÍN - SANTA ELENA","2025-10-05","","106.417125"
"MEDELLÍN - SANTA ELENA","2025-10-04","","104.61595833"
"MEDELLÍN - SANTA ELENA","2025-10-03","","89.8315"
"MEDELLÍN - SANTA ELENA","2025-10-02","","90.73475"
"MEDELLÍN - SANTA ELENA","2025-10-01","","124.77941667"
"MEDELLÍN - SANTA ELENA","2025-09-30","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-29","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-28","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-27","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-26","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-25","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-24","","40.39345833"
"MEDELLÍN - SANTA ELENA","2025-09-23","","87.791375"
"MEDELLÍN - SANTA ELENA","2025-09-22","","79.147"
"MEDELLÍN - SANTA ELENA","2025-09-21","","100.63329167"
"MEDELLÍN - SANTA ELENA","2025-09-20","","93.30916667"
"MEDELLÍN - SANTA ELENA","2025-09-19","","107.89383333"
"MEDELLÍN - SANTA ELENA","2025-09-18","","140.80595833"
"MEDELLÍN - SANTA ELENA","2025-09-17","","111.42325"
"MEDELLÍN - SANTA ELENA","2025-09-16","","89.677875"
"MEDELLÍN - SANTA ELENA","2025-09-15","","90.30308333"
"MEDELLÍN - SANTA ELENA","2025-09-14","","85.52645833"
"MEDELLÍN - SANTA ELENA","2025-09-13","","88.40929167"
"MEDELLÍN - SANTA ELENA","2025-09-12","","114.60883333"
"MEDELLÍN - SANTA ELENA","2025-09-11","","89.76241667"
"MEDELLÍN - SANTA ELENA","2025-09-10","","92.42754167"
"MEDELLÍN - SANTA ELENA","2025-09-09","","90.41441667"
"MEDELLÍN - SANTA ELENA","2025-09-08","","79.01945833"
"MEDELLÍN - SANTA ELENA","2025-09-07","","146.51866667"
"MEDELLÍN - SANTA ELENA","2025-09-06","","170.365625"
"MEDELLÍN - SANTA ELENA","2025-09-05","","86.79458333"
"MEDELLÍN - SANTA ELENA","2025-09-04","","90.861625"
"MEDELLÍN - SANTA ELENA","2025-09-03","","90.78333333"
"MEDELLÍN - SANTA ELENA","2025-09-02","","89.882125"
"MEDELLÍN - SANTA ELENA","2025-09-01","","90.38816667"
"MEDELLÍN - SANTA ELENA","2025-08-31","","102.18800988"
"MEDELLÍN - SANTA ELENA","2025-08-30","","81.94895599"
"MEDELLÍN - SANTA ELENA","2025-08-29","","83.60635453"
"MEDELLÍN - SANTA ELENA","2025-08-28","","88.41893273"
"MEDELLÍN - SANTA ELENA","2025-08-27","","96.79715242"
"MEDELLÍN - SANTA ELENA","2025-08-26","","89.25200229"
"MEDELLÍN - SANTA ELENA","2025-08-25","","83.75823432"
"MEDELLÍN - SANTA ELENA","2025-08-24","","86.88842808"
"MEDELLÍN - SANTA ELENA","2025-08-23","","106.41626032"
"MEDELLÍN - SANTA ELENA","2025-08-22","","129.87263301"
"MEDELLÍN - SANTA ELENA","2025-08-21","","105.45177271"
"MEDELLÍN - SANTA ELENA","2025-08-20","","134.07249097"
"MEDELLÍN - SANTA ELENA","2025-08-19","","100.59814533"
"MEDELLÍN - SANTA ELENA","2025-08-18","","108.3540983"
"MEDELLÍN - SANTA ELENA","2025-08-17","","194.66229411"
"MEDELLÍN - SANTA ELENA","2025-08-16","","211.33990504"
"MEDELLÍN - SANTA ELENA","2025-08-15","","179.21901108"
"MEDELLÍN - SANTA ELENA","2025-08-14","","97.34000938"
"MEDELLÍN - SANTA ELENA","2025-08-13","","90.27520191"
"MEDELLÍN - SANTA ELENA","2025-08-12","","90.33781673"
"MEDELLÍN - SANTA ELENA","2025-08-11","","98.39258627"
"MEDELLÍN - SANTA ELENA","2025-08-10","","128.74578791"
"MEDELLÍN - SANTA ELENA","2025-08-09","","149.19492491"
"MEDELLÍN - SANTA ELENA","2025-08-08","","131.5592496"
