"Estacion","Fecha inicial","Fecha final","PLiquida"
"MEDELLÍN - SANTA ELENA","2025-10-31","","0.11826087"
"MEDELLÍN - SANTA ELENA","2025-10-30","","0.02958333"
"MEDELLÍN - SANTA ELENA","2025-10-29","","0.01791667"
"MEDELLÍN - SANTA ELENA","2025-10-28","","0.005"
"MEDELLÍN - SANTA ELENA","2025-10-27","","0.23875"
"MEDELLÍN - SANTA ELENA","2025-10-26","","0.12333333"
"MEDELLÍN - SANTA ELENA","2025-10-25","","0.055"
"MEDELLÍN - SANTA ELENA","2025-10-24","","0.25"
"MEDELLÍN - SANTA ELENA","2025-10-23","","0.0375"
"MEDELLÍN - SANTA ELENA","2025-10-22","","0.145"
"MEDELLÍN - SANTA ELENA","2025-10-21","","0.09083333"
"MEDELLÍN - SANTA ELENA","2025-10-20","","0.29583333"
"MEDELLÍN - SANTA ELENA","2025-10-19","","0.03541667"
"MEDELLÍN - SANTA ELENA","2025-10-18","","0.02041667"
"MEDELLÍN - SANTA ELENA","2025-10-17","","0.04291667"
"MEDELLÍN - SANTA ELENA","2025-10-16","","0.00833333"
"MEDELLÍN - SANTA ELENA","2025-10-15","","0.28791667"
"MEDELLÍN - SANTA ELENA","2025-10-14","","0.0"
"MEDELLÍN - SANTA ELENA","2025-10-13","","0.0"
"MEDELLÍN - SANTA ELENA","2025-10-12","","0.0"
"MEDELLÍN - SANTA ELENA","2025-10-11","","0.58958333"
"MEDELLÍN - SANTA ELENA","2025-10-10","","0.15791667"
"MEDELLÍN - SANTA ELENA","2025-10-09","","0.24583333"
"MEDELLÍN - SANTA ELENA","2025-10-08","","0.0825"
"MEDELLÍN - SANTA ELENA","2025-10-07","","0.03583333"
"MEDELLÍN - SANTA ELENA","2025-10-06","","0.11625"
"MEDELLÍN - SANTA ELENA","2025-10-05","","0.15375"
"MEDELLÍN - SANTA ELENA","2025-10-04","","0.03333333"
"MEDELLÍN - SANTA ELENA","2025-10-03","","0.04791667"
"MEDELLÍN - SANTA ELENA","2025-10-02","","0.00458333"
"MEDELLÍN - SANTA ELENA","2025-10-01","","0.1625"
"MEDELLÍN - SANTA ELENA","2025-09-30","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-29","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-28","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-27","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-26","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-25","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-24","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-23","","0.01666667"
"MEDELLÍN - SANTA ELENA","2025-09-22","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-21","","0.0075"
"MEDELLÍN - SANTA ELENA","2025-09-20","","0.01958333"
"MEDELLÍN - SANTA ELENA","2025-09-19","","0.19166667"
"MEDELLÍN - SANTA ELENA","2025-09-18","","0.25083333"
"MEDELLÍN - SANTA ELENA","2025-09-17","","0.07875"
"MEDELLÍN - SANTA ELENA","2025-09-16","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-15","","0.03041667"
"MEDELLÍN - SANTA ELENA","2025-09-14","","0.0075"
"MEDELLÍN - SANTA ELENA","2025-09-13","","4.1667E-4"
"MEDELLÍN - SANTA ELENA","2025-09-12","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-11","","0.03125"
"MEDELLÍN - SANTA ELENA","2025-09-10","","0.0"
"MEDELLÍN - SANTA ELENA","2025-09-09","","0.03541667"
"MEDELLÍN - SANTA ELENA","2025-09-08","","0.06041667"
"MEDELLÍN - SANTA ELENA","2025-09-07","","0.52375"
"MEDELLÍN - SANTA ELENA","2025-09-06","","0.21416667"
"MEDELLÍN - SANTA ELENA","2025-09-05","","0.04208333"
"MEDELLÍN - SANTA ELENA","2025-09-04","","0.1425"
"MEDELLÍN - SANTA ELENA","2025-09-03","","0.27708333"
"MEDELLÍN - SANTA ELENA","2025-09-02","","0.04375"
"MEDELLÍN - SANTA ELENA","2025-09-01","","0.1775"
"MEDELLÍN - SANTA ELENA","2025-08-31","","0.07478261"
"MEDELLÍN - SANTA ELENA","2025-08-30","","0.01416667"
"MEDELLÍN - SANTA ELENA","2025-08-29","","0.0"
"MEDELLÍN - SANTA ELENA","2025-08-28","","0.03208333"
"MEDELLÍN - SANTA ELENA","2025-08-27","","0.01458333"
"MEDELLÍN - SANTA ELENA","2025-08-26","","0.0"
"MEDELLÍN - SANTA ELENA","2025-08-25","","0.02"
"MEDELLÍN - SANTA ELENA","2025-08-24","","0.00333333"
"MEDELLÍN - SANTA ELENA","2025-08-23","","0.08625"
"MEDELLÍN - SANTA ELENA","2025-08-22","","0.20375"
"MEDELLÍN - SANTA ELENA","2025-08-21","","0.39625"
"MEDELLÍN - SANTA ELENA","2025-08-20","","0.0575"
"MEDELLÍN - SANTA ELENA","2025-08-19","","0.00333333"
"MEDELLÍN - SANTA ELENA","2025-08-18","","0.24458333"
"MEDELLÍN - SANTA ELENA","2025-08-17","","0.47583333"
"MEDELLÍN - SANTA ELENA","2025-08-16","","0.22125"
"MEDELLÍN - SANTA ELENA","2025-08-15","","0.2775"
"MEDELLÍN - SANTA ELENA","2025-08-14","","0.09958333"
"MEDELLÍN - SANTA ELENA","2025-08-13","","0.01458333"
"MEDELLÍN - SANTA ELENA","2025-08-12","","0.0"
"MEDELLÍN - SANTA ELENA","2025-08-11","","0.31916667"
"MEDELLÍN - SANTA ELENA","2025-08-10","","0.14041667"
"MEDELLÍN - SANTA ELENA","2025-08-09","","0.055"
"MEDELLÍN - SANTA ELENA","2025-08-08","","0.44538462"
"MEDELLÍN - SANTA ELENA","2025-07-16","","0.0"
"MEDELLÍN - SANTA ELENA","2025-07-15","","0.0"
"MEDELLÍN - SANTA ELENA","2025-07-14","","0.01666667"
"MEDELLÍN - SANTA ELENA","2025-07-13","","0.0"
"MEDELLÍN - SANTA ELENA","2025-07-12","","0.01541667"
"MEDELLÍN - SANTA ELENA","2025-07-11","","0.04625"
"MEDELLÍN - SANTA ELENA","2025-07-10","","0.00833333"
"MEDELLÍN - SANTA ELENA","2025-07-09","","0.08791667"
"MEDELLÍN - SANTA ELENA","2025-07-08","","8.3333E-4"
"MEDELLÍN - SANTA ELENA","2025-07-07","","0.03833333"
"MEDELLÍN - SANTA ELENA","2025-07-06","","0.0"
"MEDELLÍN - SANTA ELENA","2025-07-05","","0.00458333"
"MEDELLÍN - SANTA ELENA","2025-07-04","","0.07692308"
"MEDELLÍN - SANTA ELENA","2025-07-02","","0.004"
"MEDELLÍN - SANTA ELENA","2025-06-28","","0.0"
"MEDELLÍN - SANTA ELENA","2025-06-27","","0.13125"
"MEDELLÍN - SANTA ELENA","2025-06-26","","0.0025"
"MEDELLÍN - SANTA ELENA","2025-06-25","","0.01208333"
"MEDELLÍN - SANTA ELENA","2025-06-24","","0.188"
"MEDELLÍN - SANTA ELENA","2025-06-19","","0.0"
"MEDELLÍN - SANTA ELENA","2025-06-18","","0.04166667"
"MEDELLÍN - SANTA ELENA","2025-06-17","","0.38692308"
"MEDELLÍN - SANTA ELENA","2025-06-15","","0.38785714"
"MEDELLÍN - SANTA ELENA","2025-06-14","","0.12875"
"MEDELLÍN - SANTA ELENA","2025-06-13","","0.37291667"
"MEDELLÍN - SANTA ELENA","2025-06-12","","0.02833333"
