"Estacion","Fecha inicial","Fecha final","PM2.5"
"MEDELLÍN - SANTA ELENA","2025-10-31","","3.94453043"
"MEDELLÍN - SANTA ELENA","2025-10-30","","5.68623958"
"MEDELLÍN - SANTA ELENA","2025-10-29","","4.67292792"
"MEDELLÍN - SANTA ELENA","2025-10-28","","4.33648167"
"MEDELLÍN - SANTA ELENA","2025-10-27","","2.52965375"
"MEDELLÍN - SANTA ELENA","2025-10-26","","7.33801917"
"MEDELLÍN - SANTA ELENA","2025-10-25","","7.43221375"
"MEDELLÍN - SANTA ELENA","2025-10-24","","5.24218042"
"MEDELLÍN - SANTA ELENA","2025-10-23","","6.14915917"
"MEDELLÍN - SANTA ELENA","2025-10-22","","8.42771167"
"MEDELLÍN - SANTA ELENA","2025-10-21","","7.73030208"
"MEDELLÍN - SANTA ELENA","2025-10-20","","9.12981"
"MEDELLÍN - SANTA ELENA","2025-10-19","","3.7824375"
"MEDELLÍN - SANTA ELENA","2025-10-18","","5.73098917"
"MEDELLÍN - SANTA ELENA","2025-10-17","","10.44399542"
"MEDELLÍN - SANTA ELENA","2025-10-16","","4.11011083"
"MEDELLÍN - SANTA ELENA","2025-10-15","","10.14979708"
"MEDELLÍN - SANTA ELENA","2025-10-14","","4.8363375"
"MEDELLÍN - SANTA ELENA","2025-10-13","","3.11058833"
"MEDELLÍN - SANTA ELENA","2025-10-12","","7.33291542"
"MEDELLÍN - SANTA ELENA","2025-10-11","","8.89211792"
"MEDELLÍN - SANTA ELENA","2025-10-10","","3.137495"
"MEDELLÍN - SANTA ELENA","2025-10-09","","9.11524375"
"MEDELLÍN - SANTA ELENA","2025-10-08","","3.48890667"
"MEDELLÍN - SANTA ELENA","2025-10-07","","3.71417417"
"MEDELLÍN - SANTA ELENA","2025-10-06","","4.37305208"
"MEDELLÍN - SANTA ELENA","2025-10-05","","5.36441292"
"MEDELLÍN - SANTA ELENA","2025-10-04","","6.53076625"
"MEDELLÍN - SANTA ELENA","2025-10-03","","5.68101375"
"MEDELLÍN - SANTA ELENA","2025-10-02","","4.07838667"
"MEDELLÍN - SANTA ELENA","2025-10-01","","4.4375"
"MEDELLÍN - SANTA ELENA","2025-09-30","","5.52950478"
"MEDELLÍN - SANTA ELENA","2025-09-29","","5.92282833"
"MEDELLÍN - SANTA ELENA","2025-09-28","","5.95594"
"MEDELLÍN - SANTA ELENA","2025-09-27","","10.69336375"
"MEDELLÍN - SANTA ELENA","2025-09-26","","7.50595708"
"MEDELLÍN - SANTA ELENA","2025-09-25","","7.559915"
"MEDELLÍN - SANTA ELENA","2025-09-24","","7.68385083"
"MEDELLÍN - SANTA ELENA","2025-09-23","","6.63631208"
"MEDELLÍN - SANTA ELENA","2025-09-22","","4.28478292"
"MEDELLÍN - SANTA ELENA","2025-09-21","","5.03184542"
"MEDELLÍN - SANTA ELENA","2025-09-20","","4.74632708"
"MEDELLÍN - SANTA ELENA","2025-09-19","","4.2517825"
"MEDELLÍN - SANTA ELENA","2025-09-18","","4.87884458"
"MEDELLÍN - SANTA ELENA","2025-09-17","","7.89648792"
"MEDELLÍN - SANTA ELENA","2025-09-16","","7.78472042"
"MEDELLÍN - SANTA ELENA","2025-09-15","","4.01917208"
"MEDELLÍN - SANTA ELENA","2025-09-14","","5.28221542"
"MEDELLÍN - SANTA ELENA","2025-09-13","","6.70675833"
"MEDELLÍN - SANTA ELENA","2025-09-12","","7.17799"
"MEDELLÍN - SANTA ELENA","2025-09-11","","9.60421875"
"MEDELLÍN - SANTA ELENA","2025-09-10","","7.52829083"
"MEDELLÍN - SANTA ELENA","2025-09-09","","5.57999875"
"MEDELLÍN - SANTA ELENA","2025-09-08","","3.67117583"
"MEDELLÍN - SANTA ELENA","2025-09-07","","4.61200375"
"MEDELLÍN - SANTA ELENA","2025-09-06","","7.70052583"
"MEDELLÍN - SANTA ELENA","2025-09-05","","4.51112542"
"MEDELLÍN - SANTA ELENA","2025-09-04","","4.53440292"
"MEDELLÍN - SANTA ELENA","2025-09-03","","5.36063875"
"MEDELLÍN - SANTA ELENA","2025-09-02","","2.82645875"
"MEDELLÍN - SANTA ELENA","2025-09-01","","4.925"
"MEDELLÍN - SANTA ELENA","2025-08-31","","11.68874174"
"MEDELLÍN - SANTA ELENA","2025-08-30","","10.67017565"
"MEDELLÍN - SANTA ELENA","2025-08-29","","9.43851227"
"MEDELLÍN - SANTA ELENA","2025-08-28","","7.69708591"
"MEDELLÍN - SANTA ELENA","2025-08-27","","5.03499435"
"MEDELLÍN - SANTA ELENA","2025-08-26","","5.57790364"
"MEDELLÍN - SANTA ELENA","2025-08-25","","4.96282857"
"MEDELLÍN - SANTA ELENA","2025-08-24","","4.09652478"
"MEDELLÍN - SANTA ELENA","2025-08-23","","5.45460304"
"MEDELLÍN - SANTA ELENA","2025-08-22","","6.0070819"
"MEDELLÍN - SANTA ELENA","2025-08-21","","5.0928325"
"MEDELLÍN - SANTA ELENA","2025-08-20","","7.37471238"
"MEDELLÍN - SANTA ELENA","2025-08-19","","7.51689529"
"MEDELLÍN - SANTA ELENA","2025-08-18","","3.77981857"
"MEDELLÍN - SANTA ELENA","2025-08-17","","8.77438167"
"MEDELLÍN - SANTA ELENA","2025-08-16","","8.19041"
"MEDELLÍN - SANTA ELENA","2025-08-15","","6.49229"
"MEDELLÍN - SANTA ELENA","2025-08-14","","6.51132"
"MEDELLÍN - SANTA ELENA","2025-08-13","","8.45548583"
"MEDELLÍN - SANTA ELENA","2025-08-12","","5.58506952"
"MEDELLÍN - SANTA ELENA","2025-08-11","","3.35920875"
"MEDELLÍN - SANTA ELENA","2025-08-10","","8.48994227"
"MEDELLÍN - SANTA ELENA","2025-08-09","","7.9089765"
"MEDELLÍN - SANTA ELENA","2025-08-08","","8.57955045"
"MEDELLÍN - SANTA ELENA","2025-08-07","","8.546035"
"MEDELLÍN - SANTA ELENA","2025-08-06","","6.72537667"
"MEDELLÍN - SANTA ELENA","2025-08-05","","5.45451042"
"MEDELLÍN - SANTA ELENA","2025-08-04","","4.8724619"
"MEDELLÍN - SANTA ELENA","2025-08-03","","4.3114895"
