"Estacion","Fecha inicial","Fecha final","DViento"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-04","","147.44429988"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-03","","178.96043431"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-02","","204.95048687"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-01","","192.86606461"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-31","","186.44026275"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-30","","132.8743344"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-26","","121.8204838"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-25","","120.3549605"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-24","","174.87796163"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-23","","203.22526638"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-22","","190.8438279"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-21","","210.41349613"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-20","","185.85862397"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-19","","181.3442144"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-18","","173.15791415"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-17","","201.42662851"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-16","","171.97055917"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-15","","173.89532483"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-14","","196.36163363"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-13","","197.23619871"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-12","","186.0667092"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-11","","185.05160141"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-10","","166.44889089"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-09","","184.20056043"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-08","","189.7894934"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-07","","174.52339033"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-06","","173.38173691"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-05","","183.69417132"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-04","","192.2345658"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-03","","169.29093016"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-02","","170.53166532"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-01","","196.07093155"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-29","","188.06547978"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-28","","193.16395124"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-27","","188.25448386"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-26","","169.05792383"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-25","","197.38594863"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-24","","189.09670552"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-23","","213.9978384"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-22","","219.85049622"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-21","","210.8500353"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-20","","202.93714806"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-19","","200.95517893"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-18","","168.94761424"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-17","","168.05036731"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-16","","181.01608079"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-15","","167.40876143"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-14","","201.25347923"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-13","","179.2517826"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-12","","187.38726951"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-11","","177.95491795"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-10","","160.834886"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-09","","232.00848842"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-08","","260.05288012"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-07","","187.31172044"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-06","","199.48079809"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-05","","203.21608401"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-04","","174.29509014"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-03","","174.19590834"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-02","","189.10372977"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-01","","239.32739054"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-31","","189.62688893"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-30","","237.4475656"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-29","","208.52597508"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-28","","194.51712308"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-27","","184.49058032"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-26","","195.50806537"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-25","","178.34537614"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-24","","169.72538961"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-23","","168.66384724"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-22","","154.55922384"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-21","","174.55700533"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-20","","171.79711555"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-19","","188.05121423"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-18","","157.34077298"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-17","","170.7160663"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-16","","168.60498785"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-15","","168.87044549"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-14","","188.21459924"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-13","","189.67801216"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-12","","189.91160961"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-11","","190.86546268"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-10","","194.5987086"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-09","","162.36272773"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-08","","186.60347542"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-07","","181.88216463"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-06","","189.57563278"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-05","","181.32263897"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-04","","173.37513427"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-03","","181.28066517"
