"Estacion","Fecha inicial","Fecha final","PLiquida"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-04","","0.043"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-03","","0.03125"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-02","","0.23583333"
"MEDELLÍN - TANQUES LA YE EPM","2024-04-01","","0.07333333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-31","","0.09428571"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-30","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-26","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-25","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-24","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-23","","4.1667E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-22","","4.1667E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-21","","0.00166667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-20","","0.03833333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-19","","0.08166667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-18","","0.02208333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-17","","0.00291667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-16","","0.00333333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-15","","0.0025"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-14","","8.3333E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-13","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-12","","0.005"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-11","","0.05666667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-10","","0.00541667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-09","","0.08416667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-08","","0.02958333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-07","","4.1667E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-06","","0.00291667"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-05","","4.1667E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-04","","0.00333333"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-03","","0.1975"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-02","","0.05625"
"MEDELLÍN - TANQUES LA YE EPM","2024-03-01","","0.00208333"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-29","","4.3478E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-28","","4.1667E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-27","","0.00666667"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-26","","0.0025"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-25","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-24","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-23","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-22","","0.00125"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-21","","0.14"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-20","","0.0"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-19","","8.3333E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-18","","0.00125"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-17","","4.1667E-4"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-16","","0.00166667"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-15","","0.00208333"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-14","","0.01916667"
"MEDELLÍN - TANQUES LA YE EPM","2024-02-13","","8.3333E-4"
