"Estacion","Fecha inicial","Fecha final","PM2.5"
"MEDELLÍN - VILLAHERMOSA","2025-10-31","","9.85348913"
"MEDELLÍN - VILLAHERMOSA","2025-10-30","","13.32113875"
"MEDELLÍN - VILLAHERMOSA","2025-10-29","","11.99327625"
"MEDELLÍN - VILLAHERMOSA","2025-10-28","","8.81199375"
"MEDELLÍN - VILLAHERMOSA","2025-10-27","","5.78209042"
"MEDELLÍN - VILLAHERMOSA","2025-10-26","","8.24467583"
"MEDELLÍN - VILLAHERMOSA","2025-10-25","","10.21351"
"MEDELLÍN - VILLAHERMOSA","2025-10-24","","13.96373708"
"MEDELLÍN - VILLAHERMOSA","2025-10-23","","16.10088083"
"MEDELLÍN - VILLAHERMOSA","2025-10-22","","17.23200458"
"MEDELLÍN - VILLAHERMOSA","2025-10-21","","14.21056125"
"MEDELLÍN - VILLAHERMOSA","2025-10-20","","8.9952325"
"MEDELLÍN - VILLAHERMOSA","2025-10-19","","10.04191167"
"MEDELLÍN - VILLAHERMOSA","2025-10-18","","11.46813292"
"MEDELLÍN - VILLAHERMOSA","2025-10-17","","12.7937225"
"MEDELLÍN - VILLAHERMOSA","2025-10-16","","12.56249042"
"MEDELLÍN - VILLAHERMOSA","2025-10-15","","16.2558525"
"MEDELLÍN - VILLAHERMOSA","2025-10-14","","11.24022958"
"MEDELLÍN - VILLAHERMOSA","2025-10-13","","8.02414167"
"MEDELLÍN - VILLAHERMOSA","2025-10-12","","9.64606"
"MEDELLÍN - VILLAHERMOSA","2025-10-11","","12.74957958"
"MEDELLÍN - VILLAHERMOSA","2025-10-10","","8.71160042"
"MEDELLÍN - VILLAHERMOSA","2025-10-09","","17.26086917"
"MEDELLÍN - VILLAHERMOSA","2025-10-08","","9.92022333"
"MEDELLÍN - VILLAHERMOSA","2025-10-07","","9.65268667"
"MEDELLÍN - VILLAHERMOSA","2025-10-06","","9.04443167"
"MEDELLÍN - VILLAHERMOSA","2025-10-05","","7.1346375"
"MEDELLÍN - VILLAHERMOSA","2025-10-04","","15.77386958"
"MEDELLÍN - VILLAHERMOSA","2025-10-03","","10.97737625"
"MEDELLÍN - VILLAHERMOSA","2025-10-02","","12.69763333"
"MEDELLÍN - VILLAHERMOSA","2025-10-01","","11.57916667"
"MEDELLÍN - VILLAHERMOSA","2025-09-30","","8.03983043"
"MEDELLÍN - VILLAHERMOSA","2025-09-29","","10.27289417"
"MEDELLÍN - VILLAHERMOSA","2025-09-28","","12.75754417"
"MEDELLÍN - VILLAHERMOSA","2025-09-27","","24.04488208"
"MEDELLÍN - VILLAHERMOSA","2025-09-26","","12.95780083"
"MEDELLÍN - VILLAHERMOSA","2025-09-25","","10.36662083"
"MEDELLÍN - VILLAHERMOSA","2025-09-24","","8.60660667"
"MEDELLÍN - VILLAHERMOSA","2025-09-23","","7.64879"
"MEDELLÍN - VILLAHERMOSA","2025-09-22","","7.99001125"
"MEDELLÍN - VILLAHERMOSA","2025-09-21","","10.89960417"
"MEDELLÍN - VILLAHERMOSA","2025-09-20","","12.42239"
"MEDELLÍN - VILLAHERMOSA","2025-09-19","","16.9892675"
"MEDELLÍN - VILLAHERMOSA","2025-09-18","","12.87869375"
"MEDELLÍN - VILLAHERMOSA","2025-09-17","","15.7959275"
"MEDELLÍN - VILLAHERMOSA","2025-09-16","","14.13877042"
"MEDELLÍN - VILLAHERMOSA","2025-09-15","","5.79271667"
"MEDELLÍN - VILLAHERMOSA","2025-09-14","","9.93523958"
"MEDELLÍN - VILLAHERMOSA","2025-09-13","","12.48898542"
"MEDELLÍN - VILLAHERMOSA","2025-09-12","","13.8330825"
"MEDELLÍN - VILLAHERMOSA","2025-09-11","","11.30495"
"MEDELLÍN - VILLAHERMOSA","2025-09-10","","8.7393275"
"MEDELLÍN - VILLAHERMOSA","2025-09-09","","6.41877"
"MEDELLÍN - VILLAHERMOSA","2025-09-08","","8.45148667"
"MEDELLÍN - VILLAHERMOSA","2025-09-07","","7.68117417"
"MEDELLÍN - VILLAHERMOSA","2025-09-06","","11.58863458"
"MEDELLÍN - VILLAHERMOSA","2025-09-05","","10.86097417"
"MEDELLÍN - VILLAHERMOSA","2025-09-04","","8.10607042"
"MEDELLÍN - VILLAHERMOSA","2025-09-03","","8.88171958"
"MEDELLÍN - VILLAHERMOSA","2025-09-02","","9.52434667"
"MEDELLÍN - VILLAHERMOSA","2025-09-01","","8.7625"
"MEDELLÍN - VILLAHERMOSA","2025-08-31","","14.32700545"
"MEDELLÍN - VILLAHERMOSA","2025-08-30","","14.46071182"
"MEDELLÍN - VILLAHERMOSA","2025-08-29","","11.33606783"
"MEDELLÍN - VILLAHERMOSA","2025-08-28","","7.44476778"
"MEDELLÍN - VILLAHERMOSA","2025-08-27","","8.84250545"
"MEDELLÍN - VILLAHERMOSA","2025-08-26","","8.70405955"
"MEDELLÍN - VILLAHERMOSA","2025-08-25","","9.10610273"
"MEDELLÍN - VILLAHERMOSA","2025-08-24","","9.50447773"
"MEDELLÍN - VILLAHERMOSA","2025-08-23","","11.70523524"
"MEDELLÍN - VILLAHERMOSA","2025-08-22","","14.07752458"
"MEDELLÍN - VILLAHERMOSA","2025-08-21","","9.07928636"
"MEDELLÍN - VILLAHERMOSA","2025-08-20","","10.91727087"
"MEDELLÍN - VILLAHERMOSA","2025-08-19","","12.60534048"
"MEDELLÍN - VILLAHERMOSA","2025-08-18","","7.56746261"
"MEDELLÍN - VILLAHERMOSA","2025-08-17","","16.33533458"
"MEDELLÍN - VILLAHERMOSA","2025-08-16","","9.25961174"
"MEDELLÍN - VILLAHERMOSA","2025-08-15","","12.62176826"
"MEDELLÍN - VILLAHERMOSA","2025-08-14","","15.23007714"
"MEDELLÍN - VILLAHERMOSA","2025-08-13","","13.78958273"
"MEDELLÍN - VILLAHERMOSA","2025-08-12","","9.71307826"
"MEDELLÍN - VILLAHERMOSA","2025-08-11","","8.17497409"
"MEDELLÍN - VILLAHERMOSA","2025-08-10","","15.01386591"
"MEDELLÍN - VILLAHERMOSA","2025-08-09","","10.13647909"
"MEDELLÍN - VILLAHERMOSA","2025-08-08","","13.86096"
"MEDELLÍN - VILLAHERMOSA","2025-08-07","","12.49337125"
"MEDELLÍN - VILLAHERMOSA","2025-08-06","","12.07918273"
"MEDELLÍN - VILLAHERMOSA","2025-08-05","","9.25979773"
"MEDELLÍN - VILLAHERMOSA","2025-08-04","","7.864548"
"MEDELLÍN - VILLAHERMOSA","2025-08-03","","7.17191286"
"MEDELLÍN - VILLAHERMOSA","2025-08-02","","14.62173913"
"MEDELLÍN - VILLAHERMOSA","2025-08-01","","8.69545455"
"MEDELLÍN - VILLAHERMOSA","2025-07-31","","9.81918714"
"MEDELLÍN - VILLAHERMOSA","2025-07-30","","8.22731217"
"MEDELLÍN - VILLAHERMOSA","2025-07-29","","10.97388053"
"MEDELLÍN - VILLAHERMOSA","2025-07-28","","8.64411143"
"MEDELLÍN - VILLAHERMOSA","2025-07-27","","10.7629575"
"MEDELLÍN - VILLAHERMOSA","2025-07-26","","14.08177818"
"MEDELLÍN - VILLAHERMOSA","2025-07-25","","18.13335095"
"MEDELLÍN - VILLAHERMOSA","2025-07-24","","9.49870636"
"MEDELLÍN - VILLAHERMOSA","2025-07-23","","13.88081818"
"MEDELLÍN - VILLAHERMOSA","2025-07-22","","13.44500864"
"MEDELLÍN - VILLAHERMOSA","2025-07-21","","10.93609227"
"MEDELLÍN - VILLAHERMOSA","2025-07-20","","7.5210719"
"MEDELLÍN - VILLAHERMOSA","2025-07-19","","9.82408"
"MEDELLÍN - VILLAHERMOSA","2025-07-18","","8.79331762"
"MEDELLÍN - VILLAHERMOSA","2025-07-17","","10.34706619"
"MEDELLÍN - VILLAHERMOSA","2025-07-16","","11.54015167"
"MEDELLÍN - VILLAHERMOSA","2025-07-15","","11.1078855"
"MEDELLÍN - VILLAHERMOSA","2025-07-14","","6.39788182"
"MEDELLÍN - VILLAHERMOSA","2025-07-13","","7.88592762"
"MEDELLÍN - VILLAHERMOSA","2025-07-12","","8.69116087"
"MEDELLÍN - VILLAHERMOSA","2025-07-11","","8.88495143"
"MEDELLÍN - VILLAHERMOSA","2025-07-10","","12.84239864"
"MEDELLÍN - VILLAHERMOSA","2025-07-09","","11.678179"
