"Estacion","Fecha inicial","Fecha final","DViento"
"PARQUE LAS AGUAS","2025-10-31","","89.84465217"
"PARQUE LAS AGUAS","2025-10-30","","83.70029167"
"PARQUE LAS AGUAS","2025-10-29","","79.23129167"
"PARQUE LAS AGUAS","2025-10-28","","173.74904167"
"PARQUE LAS AGUAS","2025-10-27","","198.76991667"
"PARQUE LAS AGUAS","2025-10-26","","159.665"
"PARQUE LAS AGUAS","2025-10-25","","150.20541667"
"PARQUE LAS AGUAS","2025-10-24","","221.12358333"
"PARQUE LAS AGUAS","2025-10-23","","197.825625"
"PARQUE LAS AGUAS","2025-10-22","","190.31429167"
"PARQUE LAS AGUAS","2025-10-21","","99.40741667"
"PARQUE LAS AGUAS","2025-10-20","","136.94183333"
"PARQUE LAS AGUAS","2025-10-19","","80.77645833"
"PARQUE LAS AGUAS","2025-10-18","","111.20833333"
"PARQUE LAS AGUAS","2025-10-17","","119.52104167"
"PARQUE LAS AGUAS","2025-10-16","","175.67666667"
"PARQUE LAS AGUAS","2025-10-15","","64.838625"
"PARQUE LAS AGUAS","2025-10-14","","0.0"
"PARQUE LAS AGUAS","2025-10-13","","0.0"
"PARQUE LAS AGUAS","2025-10-12","","0.0"
"PARQUE LAS AGUAS","2025-10-11","","0.0"
"PARQUE LAS AGUAS","2025-10-10","","118.76775"
"PARQUE LAS AGUAS","2025-10-09","","197.58866667"
"PARQUE LAS AGUAS","2025-10-08","","155.334875"
"PARQUE LAS AGUAS","2025-10-07","","107.11808333"
"PARQUE LAS AGUAS","2025-10-06","","107.458125"
"PARQUE LAS AGUAS","2025-10-05","","107.75429167"
"PARQUE LAS AGUAS","2025-10-04","","75.78795833"
"PARQUE LAS AGUAS","2025-10-03","","119.930375"
"PARQUE LAS AGUAS","2025-10-02","","83.60054167"
"PARQUE LAS AGUAS","2025-10-01","","157.34245833"
"PARQUE LAS AGUAS","2025-09-30","","0.0"
"PARQUE LAS AGUAS","2025-09-29","","0.0"
"PARQUE LAS AGUAS","2025-09-28","","0.0"
"PARQUE LAS AGUAS","2025-09-27","","0.0"
"PARQUE LAS AGUAS","2025-09-26","","0.0"
"PARQUE LAS AGUAS","2025-09-25","","0.0"
"PARQUE LAS AGUAS","2025-09-24","","57.47633333"
"PARQUE LAS AGUAS","2025-09-23","","122.27883333"
"PARQUE LAS AGUAS","2025-09-22","","69.88991667"
"PARQUE LAS AGUAS","2025-09-21","","116.82858333"
"PARQUE LAS AGUAS","2025-09-20","","167.74275"
"PARQUE LAS AGUAS","2025-09-19","","121.28629167"
"PARQUE LAS AGUAS","2025-09-18","","67.96958333"
"PARQUE LAS AGUAS","2025-09-17","","0.0"
"PARQUE LAS AGUAS","2025-09-16","","0.0"
"PARQUE LAS AGUAS","2025-09-15","","0.0"
"PARQUE LAS AGUAS","2025-09-14","","0.0"
"PARQUE LAS AGUAS","2025-09-13","","0.0"
"PARQUE LAS AGUAS","2025-09-12","","0.0"
"PARQUE LAS AGUAS","2025-09-11","","0.0"
"PARQUE LAS AGUAS","2025-09-10","","0.0"
"PARQUE LAS AGUAS","2025-09-09","","0.0"
"PARQUE LAS AGUAS","2025-09-08","","0.0"
"PARQUE LAS AGUAS","2025-09-07","","0.0"
"PARQUE LAS AGUAS","2025-09-06","","0.0"
"PARQUE LAS AGUAS","2025-09-05","","0.0"
"PARQUE LAS AGUAS","2025-09-04","","0.0"
"PARQUE LAS AGUAS","2025-09-03","","0.0"
"PARQUE LAS AGUAS","2025-09-02","","0.0"
"PARQUE LAS AGUAS","2025-09-01","","0.0"
"PARQUE LAS AGUAS","2025-04-23","","101.16460006"
"PARQUE LAS AGUAS","2025-04-22","","82.70039852"
"PARQUE LAS AGUAS","2025-04-21","","123.35453005"
"PARQUE LAS AGUAS","2025-04-20","","164.81785018"
"PARQUE LAS AGUAS","2025-04-19","","120.7344819"
"PARQUE LAS AGUAS","2025-04-18","","79.73714512"
"PARQUE LAS AGUAS","2025-04-17","","69.57617775"
"PARQUE LAS AGUAS","2025-04-16","","110.20354646"
