"Estacion","Fecha inicial","Fecha final","HAire2"
"PARQUE LAS AGUAS","2013-02-28","","78.87083333"
"PARQUE LAS AGUAS","2013-02-27","","71.975"
"PARQUE LAS AGUAS","2013-02-26","","72.95416667"
"PARQUE LAS AGUAS","2013-02-25","","73.20833333"
"PARQUE LAS AGUAS","2013-02-24","","74.78333333"
"PARQUE LAS AGUAS","2013-02-23","","74.45833333"
"PARQUE LAS AGUAS","2013-02-22","","73.725"
"PARQUE LAS AGUAS","2013-02-21","","75.225"
"PARQUE LAS AGUAS","2013-02-20","","59.05384615"
"PARQUE LAS AGUAS","2013-02-11","","85.77142857"
"PARQUE LAS AGUAS","2013-02-10","","77.28333333"
"PARQUE LAS AGUAS","2013-02-09","","73.72083333"
"PARQUE LAS AGUAS","2013-02-08","","79.225"
"PARQUE LAS AGUAS","2013-02-07","","72.08333333"
"PARQUE LAS AGUAS","2013-02-06","","77.7375"
"PARQUE LAS AGUAS","2013-02-05","","79.25833333"
"PARQUE LAS AGUAS","2013-02-04","","71.475"
"PARQUE LAS AGUAS","2013-02-01","","91.05"
"PARQUE LAS AGUAS","2013-01-31","","73.42916667"
"PARQUE LAS AGUAS","2013-01-30","","74.02083333"
"PARQUE LAS AGUAS","2013-01-29","","72.04583333"
"PARQUE LAS AGUAS","2013-01-28","","66.84583333"
"PARQUE LAS AGUAS","2013-01-27","","70.725"
"PARQUE LAS AGUAS","2013-01-26","","73.7875"
"PARQUE LAS AGUAS","2013-01-25","","77.59166667"
"PARQUE LAS AGUAS","2013-01-24","","77.80416667"
"PARQUE LAS AGUAS","2013-01-23","","73.6"
"PARQUE LAS AGUAS","2013-01-22","","71.34166667"
"PARQUE LAS AGUAS","2013-01-21","","74.30416667"
"PARQUE LAS AGUAS","2013-01-20","","78.47916667"
"PARQUE LAS AGUAS","2013-01-19","","72.90416667"
"PARQUE LAS AGUAS","2013-01-18","","72.78333333"
"PARQUE LAS AGUAS","2013-01-17","","70.27916667"
"PARQUE LAS AGUAS","2013-01-16","","75.0375"
"PARQUE LAS AGUAS","2013-01-15","","76.75"
"PARQUE LAS AGUAS","2013-01-14","","72.42083333"
"PARQUE LAS AGUAS","2013-01-13","","71.02083333"
"PARQUE LAS AGUAS","2013-01-12","","66.9375"
"PARQUE LAS AGUAS","2013-01-11","","65.7"
"PARQUE LAS AGUAS","2013-01-10","","65.75416667"
"PARQUE LAS AGUAS","2013-01-09","","64.87083333"
"PARQUE LAS AGUAS","2013-01-08","","60.73333333"
"PARQUE LAS AGUAS","2013-01-07","","65.57916667"
"PARQUE LAS AGUAS","2013-01-06","","67.22916667"
"PARQUE LAS AGUAS","2013-01-05","","69.79583333"
"PARQUE LAS AGUAS","2013-01-04","","73.0"
"PARQUE LAS AGUAS","2013-01-03","","74.48333333"
"PARQUE LAS AGUAS","2013-01-02","","67.07916667"
"PARQUE LAS AGUAS","2013-01-01","","68.97083333"
"PARQUE LAS AGUAS","2012-12-31","","71.42916667"
"PARQUE LAS AGUAS","2012-12-30","","72.69583333"
"PARQUE LAS AGUAS","2012-12-29","","73.30416667"
"PARQUE LAS AGUAS","2012-12-28","","73.0375"
"PARQUE LAS AGUAS","2012-12-27","","74.98333333"
"PARQUE LAS AGUAS","2012-12-26","","77.17083333"
"PARQUE LAS AGUAS","2012-12-25","","75.2125"
"PARQUE LAS AGUAS","2012-12-24","","75.65833333"
"PARQUE LAS AGUAS","2012-12-23","","77.13333333"
"PARQUE LAS AGUAS","2012-12-22","","74.71666667"
"PARQUE LAS AGUAS","2012-12-21","","77.6"
"PARQUE LAS AGUAS","2012-12-20","","77.27916667"
"PARQUE LAS AGUAS","2012-12-19","","75.01666667"
"PARQUE LAS AGUAS","2012-12-18","","72.75833333"
"PARQUE LAS AGUAS","2012-12-17","","71.39166667"
"PARQUE LAS AGUAS","2012-12-16","","73.9625"
"PARQUE LAS AGUAS","2012-12-15","","75.125"
"PARQUE LAS AGUAS","2012-12-14","","78.55"
"PARQUE LAS AGUAS","2012-12-13","","75.025"
"PARQUE LAS AGUAS","2012-12-12","","77.58333333"
"PARQUE LAS AGUAS","2012-12-11","","76.63333333"
"PARQUE LAS AGUAS","2012-12-10","","73.19583333"
"PARQUE LAS AGUAS","2012-12-09","","76.92916667"
"PARQUE LAS AGUAS","2012-12-08","","76.07083333"
"PARQUE LAS AGUAS","2012-12-07","","74.26666667"
"PARQUE LAS AGUAS","2012-12-06","","74.0625"
"PARQUE LAS AGUAS","2012-12-05","","75.28333333"
"PARQUE LAS AGUAS","2012-12-04","","74.5625"
"PARQUE LAS AGUAS","2012-12-03","","78.45833333"
"PARQUE LAS AGUAS","2012-12-02","","81.6"
"PARQUE LAS AGUAS","2012-12-01","","82.87083333"
"PARQUE LAS AGUAS","2012-11-30","","78.55"
"PARQUE LAS AGUAS","2012-11-29","","78.79166667"
"PARQUE LAS AGUAS","2012-11-28","","76.40833333"
"PARQUE LAS AGUAS","2012-11-27","","77.83333333"
"PARQUE LAS AGUAS","2012-11-26","","75.60416667"
"PARQUE LAS AGUAS","2012-11-25","","75.82083333"
"PARQUE LAS AGUAS","2012-11-24","","75.68333333"
"PARQUE LAS AGUAS","2012-11-23","","77.53333333"
"PARQUE LAS AGUAS","2012-11-22","","81.24583333"
"PARQUE LAS AGUAS","2012-11-21","","82.2375"
"PARQUE LAS AGUAS","2012-11-20","","77.86666667"
"PARQUE LAS AGUAS","2012-11-19","","80.835"
"PARQUE LAS AGUAS","2012-11-18","","89.8"
"PARQUE LAS AGUAS","2012-11-17","","83.09583333"
"PARQUE LAS AGUAS","2012-11-16","","81.275"
"PARQUE LAS AGUAS","2012-11-15","","77.675"
"PARQUE LAS AGUAS","2012-11-14","","79.00833333"
"PARQUE LAS AGUAS","2012-11-13","","79.99130435"
"PARQUE LAS AGUAS","2012-11-12","","81.975"
"PARQUE LAS AGUAS","2012-11-11","","77.975"
"PARQUE LAS AGUAS","2012-11-10","","79.37083333"
"PARQUE LAS AGUAS","2012-11-09","","75.80833333"
"PARQUE LAS AGUAS","2012-11-08","","74.89583333"
"PARQUE LAS AGUAS","2012-11-07","","78.81666667"
"PARQUE LAS AGUAS","2012-11-06","","72.27083333"
"PARQUE LAS AGUAS","2012-11-05","","77.1375"
"PARQUE LAS AGUAS","2012-11-04","","74.55833333"
"PARQUE LAS AGUAS","2012-11-03","","73.4625"
"PARQUE LAS AGUAS","2012-11-02","","80.4875"
"PARQUE LAS AGUAS","2012-11-01","","73.64583333"
