"Estacion","Fecha inicial","Fecha final","O3"
"PARQUE LAS AGUAS","2025-10-31","","27.32218696"
"PARQUE LAS AGUAS","2025-10-30","","16.18602875"
"PARQUE LAS AGUAS","2025-10-29","","25.807725"
"PARQUE LAS AGUAS","2025-10-28","","24.52428708"
"PARQUE LAS AGUAS","2025-10-27","","19.90554625"
"PARQUE LAS AGUAS","2025-10-26","","23.13457625"
"PARQUE LAS AGUAS","2025-10-25","","18.42591458"
"PARQUE LAS AGUAS","2025-10-24","","20.57587667"
"PARQUE LAS AGUAS","2025-10-23","","15.35220375"
"PARQUE LAS AGUAS","2025-10-22","","17.191525"
"PARQUE LAS AGUAS","2025-10-21","","26.55980292"
"PARQUE LAS AGUAS","2025-10-20","","32.06141708"
"PARQUE LAS AGUAS","2025-10-19","","25.29271417"
"PARQUE LAS AGUAS","2025-10-18","","26.7559975"
"PARQUE LAS AGUAS","2025-10-17","","18.54853625"
"PARQUE LAS AGUAS","2025-10-16","","15.47482458"
"PARQUE LAS AGUAS","2025-10-15","","13.962495"
"PARQUE LAS AGUAS","2025-10-14","","23.33077125"
"PARQUE LAS AGUAS","2025-10-13","","12.87524958"
"PARQUE LAS AGUAS","2025-10-12","","18.53218583"
"PARQUE LAS AGUAS","2025-10-11","","23.45339375"
"PARQUE LAS AGUAS","2025-10-10","","17.31414667"
"PARQUE LAS AGUAS","2025-10-09","","26.76417125"
"PARQUE LAS AGUAS","2025-10-08","","14.28948417"
"PARQUE LAS AGUAS","2025-10-07","","30.90060208"
"PARQUE LAS AGUAS","2025-10-06","","29.24930042"
"PARQUE LAS AGUAS","2025-10-05","","36.75373208"
"PARQUE LAS AGUAS","2025-10-04","","41.0291325"
"PARQUE LAS AGUAS","2025-10-03","","20.55135208"
"PARQUE LAS AGUAS","2025-10-02","","31.3502125"
"PARQUE LAS AGUAS","2025-10-01","","22.25987708"
"PARQUE LAS AGUAS","2025-09-30","","20.42126826"
"PARQUE LAS AGUAS","2025-09-29","","28.9713575"
"PARQUE LAS AGUAS","2025-09-28","","26.61702583"
"PARQUE LAS AGUAS","2025-09-27","","32.73992333"
"PARQUE LAS AGUAS","2025-09-26","","26.05296667"
"PARQUE LAS AGUAS","2025-09-25","","36.32864375"
"PARQUE LAS AGUAS","2025-09-24","","32.82984542"
"PARQUE LAS AGUAS","2025-09-23","","26.993065"
"PARQUE LAS AGUAS","2025-09-22","","32.68269917"
"PARQUE LAS AGUAS","2025-09-21","","30.11582458"
"PARQUE LAS AGUAS","2025-09-20","","34.57107"
"PARQUE LAS AGUAS","2025-09-19","","23.97657833"
"PARQUE LAS AGUAS","2025-09-18","","7.234665"
"PARQUE LAS AGUAS","2025-09-17","","22.93020917"
"PARQUE LAS AGUAS","2025-09-16","","24.45071333"
"PARQUE LAS AGUAS","2025-09-15","","35.91173125"
"PARQUE LAS AGUAS","2025-09-14","","33.72089417"
"PARQUE LAS AGUAS","2025-09-13","","32.11864042"
"PARQUE LAS AGUAS","2025-09-12","","24.82675375"
"PARQUE LAS AGUAS","2025-09-11","","27.51624875"
"PARQUE LAS AGUAS","2025-09-10","","28.44817333"
"PARQUE LAS AGUAS","2025-09-09","","30.05042625"
"PARQUE LAS AGUAS","2025-09-08","","24.11554917"
"PARQUE LAS AGUAS","2025-09-07","","25.09652042"
"PARQUE LAS AGUAS","2025-09-06","","29.380095"
"PARQUE LAS AGUAS","2025-09-05","","23.84578042"
"PARQUE LAS AGUAS","2025-09-04","","13.61915333"
"PARQUE LAS AGUAS","2025-09-03","","27.09933708"
"PARQUE LAS AGUAS","2025-09-02","","28.87326"
"PARQUE LAS AGUAS","2025-09-01","","21.71216792"
"PARQUE LAS AGUAS","2025-08-31","","21.61704421"
"PARQUE LAS AGUAS","2025-08-30","","28.01491047"
"PARQUE LAS AGUAS","2025-08-29","","27.22195852"
"PARQUE LAS AGUAS","2025-08-28","","22.20407616"
"PARQUE LAS AGUAS","2025-08-27","","23.63714753"
"PARQUE LAS AGUAS","2025-08-26","","28.97704445"
"PARQUE LAS AGUAS","2025-08-25","","26.79687088"
"PARQUE LAS AGUAS","2025-08-24","","27.95768713"
"PARQUE LAS AGUAS","2025-08-23","","28.7015905"
"PARQUE LAS AGUAS","2025-08-22","","19.94642006"
"PARQUE LAS AGUAS","2025-08-21","","28.88961004"
"PARQUE LAS AGUAS","2025-08-20","","28.50539621"
"PARQUE LAS AGUAS","2025-08-19","","32.20261826"
"PARQUE LAS AGUAS","2025-08-18","","30.32019344"
"PARQUE LAS AGUAS","2025-08-17","","18.58123475"
"PARQUE LAS AGUAS","2025-08-16","","17.50394325"
"PARQUE LAS AGUAS","2025-08-15","","22.562344"
"PARQUE LAS AGUAS","2025-08-14","","20.80512553"
"PARQUE LAS AGUAS","2025-08-13","","20.28158531"
"PARQUE LAS AGUAS","2025-08-12","","20.54317771"
"PARQUE LAS AGUAS","2025-08-11","","20.28275314"
"PARQUE LAS AGUAS","2025-08-10","","21.53872159"
"PARQUE LAS AGUAS","2025-08-09","","28.84056146"
"PARQUE LAS AGUAS","2025-08-08","","15.65630479"
"PARQUE LAS AGUAS","2025-08-07","","16.77461228"
"PARQUE LAS AGUAS","2025-08-06","","30.71258203"
"PARQUE LAS AGUAS","2025-08-05","","25.96007248"
"PARQUE LAS AGUAS","2025-08-04","","24.36079171"
"PARQUE LAS AGUAS","2025-08-03","","30.93330062"
"PARQUE LAS AGUAS","2025-08-02","","23.56783977"
"PARQUE LAS AGUAS","2025-08-01","","28.64436717"
"PARQUE LAS AGUAS","2025-07-31","","27.8510598"
"PARQUE LAS AGUAS","2025-07-30","","24.11554884"
"PARQUE LAS AGUAS","2025-07-29","","23.50244167"
"PARQUE LAS AGUAS","2025-07-28","","24.1891217"
"PARQUE LAS AGUAS","2025-07-27","","25.95735833"
"PARQUE LAS AGUAS","2025-07-26","","31.74260209"
"PARQUE LAS AGUAS","2025-07-25","","27.06628261"
"PARQUE LAS AGUAS","2025-07-24","","19.76657529"
"PARQUE LAS AGUAS","2025-07-23","","27.19743424"
"PARQUE LAS AGUAS","2025-07-22","","28.61166812"
"PARQUE LAS AGUAS","2025-07-21","","29.85423199"
"PARQUE LAS AGUAS","2025-07-20","","24.60603458"
"PARQUE LAS AGUAS","2025-07-19","","23.02830545"
"PARQUE LAS AGUAS","2025-07-18","","19.44775956"
"PARQUE LAS AGUAS","2025-07-17","","25.56248177"
"PARQUE LAS AGUAS","2025-07-16","","28.39094953"
"PARQUE LAS AGUAS","2025-07-15","","27.55712378"
"PARQUE LAS AGUAS","2025-07-14","","23.47791738"
"PARQUE LAS AGUAS","2025-07-13","","27.03393899"
"PARQUE LAS AGUAS","2025-07-12","","23.82943216"
"PARQUE LAS AGUAS","2025-07-11","","26.45353086"
