"Estacion","Fecha inicial","Fecha final","RGlobal"
"PARQUE LAS AGUAS","2015-12-31","","210.86666667"
"PARQUE LAS AGUAS","2015-12-30","","196.65833333"
"PARQUE LAS AGUAS","2015-12-29","","247.32916667"
"PARQUE LAS AGUAS","2015-12-28","","172.05833333"
"PARQUE LAS AGUAS","2015-12-27","","190.10416667"
"PARQUE LAS AGUAS","2015-12-26","","205.6375"
"PARQUE LAS AGUAS","2015-12-25","","223.41666667"
"PARQUE LAS AGUAS","2015-12-24","","224.02083333"
"PARQUE LAS AGUAS","2015-12-23","","209.90416667"
"PARQUE LAS AGUAS","2015-12-22","","193.39166667"
"PARQUE LAS AGUAS","2015-12-21","","229.60833333"
"PARQUE LAS AGUAS","2015-12-20","","213.79583333"
"PARQUE LAS AGUAS","2015-12-19","","167.77083333"
"PARQUE LAS AGUAS","2015-12-18","","153.36666667"
"PARQUE LAS AGUAS","2015-12-17","","158.22916667"
"PARQUE LAS AGUAS","2015-12-16","","182.34166667"
"PARQUE LAS AGUAS","2015-12-15","","190.43333333"
"PARQUE LAS AGUAS","2015-12-14","","157.34166667"
"PARQUE LAS AGUAS","2015-12-13","","163.62083333"
"PARQUE LAS AGUAS","2015-12-12","","240.05"
"PARQUE LAS AGUAS","2015-12-11","","209.0"
"PARQUE LAS AGUAS","2015-12-10","","206.42083333"
"PARQUE LAS AGUAS","2015-12-09","","176.05833333"
"PARQUE LAS AGUAS","2015-12-08","","158.97083333"
"PARQUE LAS AGUAS","2015-12-07","","168.09166667"
"PARQUE LAS AGUAS","2015-12-06","","173.82083333"
"PARQUE LAS AGUAS","2015-12-05","","213.675"
"PARQUE LAS AGUAS","2015-12-04","","169.52916667"
"PARQUE LAS AGUAS","2015-12-03","","161.5875"
"PARQUE LAS AGUAS","2015-12-02","","199.275"
"PARQUE LAS AGUAS","2015-12-01","","133.84347826"
"PARQUE LAS AGUAS","2015-11-30","","70.86428571"
"PARQUE LAS AGUAS","2015-11-29","","223.20833333"
"PARQUE LAS AGUAS","2015-11-28","","157.35416667"
"PARQUE LAS AGUAS","2015-11-27","","147.20869565"
"PARQUE LAS AGUAS","2015-11-26","","202.05"
"PARQUE LAS AGUAS","2015-11-25","","217.8173913"
"PARQUE LAS AGUAS","2015-11-24","","155.82173913"
"PARQUE LAS AGUAS","2015-11-23","","156.86818182"
"PARQUE LAS AGUAS","2015-11-22","","150.82727273"
"PARQUE LAS AGUAS","2015-11-21","","173.97083333"
"PARQUE LAS AGUAS","2015-11-20","","191.90434783"
"PARQUE LAS AGUAS","2015-11-19","","155.55909091"
"PARQUE LAS AGUAS","2015-11-18","","73.95217391"
"PARQUE LAS AGUAS","2015-11-17","","85.93181818"
"PARQUE LAS AGUAS","2015-11-16","","160.60952381"
"PARQUE LAS AGUAS","2015-11-15","","113.72608696"
"PARQUE LAS AGUAS","2015-11-14","","183.79565217"
"PARQUE LAS AGUAS","2015-11-13","","184.975"
"PARQUE LAS AGUAS","2015-11-12","","155.89565217"
"PARQUE LAS AGUAS","2015-11-11","","199.7826087"
"PARQUE LAS AGUAS","2015-11-10","","224.82916667"
"PARQUE LAS AGUAS","2015-11-09","","185.96956522"
"PARQUE LAS AGUAS","2015-11-08","","204.4"
"PARQUE LAS AGUAS","2015-11-07","","124.7625"
"PARQUE LAS AGUAS","2015-11-06","","193.4"
"PARQUE LAS AGUAS","2015-11-05","","172.09583333"
"PARQUE LAS AGUAS","2015-11-04","","203.66086957"
"PARQUE LAS AGUAS","2015-11-03","","202.89130435"
"PARQUE LAS AGUAS","2015-11-02","","99.06086957"
"PARQUE LAS AGUAS","2015-11-01","","201.8125"
"PARQUE LAS AGUAS","2015-10-31","","228.40708333"
"PARQUE LAS AGUAS","2015-10-30","","168.80416667"
"PARQUE LAS AGUAS","2015-10-29","","170.18708333"
"PARQUE LAS AGUAS","2015-10-28","","165.65208333"
"PARQUE LAS AGUAS","2015-10-27","","100.44041667"
"PARQUE LAS AGUAS","2015-10-26","","89.08625"
"PARQUE LAS AGUAS","2015-10-25","","160.28666667"
"PARQUE LAS AGUAS","2015-10-24","","55.79583333"
"PARQUE LAS AGUAS","2015-10-23","","191.4275"
"PARQUE LAS AGUAS","2015-10-22","","210.7675"
"PARQUE LAS AGUAS","2015-10-21","","141.83875"
"PARQUE LAS AGUAS","2015-10-20","","187.94"
"PARQUE LAS AGUAS","2015-10-19","","195.12583333"
"PARQUE LAS AGUAS","2015-10-18","","187.76625"
"PARQUE LAS AGUAS","2015-10-17","","191.11041667"
"PARQUE LAS AGUAS","2015-10-16","","159.87583333"
"PARQUE LAS AGUAS","2015-10-15","","133.00416667"
"PARQUE LAS AGUAS","2015-10-14","","147.32"
"PARQUE LAS AGUAS","2015-10-13","","225.925"
"PARQUE LAS AGUAS","2015-10-12","","167.12125"
"PARQUE LAS AGUAS","2015-10-11","","131.39"
"PARQUE LAS AGUAS","2015-10-10","","163.35041667"
"PARQUE LAS AGUAS","2015-10-09","","192.56458333"
"PARQUE LAS AGUAS","2015-10-08","","219.59291667"
"PARQUE LAS AGUAS","2015-10-07","","231.36375"
"PARQUE LAS AGUAS","2015-10-06","","213.12166667"
"PARQUE LAS AGUAS","2015-10-05","","224.09958333"
"PARQUE LAS AGUAS","2015-10-04","","189.45583333"
"PARQUE LAS AGUAS","2015-10-03","","123.16041667"
"PARQUE LAS AGUAS","2015-10-02","","181.49875"
"PARQUE LAS AGUAS","2015-10-01","","80.48041667"
"PARQUE LAS AGUAS","2015-09-30","","179.32916667"
"PARQUE LAS AGUAS","2015-09-29","","214.07083333"
"PARQUE LAS AGUAS","2015-09-28","","259.41666667"
"PARQUE LAS AGUAS","2015-09-27","","238.32916667"
"PARQUE LAS AGUAS","2015-09-26","","248.57083333"
"PARQUE LAS AGUAS","2015-09-25","","235.1625"
"PARQUE LAS AGUAS","2015-09-24","","249.02083333"
"PARQUE LAS AGUAS","2015-09-23","","192.02916667"
"PARQUE LAS AGUAS","2015-09-22","","232.78333333"
"PARQUE LAS AGUAS","2015-09-21","","230.7375"
"PARQUE LAS AGUAS","2015-09-20","","142.26666667"
"PARQUE LAS AGUAS","2015-09-19","","238.78333333"
"PARQUE LAS AGUAS","2015-09-18","","185.01666667"
"PARQUE LAS AGUAS","2015-09-17","","230.45833333"
"PARQUE LAS AGUAS","2015-09-16","","273.0875"
"PARQUE LAS AGUAS","2015-09-15","","210.18333333"
"PARQUE LAS AGUAS","2015-09-14","","219.47083333"
"PARQUE LAS AGUAS","2015-09-13","","274.25"
"PARQUE LAS AGUAS","2015-09-12","","276.94166667"
"PARQUE LAS AGUAS","2015-09-11","","137.65416667"
"PARQUE LAS AGUAS","2015-09-10","","158.48333333"
"PARQUE LAS AGUAS","2015-09-09","","200.75833333"
"PARQUE LAS AGUAS","2015-09-08","","221.35"
"PARQUE LAS AGUAS","2015-09-07","","176.25416667"
"PARQUE LAS AGUAS","2015-09-06","","162.38333333"
"PARQUE LAS AGUAS","2015-09-05","","180.66666667"
"PARQUE LAS AGUAS","2015-09-04","","255.75416667"
"PARQUE LAS AGUAS","2015-09-03","","229.07916667"
"PARQUE LAS AGUAS","2015-09-02","","214.24583333"
"PARQUE LAS AGUAS","2015-09-01","","228.42083333"
"PARQUE LAS AGUAS","2015-08-31","","262.15833333"
"PARQUE LAS AGUAS","2015-08-30","","184.34541667"
"PARQUE LAS AGUAS","2015-08-29","","269.83958333"
"PARQUE LAS AGUAS","2015-08-28","","254.92916667"
"PARQUE LAS AGUAS","2015-08-27","","222.5125"
"PARQUE LAS AGUAS","2015-08-26","","201.94625"
"PARQUE LAS AGUAS","2015-08-25","","203.65083333"
"PARQUE LAS AGUAS","2015-08-24","","191.05375"
"PARQUE LAS AGUAS","2015-08-23","","210.79041667"
"PARQUE LAS AGUAS","2015-08-22","","221.24541667"
"PARQUE LAS AGUAS","2015-08-21","","224.70041667"
"PARQUE LAS AGUAS","2015-08-20","","245.58541667"
"PARQUE LAS AGUAS","2015-08-19","","268.29833333"
"PARQUE LAS AGUAS","2015-08-18","","249.63125"
"PARQUE LAS AGUAS","2015-08-17","","200.04416667"
"PARQUE LAS AGUAS","2015-08-16","","149.00125"
"PARQUE LAS AGUAS","2015-08-15","","190.30958333"
"PARQUE LAS AGUAS","2015-08-14","","189.015"
"PARQUE LAS AGUAS","2015-08-13","","179.47083333"
"PARQUE LAS AGUAS","2015-08-12","","189.52166667"
"PARQUE LAS AGUAS","2015-08-11","","219.30458333"
"PARQUE LAS AGUAS","2015-08-10","","166.26625"
"PARQUE LAS AGUAS","2015-08-09","","115.27541667"
"PARQUE LAS AGUAS","2015-08-08","","115.10708333"
"PARQUE LAS AGUAS","2015-08-07","","206.73"
"PARQUE LAS AGUAS","2015-08-06","","226.24958333"
"PARQUE LAS AGUAS","2015-08-05","","234.93208333"
"PARQUE LAS AGUAS","2015-08-04","","238.3325"
"PARQUE LAS AGUAS","2015-08-03","","243.0175"
"PARQUE LAS AGUAS","2015-08-02","","219.00916667"
"PARQUE LAS AGUAS","2015-08-01","","238.36"
"PARQUE LAS AGUAS","2015-07-31","","231.67083333"
"PARQUE LAS AGUAS","2015-07-30","","203.70833333"
"PARQUE LAS AGUAS","2015-07-29","","248.87916667"
"PARQUE LAS AGUAS","2015-07-28","","268.55"
"PARQUE LAS AGUAS","2015-07-27","","241.275"
"PARQUE LAS AGUAS","2015-07-26","","240.02916667"
"PARQUE LAS AGUAS","2015-07-25","","269.175"
"PARQUE LAS AGUAS","2015-07-24","","251.97083333"
"PARQUE LAS AGUAS","2015-07-23","","156.95833333"
"PARQUE LAS AGUAS","2015-07-22","","220.13333333"
"PARQUE LAS AGUAS","2015-07-21","","238.1125"
"PARQUE LAS AGUAS","2015-07-20","","189.10833333"
"PARQUE LAS AGUAS","2015-07-19","","204.7"
"PARQUE LAS AGUAS","2015-07-18","","168.62916667"
"PARQUE LAS AGUAS","2015-07-17","","228.62916667"
"PARQUE LAS AGUAS","2015-07-16","","203.74166667"
"PARQUE LAS AGUAS","2015-07-15","","152.43333333"
"PARQUE LAS AGUAS","2015-07-14","","234.22916667"
"PARQUE LAS AGUAS","2015-07-13","","242.66666667"
"PARQUE LAS AGUAS","2015-07-12","","204.99166667"
"PARQUE LAS AGUAS","2015-07-11","","207.9375"
"PARQUE LAS AGUAS","2015-07-10","","239.80833333"
"PARQUE LAS AGUAS","2015-07-09","","206.725"
"PARQUE LAS AGUAS","2015-07-08","","242.1"
"PARQUE LAS AGUAS","2015-07-07","","195.275"
"PARQUE LAS AGUAS","2015-07-06","","201.6"
"PARQUE LAS AGUAS","2015-07-05","","207.01666667"
"PARQUE LAS AGUAS","2015-07-04","","183.80833333"
"PARQUE LAS AGUAS","2015-07-03","","214.05416667"
"PARQUE LAS AGUAS","2015-07-02","","248.9125"
"PARQUE LAS AGUAS","2015-07-01","","250.83333333"
"PARQUE LAS AGUAS","2015-06-30","","228.54166667"
"PARQUE LAS AGUAS","2015-06-29","","196.6"
"PARQUE LAS AGUAS","2015-06-28","","226.9875"
"PARQUE LAS AGUAS","2015-06-27","","196.17916667"
"PARQUE LAS AGUAS","2015-06-26","","233.67916667"
"PARQUE LAS AGUAS","2015-06-25","","246.4875"
"PARQUE LAS AGUAS","2015-06-24","","265.0875"
"PARQUE LAS AGUAS","2015-06-23","","225.59583333"
"PARQUE LAS AGUAS","2015-06-22","","191.73333333"
"PARQUE LAS AGUAS","2015-06-21","","204.49583333"
"PARQUE LAS AGUAS","2015-06-20","","196.19166667"
"PARQUE LAS AGUAS","2015-06-19","","194.36363636"
"PARQUE LAS AGUAS","2015-06-18","","233.7"
"PARQUE LAS AGUAS","2015-06-17","","192.84583333"
"PARQUE LAS AGUAS","2015-06-16","","228.375"
"PARQUE LAS AGUAS","2015-06-15","","209.02916667"
"PARQUE LAS AGUAS","2015-06-14","","224.925"
"PARQUE LAS AGUAS","2015-06-13","","179.175"
"PARQUE LAS AGUAS","2015-06-12","","259.6625"
"PARQUE LAS AGUAS","2015-06-11","","240.875"
"PARQUE LAS AGUAS","2015-06-10","","181.03333333"
"PARQUE LAS AGUAS","2015-06-09","","163.98333333"
"PARQUE LAS AGUAS","2015-06-08","","183.975"
"PARQUE LAS AGUAS","2015-06-07","","237.64583333"
"PARQUE LAS AGUAS","2015-06-06","","234.91666667"
"PARQUE LAS AGUAS","2015-06-05","","139.8375"
"PARQUE LAS AGUAS","2015-06-04","","173.1375"
"PARQUE LAS AGUAS","2015-06-03","","218.30833333"
"PARQUE LAS AGUAS","2015-06-02","","237.95833333"
"PARQUE LAS AGUAS","2015-06-01","","185.23333333"
"PARQUE LAS AGUAS","2015-05-31","","215.75"
"PARQUE LAS AGUAS","2015-05-30","","159.97083333"
"PARQUE LAS AGUAS","2015-05-29","","150.625"
"PARQUE LAS AGUAS","2015-05-28","","113.30416667"
"PARQUE LAS AGUAS","2015-05-27","","142.2125"
"PARQUE LAS AGUAS","2015-05-26","","204.5625"
"PARQUE LAS AGUAS","2015-05-25","","187.25"
"PARQUE LAS AGUAS","2015-05-24","","216.6"
"PARQUE LAS AGUAS","2015-05-23","","216.19583333"
"PARQUE LAS AGUAS","2015-05-22","","34.7375"
"PARQUE LAS AGUAS","2015-05-21","","154.9625"
"PARQUE LAS AGUAS","2015-05-20","","196.92083333"
"PARQUE LAS AGUAS","2015-05-19","","193.78333333"
"PARQUE LAS AGUAS","2015-05-18","","187.875"
"PARQUE LAS AGUAS","2015-05-17","","185.66666667"
"PARQUE LAS AGUAS","2015-05-16","","277.29583333"
"PARQUE LAS AGUAS","2015-05-15","","211.55833333"
"PARQUE LAS AGUAS","2015-05-14","","239.5125"
"PARQUE LAS AGUAS","2015-05-13","","220.10833333"
