"Estacion","Fecha inicial","Fecha final","TAire2"
"PARQUE LAS AGUAS","2013-02-28","","22.1625"
"PARQUE LAS AGUAS","2013-02-27","","23.08333333"
"PARQUE LAS AGUAS","2013-02-26","","23.2375"
"PARQUE LAS AGUAS","2013-02-25","","22.63333333"
"PARQUE LAS AGUAS","2013-02-24","","22.97083333"
"PARQUE LAS AGUAS","2013-02-23","","23.32083333"
"PARQUE LAS AGUAS","2013-02-22","","22.4375"
"PARQUE LAS AGUAS","2013-02-21","","22.14583333"
"PARQUE LAS AGUAS","2013-02-20","","24.93571429"
"PARQUE LAS AGUAS","2013-02-11","","19.47142857"
"PARQUE LAS AGUAS","2013-02-10","","20.4625"
"PARQUE LAS AGUAS","2013-02-09","","21.2625"
"PARQUE LAS AGUAS","2013-02-08","","21.34166667"
"PARQUE LAS AGUAS","2013-02-07","","22.03333333"
"PARQUE LAS AGUAS","2013-02-06","","20.725"
"PARQUE LAS AGUAS","2013-02-05","","21.05"
"PARQUE LAS AGUAS","2013-02-04","","22.50833333"
"PARQUE LAS AGUAS","2013-02-01","","19.0"
"PARQUE LAS AGUAS","2013-01-31","","22.67916667"
"PARQUE LAS AGUAS","2013-01-30","","23.17083333"
"PARQUE LAS AGUAS","2013-01-29","","23.15833333"
"PARQUE LAS AGUAS","2013-01-28","","24.11666667"
"PARQUE LAS AGUAS","2013-01-27","","23.17916667"
"PARQUE LAS AGUAS","2013-01-26","","21.2"
"PARQUE LAS AGUAS","2013-01-25","","20.7"
"PARQUE LAS AGUAS","2013-01-24","","21.50416667"
"PARQUE LAS AGUAS","2013-01-23","","22.3625"
"PARQUE LAS AGUAS","2013-01-22","","23.01666667"
"PARQUE LAS AGUAS","2013-01-21","","22.79166667"
"PARQUE LAS AGUAS","2013-01-20","","21.425"
"PARQUE LAS AGUAS","2013-01-19","","22.12916667"
"PARQUE LAS AGUAS","2013-01-18","","21.87916667"
"PARQUE LAS AGUAS","2013-01-17","","22.35833333"
"PARQUE LAS AGUAS","2013-01-16","","21.275"
"PARQUE LAS AGUAS","2013-01-15","","20.59583333"
"PARQUE LAS AGUAS","2013-01-14","","21.8875"
"PARQUE LAS AGUAS","2013-01-13","","22.03333333"
"PARQUE LAS AGUAS","2013-01-12","","22.825"
"PARQUE LAS AGUAS","2013-01-11","","23.51666667"
"PARQUE LAS AGUAS","2013-01-10","","22.6625"
"PARQUE LAS AGUAS","2013-01-09","","22.21666667"
"PARQUE LAS AGUAS","2013-01-08","","22.62083333"
"PARQUE LAS AGUAS","2013-01-07","","22.75416667"
"PARQUE LAS AGUAS","2013-01-06","","23.23333333"
"PARQUE LAS AGUAS","2013-01-05","","22.96666667"
"PARQUE LAS AGUAS","2013-01-04","","22.57916667"
"PARQUE LAS AGUAS","2013-01-03","","22.225"
"PARQUE LAS AGUAS","2013-01-02","","22.84583333"
"PARQUE LAS AGUAS","2013-01-01","","22.3625"
"PARQUE LAS AGUAS","2012-12-31","","21.63333333"
"PARQUE LAS AGUAS","2012-12-30","","21.47083333"
"PARQUE LAS AGUAS","2012-12-29","","22.25833333"
"PARQUE LAS AGUAS","2012-12-28","","22.36666667"
"PARQUE LAS AGUAS","2012-12-27","","22.225"
"PARQUE LAS AGUAS","2012-12-26","","21.79583333"
"PARQUE LAS AGUAS","2012-12-25","","21.90416667"
"PARQUE LAS AGUAS","2012-12-24","","21.36666667"
"PARQUE LAS AGUAS","2012-12-23","","21.60833333"
"PARQUE LAS AGUAS","2012-12-22","","22.30416667"
"PARQUE LAS AGUAS","2012-12-21","","21.6"
"PARQUE LAS AGUAS","2012-12-20","","21.85833333"
"PARQUE LAS AGUAS","2012-12-19","","21.31666667"
"PARQUE LAS AGUAS","2012-12-18","","20.625"
"PARQUE LAS AGUAS","2012-12-17","","21.09166667"
"PARQUE LAS AGUAS","2012-12-16","","21.32083333"
"PARQUE LAS AGUAS","2012-12-15","","20.92916667"
"PARQUE LAS AGUAS","2012-12-14","","20.30416667"
"PARQUE LAS AGUAS","2012-12-13","","21.4125"
"PARQUE LAS AGUAS","2012-12-12","","20.59166667"
"PARQUE LAS AGUAS","2012-12-11","","21.47916667"
"PARQUE LAS AGUAS","2012-12-10","","22.8625"
"PARQUE LAS AGUAS","2012-12-09","","22.09583333"
"PARQUE LAS AGUAS","2012-12-08","","21.94166667"
"PARQUE LAS AGUAS","2012-12-07","","21.63333333"
"PARQUE LAS AGUAS","2012-12-06","","21.25833333"
"PARQUE LAS AGUAS","2012-12-05","","20.97083333"
"PARQUE LAS AGUAS","2012-12-04","","21.39583333"
"PARQUE LAS AGUAS","2012-12-03","","21.05"
"PARQUE LAS AGUAS","2012-12-02","","20.0125"
"PARQUE LAS AGUAS","2012-12-01","","20.1625"
"PARQUE LAS AGUAS","2012-11-30","","21.18333333"
"PARQUE LAS AGUAS","2012-11-29","","21.42916667"
"PARQUE LAS AGUAS","2012-11-28","","21.67916667"
"PARQUE LAS AGUAS","2012-11-27","","21.8125"
