"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"PARQUE LAS AGUAS","2025-10-31","","22.06708696"
"PARQUE LAS AGUAS","2025-10-30","","21.85441667"
"PARQUE LAS AGUAS","2025-10-29","","22.80145833"
"PARQUE LAS AGUAS","2025-10-28","","22.23566667"
"PARQUE LAS AGUAS","2025-10-27","","21.718625"
"PARQUE LAS AGUAS","2025-10-26","","21.7465"
"PARQUE LAS AGUAS","2025-10-25","","21.641"
"PARQUE LAS AGUAS","2025-10-24","","20.55195833"
"PARQUE LAS AGUAS","2025-10-23","","19.89508333"
"PARQUE LAS AGUAS","2025-10-22","","20.17154167"
"PARQUE LAS AGUAS","2025-10-21","","21.32045833"
"PARQUE LAS AGUAS","2025-10-20","","21.31658333"
"PARQUE LAS AGUAS","2025-10-19","","22.41533333"
"PARQUE LAS AGUAS","2025-10-18","","21.55370833"
"PARQUE LAS AGUAS","2025-10-17","","20.15195833"
"PARQUE LAS AGUAS","2025-10-16","","20.678125"
"PARQUE LAS AGUAS","2025-10-15","","6.963625"
"PARQUE LAS AGUAS","2025-10-14","","0.0"
"PARQUE LAS AGUAS","2025-10-13","","0.0"
"PARQUE LAS AGUAS","2025-10-12","","0.0"
"PARQUE LAS AGUAS","2025-10-11","","0.0"
"PARQUE LAS AGUAS","2025-10-10","","10.2845"
"PARQUE LAS AGUAS","2025-10-09","","20.805375"
"PARQUE LAS AGUAS","2025-10-08","","19.09720833"
"PARQUE LAS AGUAS","2025-10-07","","22.633625"
"PARQUE LAS AGUAS","2025-10-06","","20.57970833"
"PARQUE LAS AGUAS","2025-10-05","","22.21108333"
"PARQUE LAS AGUAS","2025-10-04","","22.57608333"
"PARQUE LAS AGUAS","2025-10-03","","21.78179167"
"PARQUE LAS AGUAS","2025-10-02","","22.18304167"
"PARQUE LAS AGUAS","2025-10-01","","20.870375"
"PARQUE LAS AGUAS","2025-09-30","","0.0"
"PARQUE LAS AGUAS","2025-09-29","","0.0"
"PARQUE LAS AGUAS","2025-09-28","","0.0"
"PARQUE LAS AGUAS","2025-09-27","","0.0"
"PARQUE LAS AGUAS","2025-09-26","","0.0"
"PARQUE LAS AGUAS","2025-09-25","","0.0"
"PARQUE LAS AGUAS","2025-09-24","","8.74775"
"PARQUE LAS AGUAS","2025-09-23","","23.417625"
"PARQUE LAS AGUAS","2025-09-22","","22.97804167"
"PARQUE LAS AGUAS","2025-09-21","","22.85908333"
"PARQUE LAS AGUAS","2025-09-20","","22.28841667"
"PARQUE LAS AGUAS","2025-09-19","","21.02275"
"PARQUE LAS AGUAS","2025-09-18","","10.08679167"
"PARQUE LAS AGUAS","2025-09-17","","0.0"
"PARQUE LAS AGUAS","2025-09-16","","0.0"
"PARQUE LAS AGUAS","2025-09-15","","0.0"
"PARQUE LAS AGUAS","2025-09-14","","0.0"
"PARQUE LAS AGUAS","2025-09-13","","0.0"
"PARQUE LAS AGUAS","2025-09-12","","0.0"
"PARQUE LAS AGUAS","2025-09-11","","0.0"
"PARQUE LAS AGUAS","2025-09-10","","0.0"
"PARQUE LAS AGUAS","2025-09-09","","0.0"
"PARQUE LAS AGUAS","2025-09-08","","0.0"
"PARQUE LAS AGUAS","2025-09-07","","0.0"
"PARQUE LAS AGUAS","2025-09-06","","0.0"
"PARQUE LAS AGUAS","2025-09-05","","0.0"
"PARQUE LAS AGUAS","2025-09-04","","0.0"
"PARQUE LAS AGUAS","2025-09-03","","0.0"
"PARQUE LAS AGUAS","2025-09-02","","0.0"
"PARQUE LAS AGUAS","2025-09-01","","0.0"
"PARQUE LAS AGUAS","2025-04-23","","21.1338718"
"PARQUE LAS AGUAS","2025-04-22","","21.09750694"
"PARQUE LAS AGUAS","2025-04-21","","20.10654187"
"PARQUE LAS AGUAS","2025-04-20","","21.19273611"
"PARQUE LAS AGUAS","2025-04-19","","23.03553065"
"PARQUE LAS AGUAS","2025-04-18","","24.05330308"
"PARQUE LAS AGUAS","2025-04-17","","22.99039501"
"PARQUE LAS AGUAS","2025-04-16","","23.58286111"
"PARQUE LAS AGUAS","2025-04-15","","23.93114065"
"PARQUE LAS AGUAS","2025-04-14","","23.94178472"
"PARQUE LAS AGUAS","2025-04-13","","24.18829861"
