"Estacion","Fecha inicial","Fecha final","PM10"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-29","","28.7003"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-26","","17.1356"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-23","","36.6617"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-20","","22.0163"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-17","","28.9286"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-15","","32.7439"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-11","","25.9979"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-08","","32.248"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-05","","13.3975"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-10-02","","34.542"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-29","","20.72709459"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-26","","35.7053252"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-23","","22.02752322"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-20","","18.17699773"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-17","","27.47645764"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-14","","15.45608515"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-11","","28.93682558"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-08","","12.48688781"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-05","","20.78176356"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-09-02","","24.14747503"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-30","","26.80748879"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-27","","21.71686067"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-24","","15.55077601"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-21","","23.50815577"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-18","","14.29261564"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-15","","31.08459851"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-12","","21.49032584"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-09","","19.56526022"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-06","","22.2921618"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-08-03","","13.83183766"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-31","","19.9716"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-28","","18.7088402"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-25","","29.53591302"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-22","","27.2739"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-19","","28.2759"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-16","","24.8217"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-13","","16.4268"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-10","","24.773"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-07","","21.3306"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-04","","19.4618"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-07-01","","17.49"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-27","","19.786"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-25","","35.3967"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-22","","16.2032"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-19","","22.3675"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-16","","28.1315"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-10","","19.4823"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-07","","19.0009"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-06-04","","28.0474"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-31","","26.44479341"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-28","","37.95752843"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-25","","16.90145557"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-22","","28.88133637"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-19","","20.58901939"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-16","","31.33806938"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-13","","37.06585361"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-10","","31.34134981"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-07","","24.80690214"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-04","","17.68990375"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-05-01","","29.3084315"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-28","","24.78090256"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-25","","27.46278356"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-22","","25.02897281"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-19","","14.771"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-14","","27.3935"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-11","","21.1522"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-09","","34.9808"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-07","","24.6448"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-04","","30.0664"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-04-01","","27.7979"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-29","","39.79084456"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-26","","47.98323793"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-22","","20.07451671"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-19","","22.6876"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-16","","20.8182"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-13","","33.8122"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-10","","38.0983"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-07","","31.1075"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-04","","39.8933"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-03-01","","37.6561"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-26","","33.21962797"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-23","","16.86508822"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-20","","22.1514"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-17","","20.3365"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-14","","33.6658"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-11","","27.8773"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-08","","30.5648"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-05","","38.4555"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-02-02","","22.9642"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-30","","17.96205703"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-27","","25.11112705"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-24","","36.38366426"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-21","","28.3025"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-18","","15.8967"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-15","","16.0488"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-12","","11.577"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-09","","24.3443"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-06","","11.3162"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2025-01-03","","19.2009"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2024-12-28","","22.96665367"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2024-12-25","","17.71708952"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2024-12-22","","17.1727"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2024-12-19","","35.6615"
"PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES SAN FERNANDO - TERRAZA EDIFICIO DE OPERACIONES.","2024-12-16","","26.7362"
