"Estacion","Fecha inicial","Fecha final","HAire10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-31","","53.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-30","","54.53333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-29","","53.53333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-28","","60.64166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-27","","57.475"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-26","","52.7875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-25","","52.70416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-24","","52.77916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-23","","56.99583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-22","","57.02916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-21","","53.80833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-20","","56.675"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-19","","61.87083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-18","","70.69583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-17","","65.05"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-16","","70.4625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-15","","69.2875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-14","","70.06666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-13","","63.15416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-12","","55.38333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-11","","57.79583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-10","","60.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-09","","60.34583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-08","","60.67916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-07","","62.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-06","","55.525"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-05","","57.82083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-04","","63.02608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-03","","60.03636364"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-02","","53.68235294"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-01","","62.50416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-30","","62.2625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-29","","63.1125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-28","","70.97083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-27","","65.31666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-26","","65.40833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-25","","67.7375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-24","","74.32083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-23","","71.02916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-22","","66.77083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-21","","68.79583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-20","","71.18333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-19","","72.97916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-18","","74.64166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-17","","70.02916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-16","","72.0375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-15","","65.78333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-14","","63.95416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-13","","63.30833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-12","","62.4375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-11","","69.37916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-10","","62.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-09","","68.22083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-08","","69.62916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-07","","76.26666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-06","","72.55"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-05","","74.43333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-04","","73.44166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-03","","67.70416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-02","","76.65833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-01","","72.7826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-31","","73.13333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-30","","68.0375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-29","","66.80833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-28","","65.63333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-27","","75.49583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-26","","79.55416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-25","","76.48333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-24","","79.37083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-23","","69.32083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-22","","62.64166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-21","","62.89166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-20","","64.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-19","","58.75833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-18","","63.6625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-17","","65.63333333"
