"Estacion","Fecha inicial","Fecha final","NO"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-31","","22.8625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-30","","31.44583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-29","","27.15"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-28","","34.2625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-27","","24.8125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-26","","25.1125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-25","","11.57083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-24","","31.80416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-23","","38.00434783"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-22","","43.51666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-21","","30.09565217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-20","","24.85"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-19","","59.15833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-18","","74.51666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-17","","48.99166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-16","","77.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-15","","47.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-14","","42.45"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-13","","21.62916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-12","","36.36666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-11","","66.275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-10","","45.82083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-09","","51.70869565"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-08","","37.42916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-07","","55.84166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-06","","41.4625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-05","","33.69583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-04","","43.12173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-03","","70.02222222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-02","","61.47083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-01","","50.57916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-30","","48.10416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-29","","34.56666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-28","","52.40833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-27","","46.02083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-26","","51.07826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-25","","52.44545455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-24","","52.85"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-23","","58.80833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-22","","26.1875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-21","","50.37083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-20","","84.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-19","","69.39583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-18","","57.51666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-17","","54.57083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-16","","42.2"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-15","","27.35833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-14","","34.67083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-13","","41.28333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-12","","57.57916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-11","","70.51666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-10","","44.79090909"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-09","","43.5125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-08","","48.3625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-07","","66.67083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-06","","48.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-05","","67.60416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-04","","55.0125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-03","","78.1375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-02","","27.50833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-01","","24.22608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-31","","47.60833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-30","","67.34583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-29","","47.70416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-28","","54.92083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-27","","74.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-26","","86.51818182"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-25","","44.94166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-24","","72.15"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-23","","63.7125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-22","","37.22916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-21","","52.1625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-20","","47.09166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-19","","34.88333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-18","","23.32916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-17","","46.03333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-16","","84.12083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-15","","63.5125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-14","","51.1875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-13","","48.52916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-12","","19.9375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-11","","26.26086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-10","","25.92083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-09","","34.91818182"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-08","","22.3"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-07","","25.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-06","","40.05"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-05","","28.11428571"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-04","","19.53333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-03","","46.06666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-02","","39.32608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-01","","79.6"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-30","","46.3952381"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-29","","26.32727273"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-28","","33.77894737"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-27","","12.8"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-26","","30.02083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-25","","22.82666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-24","","21.52727273"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-23","","31.25416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-22","","46.0125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-21","","76.60416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-20","","50.8375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-19","","47.0875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-18","","71.4"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-17","","39.02083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-16","","26.64583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-15","","25.92916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-14","","42.2375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-13","","21.675"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-12","","35.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-11","","80.42916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-10","","41.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-09","","41.10416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-08","","33.265"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-07","","30.78333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-06","","16.87083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-05","","17.75833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-04","","22.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-03","","31.05"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-02","","27.40833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-01","","26.30434783"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-31","","22.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-30","","26.64166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-29","","30.98333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-28","","35.7375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-27","","42.2375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-26","","56.4125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-25","","31.0875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-24","","51.03333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-23","","18.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-22","","31.45416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-21","","51.70416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-20","","36.10833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-19","","29.95"
