"Estacion","Fecha inicial","Fecha final","NOx"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-31","","61.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-30","","74.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-29","","74.74583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-28","","87.80416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-27","","68.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-26","","71.67916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-25","","42.075"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-24","","78.29583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-23","","84.95652174"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-22","","105.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-21","","75.41304348"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-20","","58.87916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-19","","105.64166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-18","","129.7"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-17","","104.8875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-16","","136.35416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-15","","102.7875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-14","","97.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-13","","67.96666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-12","","92.50416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-11","","130.00416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-10","","106.1"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-09","","109.96086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-08","","80.24583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-07","","115.42916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-06","","89.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-05","","79.64166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-04","","105.06086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-03","","134.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-02","","109.21666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-01","","98.32083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-30","","106.59166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-29","","71.72916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-28","","108.54583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-27","","105.69166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-26","","116.43913043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-25","","108.20909091"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-24","","102.71428571"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-23","","111.02916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-22","","62.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-21","","91.14166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-20","","138.025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-19","","123.88333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-18","","108.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-17","","103.57083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-16","","77.8"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-15","","68.52083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-14","","97.3875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-13","","104.95"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-12","","115.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-11","","127.0375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-10","","108.41818182"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-09","","99.56666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-08","","87.40833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-07","","115.1875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-06","","98.8625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-05","","125.69583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-04","","111.15"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-03","","135.37083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-02","","67.89166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-01","","67.57826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-31","","109.075"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-30","","133.35833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-29","","111.44166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-28","","126.50416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-27","","135.55833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-26","","153.49090909"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-25","","96.7625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-24","","137.22916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-23","","131.61666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-22","","94.6875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-21","","120.99166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-20","","102.68333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-19","","88.275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-18","","59.2375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-17","","99.10833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-10-16","","146.2125"
