"Estacion","Fecha inicial","Fecha final","PM10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-29","","32.3698"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-26","","16.4512"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-23","","48.8259"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-20","","33.5146"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-17","","34.4832"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-15","","37.7575"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-11","","24.6087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-08","","35.4283"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-05","","17.236"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-02","","35.4305"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-29","","30.42077382"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-26","","44.98081291"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-23","","27.79616608"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-20","","29.42698385"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-17","","35.13557351"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-14","","20.77153367"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-11","","40.04327861"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-08","","21.41324046"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-05","","30.08791466"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-02","","33.4558896"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-30","","33.10887475"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-27","","25.81493098"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-24","","15.22085842"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-21","","30.09322591"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-18","","17.15911941"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-15","","38.63862801"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-12","","28.17882302"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-09","","21.84035923"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-06","","29.07616427"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-03","","17.30282757"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-07-31","","25.48987727"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-07-28","","20.44276402"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-07-25","","46.16430642"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-07-22","","33.46110029"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-07-19","","31.4796584"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-07-16","","30.76789495"
