"Estacion","Fecha inicial","Fecha final","PM2.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-29","","18.3097"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-26","","11.9346"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-23","","25.6533"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-20","","9.04408"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-17","","19.5059"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-15","","24.8547"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-08","","19.413"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-05","","11.2784"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-10-02","","22.5673"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-29","","17.88849559"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-26","","24.67252069"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-23","","15.82653636"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-20","","15.72674671"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-17","","19.96281994"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-14","","14.32852444"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-11","","10.01515375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-08","","5.10083022"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-05","","8.55549426"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-09-02","","23.03202446"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2025-08-30","","18.61837135"
