"Estacion","Fecha inicial","Fecha final","PST"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2008-04-03","","138.02204071"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2008-03-31","","121.91413142"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2008-03-28","","155.37615999"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-29","","129.15147643"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-26","","121.73946685"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-23","","72.97817713"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-20","","143.18625456"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-17","","93.44063866"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-14","","127.82845499"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-11","","120.95838835"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-08","","90.10809057"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-05","","114.17649971"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-12-02","","94.13383567"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-29","","171.83927611"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-26","","102.64296014"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-23","","130.92752713"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-20","","123.15629566"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-17","","204.25959839"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-14","","147.45752717"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-11","","88.19614404"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-08","","128.90908546"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-05","","80.6980047"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-11-02","","168.13556532"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-30","","130.50246458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-27","","91.84618093"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-24","","141.09510276"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-21","","97.86501052"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-18","","103.6761132"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-12","","123.22113432"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-09","","98.42774885"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-06","","116.46828229"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2007-10-03","","124.8113552"
