"Estacion","Fecha inicial","Fecha final","RGlobal"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-31","","149.13333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-30","","200.27826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-29","","239.8"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-28","","150.72608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-27","","205.75652174"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-26","","182.56363636"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-25","","227.02608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-24","","215.12083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-23","","202.30833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-22","","153.85"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-21","","208.17916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-20","","201.3375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-19","","171.29166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-18","","107.37083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-17","","133.84166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-16","","163.18333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-15","","157.39166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-14","","123.2"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-13","","148.425"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-12","","225.43333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-11","","170.225"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-10","","172.49166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-09","","149.275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-08","","168.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-07","","136.92083333"
