"Estacion","Fecha inicial","Fecha final","VViento"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-31","","0.8375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-30","","1.31666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-29","","1.02083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-28","","0.8875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-27","","1.30416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-26","","0.82083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-25","","1.1"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-24","","0.97916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-23","","1.0125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-22","","0.85833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-21","","0.99583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-20","","1.05416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-19","","0.9"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-18","","0.85"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-17","","1.26666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-16","","0.77083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-15","","0.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-14","","0.8625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-13","","0.78333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-12","","1.3875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-11","","0.80833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-10","","1.0375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-09","","0.73333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-08","","1.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-07","","0.9625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-06","","0.74166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-05","","1.0625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-04","","0.70869565"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-03","","1.36363636"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-02","","1.09411765"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-12-01","","1.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-30","","0.75416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-29","","1.05"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-28","","0.87083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-27","","1.14166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-26","","0.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-11-25","","0.97916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-30","","0.48333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-29","","0.675"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-28","","0.49166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-27","","0.50416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-26","","0.3875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-25","","0.60833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-24","","0.69565217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-09-23","","0.68"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-31","","0.9"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-30","","0.45416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-29","","0.8875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-28","","0.66086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID (S)","2015-08-27","","0.975"
