"Estacion","Fecha inicial","Fecha final","CO"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","2228.03397522"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","2515.85467083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","2410.43988042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","2568.63991667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","2033.71980208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","1501.11142917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","1906.12925125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","2579.13222208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","2919.93426708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","2680.34889917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","2644.41788792"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","1875.74840583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","1356.74334833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","1941.50719208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","2234.12009208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","2226.74671167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","2494.56990875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","1786.55817208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","1597.28535625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","1604.59576792"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","1864.89684917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","1889.36374333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","2085.69352417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","2245.81465917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","1863.3574675"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","1852.4632625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-05","","1283.91381417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-04","","2262.01903708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-03","","1943.13930583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-02","","2558.49183667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-01","","2301.81118708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-30","","2118.1838713"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-29","","2324.51077542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-28","","1525.23052083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-27","","1912.56898458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-26","","2323.9323275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-25","","1655.29300125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-24","","1821.68495583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-23","","1346.60041958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-22","","2122.172785"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-21","","1683.66053417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-20","","2012.80555125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-19","","2522.29254417"
