"Estacion","Fecha inicial","Fecha final","DViento"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","167.3256087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","211.552625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","202.95291667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","155.83675"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","196.52870833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","217.78091667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","157.88929167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","152.794625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","181.07"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","167.15908333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","175.1725"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","195.22370833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","95.47016667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","200.00945833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","152.987875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","149.32429167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","173.51404167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","61.40425"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","167.12745833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","203.46829167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","133.99416667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","120.50829167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","157.06566667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","115.79758333"
