"Estacion","Fecha inicial","Fecha final","HAire10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","72.89634783"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","77.00058333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","74.69179167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","77.96075"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","79.11741667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","80.86825"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","78.575125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","83.22445833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","79.864625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","84.79545833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","79.19825"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","79.28758333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","71.11683333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","74.12916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","77.39875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","78.479375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","81.97695833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","25.35375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","76.18275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","80.68366667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","76.69145833"
