"Estacion","Fecha inicial","Fecha final","NO"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","67.17663043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","69.7340175"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","65.33742917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","77.35115833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","80.26456042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","42.96603417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","63.06501583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","95.78423292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","107.55979667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","88.98179125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","85.76994458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","75.80786792"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","29.532825"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","62.14656583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","67.63412958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","69.6851625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","87.22710833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","56.10461542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","44.59944542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","45.57895708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","57.7195075"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","54.16794958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","63.68755375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","78.68041792"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","56.6874725"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","50.98790292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-05","","29.46724917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-04","","66.55315458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-03","","54.83141"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-02","","87.23859083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-01","","77.60602333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-30","","67.9341213"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-29","","59.0692375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-28","","32.61837125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-27","","56.37106375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-26","","71.51572417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-25","","44.87567125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-24","","47.01878667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-23","","32.72139042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-22","","46.95833708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-21","","28.88886333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-20","","43.30024042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-19","","61.8161"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-18","","71.83004125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-17","","45.84833417"
