"Estacion","Fecha inicial","Fecha final","NO2"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","61.08383348"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","62.01294792"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","62.30188375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","55.60384458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","44.49293333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","40.46268083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","56.6821025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","49.83197667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","71.85927583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","69.42328958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","70.66345458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","90.24341583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","42.44980167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","59.62318292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","68.41119333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","61.04402958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","66.48919875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","55.33392542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","40.04214708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","45.76521917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","55.91503083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","36.66863208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","63.34564375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","57.74376458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","55.51649917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","60.70665917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-05","","36.76833292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-04","","50.93432667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-03","","67.24845083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-02","","71.78274292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-01","","52.71036125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-30","","61.87143565"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-29","","66.28265875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-28","","50.28810417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-27","","57.50651083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-26","","67.07900875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-25","","60.48201917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-24","","64.82467292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-23","","44.23660875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-22","","44.13394375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-21","","37.02970375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-20","","51.69847542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-19","","55.659725"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-18","","57.71578667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-17","","54.85123083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-16","","49.53414"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-15","","46.00221542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-14","","32.20849958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-13","","41.15382125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-12","","44.59327"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-11","","53.10321208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-10","","44.05854042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-09","","45.19549792"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-08","","36.49086958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-07","","35.31957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-06","","45.317295"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-05","","52.28811208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-04","","56.62046375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-03","","52.64457042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-02","","62.0868025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-01","","42.35970583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-31","","41.09406704"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-30","","49.73093487"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-29","","46.9029999"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-28","","43.03153271"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-27","","39.59390232"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-26","","43.73728634"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-25","","50.91958494"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-24","","26.45732282"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-23","","50.95143829"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-22","","65.3666811"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-21","","53.7428539"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-20","","48.9507322"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-19","","56.92807684"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-18","","37.97054987"
