"Estacion","Fecha inicial","Fecha final","NOx"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-12-01","","121.0621"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-30","","83.577322"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-29","","75.49055875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-28","","71.02030542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-27","","75.21148917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-26","","70.54081808"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-25","","76.89079833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-24","","68.80194"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-23","","69.61677375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-22","","64.86324958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-21","","75.74262583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-20","","71.67995458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-19","","54.99934067"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-18","","74.42144"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-17","","42.92842729"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-16","","52.07288208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-15","","57.04560292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-14","","58.66275583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-13","","68.28364625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-12","","56.64832167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-11","","45.49033458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-10","","49.80412958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-09","","64.12230292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-08","","72.19237208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-07","","83.55066375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-06","","61.71828833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-05","","68.62973333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-04","","30.34012625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-03","","35.94304917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-02","","42.00232583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-01","","51.8946236"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-31","","69.84363417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-30","","72.54749092"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-29","","84.15205263"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-28","","65.81046292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-27","","30.16200208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-26","","58.53567333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-25","","70.3514375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-24","","67.29349458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-23","","72.02222083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-22","","84.26210125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-21","","59.98737083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-20","","30.9118175"
