"Estacion","Fecha inicial","Fecha final","PLiquida"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","0.02173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","0.0125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","0.05791667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","0.24166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","0.05"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","0.29875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","0.14958333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","0.01125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","0.26958333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","0.02625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","0.60791667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","0.00708333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","0.00625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","0.03833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","0.02208333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","0.35"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","0.19916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","0.19833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","0.10583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","0.0425"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","0.0525"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","0.05833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-05","","0.115"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-04","","0.17875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-03","","0.06958333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-02","","0.01"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-01","","0.22083333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-30","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-29","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-28","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-27","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-26","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-25","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-24","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-23","","0.01458333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-22","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-21","","0.03583333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-20","","0.01666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-19","","0.0225"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-18","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-17","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-16","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-15","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-14","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-11","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-10","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-09","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-08","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-07","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-06","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-05","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-04","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-03","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-02","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-01","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-05","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-04","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-03","","0.01458333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-02","","0.07166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-01","","0.02291667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-31","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-30","","0.11458333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-29","","0.09041667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-28","","0.15166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-27","","0.01875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-26","","0.45208333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-25","","0.37458333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-24","","4.1667E-4"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-23","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-22","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-21","","0.015"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-20","","0.00291667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-19","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-18","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-17","","0.00208333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-16","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-15","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-14","","0.01791667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-12","","0.01208333"
