"Estacion","Fecha inicial","Fecha final","PM10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","25.95652174"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","28.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","29.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","35.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","19.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","12.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","21.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","38.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","44.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","33.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","32.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","33.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","15.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","18.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","20.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","23.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","39.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","24.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","13.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","13.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","25.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","25.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","34.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","31.29166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","22.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","22.83333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-05","","9.83333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-04","","29.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-03","","28.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-02","","36.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-01","","31.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-30","","27.73913043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-29","","25.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-28","","20.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-27","","35.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-26","","39.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-25","","22.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-24","","30.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-23","","20.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-22","","19.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-21","","21.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-20","","24.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-19","","28.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-18","","22.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-17","","32.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-16","","31.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-15","","21.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-14","","17.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-13","","27.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-12","","32.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-11","","30.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-10","","24.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-09","","21.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-08","","16.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-07","","12.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-06","","20.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-05","","27.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-04","","29.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-03","","19.29166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-02","","34.79166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-01","","22.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-31","","29.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-30","","29.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-29","","26.73913043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-28","","25.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-27","","34.02071579"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-26","","19.83712826"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-25","","24.13784042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-24","","27.95992042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-23","","31.81491167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-18","","24.79812857"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-17","","26.95213333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-16","","41.09433583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-15","","24.40636042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-14","","32.18872708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-13","","28.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-12","","24.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-11","","18.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-10","","22.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-09","","22.40909091"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-08","","29.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-07","","25.79166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-06","","25.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-05","","33.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-04","","24.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-03","","15.47826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-02","","29.26086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-01","","23.45454545"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-31","","22.69565217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-30","","19.43478261"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-29","","29.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-28","","19.69565217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-27","","18.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-26","","25.83333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-25","","39.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-24","","29.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-23","","27.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-22","","32.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-21","","25.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-20","","17.28571429"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-19","","31.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-18","","31.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-17","","24.5"
