"Estacion","Fecha inicial","Fecha final","RGlobal"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-30","","263.36411983"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-29","","418.60151"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-28","","353.58832354"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-27","","298.81232275"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-26","","358.16806425"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-25","","408.7226425"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-24","","199.63379733"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-23","","279.72095709"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-22","","401.67677218"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-21","","450.63218533"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-20","","329.73992073"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-19","","393.12009531"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-18","","381.12475455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-17","","405.76663508"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-16","","349.05939823"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-15","","414.023709"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-14","","413.26504158"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-13","","282.09313195"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-12","","282.82189176"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-11","","453.78888583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-10","","262.41682167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-09","","381.36873917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-08","","460.67383417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-07","","295.46366383"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-06","","449.50998417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-05","","288.31342417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-04","","407.56570127"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-03","","372.8944525"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-02","","603.1615925"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-01","","488.42025833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-31","","348.20717033"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-30","","335.63056025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-29","","361.12160917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-28","","514.58176417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-27","","360.30093167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-26","","397.06839833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-25","","467.430077"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-24","","375.81518033"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-23","","460.34317382"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-22","","351.23518417"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-21","","316.36063667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-20","","394.43312331"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-19","","498.09821"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-18","","439.0946565"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-17","","414.14398833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-16","","282.80878833"
