"Estacion","Fecha inicial","Fecha final","TAire10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-12-01","","19.17222"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-30","","19.4374336"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-29","","21.11166625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-28","","21.01818208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-27","","20.94193333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-26","","20.0425"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-25","","20.71299292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-24","","19.23024958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-23","","20.75302083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-22","","21.39023667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-21","","21.75506875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-20","","19.70338542"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-19","","20.9472625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-18","","20.85157958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-17","","22.35871583"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-16","","23.60292917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-15","","22.89574"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-14","","23.126875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-13","","22.90990708"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-12","","23.06200833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-11","","22.37969333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-10","","20.72502958"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-09","","20.77484375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-08","","21.32579333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-07","","19.82269667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-06","","20.50015667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-05","","20.04707917"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-04","","19.62862833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-03","","21.40956"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-02","","22.22493125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-11-01","","21.4479404"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-31","","21.28601875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-30","","21.19207882"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-29","","21.34402391"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-28","","22.72615083"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-27","","21.75317667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-26","","22.799875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-25","","22.890995"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-24","","21.78198333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-23","","21.39502375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-22","","20.42798042"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-21","","20.99185292"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-20","","22.99410458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-19","","23.33421208"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2013-10-18","","21.54145792"
