"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","22.96786957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","22.558625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","23.416875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","21.56020833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","20.88241667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","21.75404167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","21.67516667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","20.12716667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","19.04133333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","19.90154167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","21.11304167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","21.16741667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","22.724125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","22.09170833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","21.022625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","20.65683333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","20.093375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","7.180125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","19.45045833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","20.08766667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","21.10691667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","19.64966667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","21.92195833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","21.488375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-05","","21.74541667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-04","","20.84516667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-03","","21.81633333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-02","","22.30666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-01","","19.32554167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-30","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-29","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-28","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-27","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-26","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-25","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-24","","8.991125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-23","","24.719375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-22","","23.44304167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-21","","23.33741667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-20","","22.08208333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-19","","13.489"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-18","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-17","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-16","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-15","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-14","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-11","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-10","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-09","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-08","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-07","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-06","","0.0"
