"Estacion","Fecha inicial","Fecha final","VViento"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-31","","0.40765217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-30","","0.46025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-29","","0.38033333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-28","","0.26675"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-27","","0.323875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-26","","0.31229167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-25","","0.31979167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-24","","0.2355"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-23","","0.23620833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-22","","0.26925"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-21","","0.314625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-20","","0.52895833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-19","","0.3995"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-18","","0.49958333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-17","","0.56154167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-16","","0.45420833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-15","","0.32429167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-14","","0.19629167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-11","","0.30066667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-10","","0.3495"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-09","","0.46066667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-08","","0.40516667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-07","","0.5325"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-06","","0.44066667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-05","","0.49916667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-04","","0.30283333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-03","","0.486"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-02","","0.26320833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-10-01","","0.41145833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-30","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-29","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-28","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-27","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-26","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-25","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-24","","0.19441667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-23","","0.69266667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-22","","0.66470833"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-21","","0.534625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-20","","0.57579167"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-19","","0.47883333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-18","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-17","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-16","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-15","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-14","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-13","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-12","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-11","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-10","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-09","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-08","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-07","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-06","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-05","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-04","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-03","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-02","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-09-01","","0.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-05","","0.29029403"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-04","","0.37644356"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-03","","0.39335748"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-02","","0.29569664"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-08-01","","0.67776258"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-31","","0.45461638"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-30","","0.34269282"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-29","","0.3985183"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-28","","0.43045572"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-27","","0.37226401"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-26","","0.27240664"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-25","","0.36265861"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-24","","0.57274555"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-23","","0.59149731"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-22","","0.55513752"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-21","","0.45552379"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-20","","0.46825164"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-19","","0.36096346"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-18","","0.32127648"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-17","","0.59917894"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-16","","0.7939374"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-15","","0.56632998"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-14","","0.50670517"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-13","","0.70249069"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-12","","0.5361389"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-11","","0.60048455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-10","","0.48035706"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-09","","0.6634172"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-08","","0.53600466"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-07","","0.78703525"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-06","","1.16368197"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-05","","0.55721109"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-04","","0.54927313"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-03","","0.62956146"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-02","","0.40081033"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-07-01","","0.6074414"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-30","","0.40103694"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-29","","0.83801143"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-28","","0.34810858"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-27","","0.37631883"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-26","","0.40732597"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-25","","0.21745509"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-24","","0.25041472"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-23","","0.45081733"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-22","","0.23873386"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-21","","0.3250456"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-20","","0.40972197"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-19","","0.42802715"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-18","","0.29585656"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-06-17","","0.42373643"
