"Estacion","Fecha inicial","Fecha final","CO"
"P_AGUINAGA (AST)","2010-12-31","","3.74425"
"P_AGUINAGA (AST)","2010-12-30","","3.65375"
"P_AGUINAGA (AST)","2010-12-29","","3.54016667"
"P_AGUINAGA (AST)","2010-12-28","","3.55970833"
"P_AGUINAGA (AST)","2010-12-27","","3.497625"
"P_AGUINAGA (AST)","2010-12-26","","3.206875"
"P_AGUINAGA (AST)","2010-12-25","","3.18904167"
"P_AGUINAGA (AST)","2010-12-24","","3.752875"
"P_AGUINAGA (AST)","2010-12-23","","3.684"
"P_AGUINAGA (AST)","2010-12-22","","3.53329167"
"P_AGUINAGA (AST)","2010-12-21","","3.72783333"
"P_AGUINAGA (AST)","2010-12-20","","3.310625"
"P_AGUINAGA (AST)","2010-12-19","","4.24541667"
"P_AGUINAGA (AST)","2010-12-18","","3.71229167"
"P_AGUINAGA (AST)","2010-12-17","","3.47341667"
"P_AGUINAGA (AST)","2010-12-16","","3.36570833"
"P_AGUINAGA (AST)","2010-12-15","","3.63233333"
"P_AGUINAGA (AST)","2010-12-14","","4.16775"
"P_AGUINAGA (AST)","2010-12-13","","3.62325"
"P_AGUINAGA (AST)","2010-12-12","","3.08725"
"P_AGUINAGA (AST)","2010-12-11","","3.723375"
"P_AGUINAGA (AST)","2010-12-10","","3.61208333"
"P_AGUINAGA (AST)","2010-12-09","","3.39641667"
"P_AGUINAGA (AST)","2010-12-08","","3.13025"
"P_AGUINAGA (AST)","2010-12-07","","3.368"
"P_AGUINAGA (AST)","2010-12-06","","3.29375"
"P_AGUINAGA (AST)","2010-12-05","","3.03504167"
"P_AGUINAGA (AST)","2010-12-04","","4.22679167"
"P_AGUINAGA (AST)","2010-12-03","","3.751875"
"P_AGUINAGA (AST)","2010-12-02","","3.3425"
"P_AGUINAGA (AST)","2010-12-01","","3.76258333"
"P_AGUINAGA (AST)","2010-11-30","","3.52041667"
"P_AGUINAGA (AST)","2010-11-29","","2.91408696"
"P_AGUINAGA (AST)","2010-11-28","","2.81404167"
"P_AGUINAGA (AST)","2010-11-27","","3.39525"
"P_AGUINAGA (AST)","2010-11-26","","3.10095833"
"P_AGUINAGA (AST)","2010-11-25","","3.1695"
"P_AGUINAGA (AST)","2010-11-24","","3.58016667"
"P_AGUINAGA (AST)","2010-11-23","","3.51725"
"P_AGUINAGA (AST)","2010-11-22","","3.25433333"
"P_AGUINAGA (AST)","2010-11-21","","2.701875"
"P_AGUINAGA (AST)","2010-11-20","","3.066125"
"P_AGUINAGA (AST)","2010-11-19","","3.076625"
"P_AGUINAGA (AST)","2010-11-18","","2.85254167"
"P_AGUINAGA (AST)","2010-11-17","","3.09233333"
"P_AGUINAGA (AST)","2010-11-16","","2.88595833"
"P_AGUINAGA (AST)","2010-11-15","","2.46708333"
"P_AGUINAGA (AST)","2010-11-14","","2.388625"
"P_AGUINAGA (AST)","2010-11-13","","3.15016667"
"P_AGUINAGA (AST)","2010-11-12","","3.15591667"
"P_AGUINAGA (AST)","2010-11-11","","2.87091667"
"P_AGUINAGA (AST)","2010-11-10","","2.97170833"
"P_AGUINAGA (AST)","2010-11-09","","2.80854167"
"P_AGUINAGA (AST)","2010-11-08","","2.79770833"
"P_AGUINAGA (AST)","2010-11-07","","2.5605"
"P_AGUINAGA (AST)","2010-11-06","","3.001875"
"P_AGUINAGA (AST)","2010-11-05","","2.97695833"
"P_AGUINAGA (AST)","2010-11-04","","2.57170833"
"P_AGUINAGA (AST)","2010-11-03","","2.79875"
"P_AGUINAGA (AST)","2010-11-02","","2.82770833"
"P_AGUINAGA (AST)","2010-11-01","","2.27308333"
"P_AGUINAGA (AST)","2010-10-31","","2.36141667"
"P_AGUINAGA (AST)","2010-10-30","","3.074875"
"P_AGUINAGA (AST)","2010-10-29","","3.07570833"
"P_AGUINAGA (AST)","2010-10-28","","3.075375"
"P_AGUINAGA (AST)","2010-10-27","","2.98208333"
"P_AGUINAGA (AST)","2010-10-26","","3.05733333"
"P_AGUINAGA (AST)","2010-10-25","","3.07629167"
"P_AGUINAGA (AST)","2010-10-24","","3.15020833"
"P_AGUINAGA (AST)","2010-10-23","","3.5525"
"P_AGUINAGA (AST)","2010-10-22","","3.614375"
"P_AGUINAGA (AST)","2010-10-21","","2.95091667"
"P_AGUINAGA (AST)","2010-10-20","","2.77591667"
"P_AGUINAGA (AST)","2010-10-19","","2.79275"
"P_AGUINAGA (AST)","2010-10-18","","2.44766667"
"P_AGUINAGA (AST)","2010-10-17","","2.90370833"
"P_AGUINAGA (AST)","2010-10-16","","3.31508333"
"P_AGUINAGA (AST)","2010-10-15","","2.5795"
"P_AGUINAGA (AST)","2010-10-14","","2.37734783"
"P_AGUINAGA (AST)","2010-10-13","","2.26566667"
"P_AGUINAGA (AST)","2010-10-12","","2.284875"
"P_AGUINAGA (AST)","2010-10-11","","2.02141667"
"P_AGUINAGA (AST)","2010-10-10","","2.0505"
"P_AGUINAGA (AST)","2010-10-09","","2.231125"
"P_AGUINAGA (AST)","2010-10-08","","2.433125"
"P_AGUINAGA (AST)","2010-10-07","","2.58047826"
"P_AGUINAGA (AST)","2010-10-06","","2.487375"
"P_AGUINAGA (AST)","2010-10-05","","2.58691667"
"P_AGUINAGA (AST)","2010-10-04","","2.17979167"
"P_AGUINAGA (AST)","2010-10-03","","2.55508333"
"P_AGUINAGA (AST)","2010-10-02","","2.89470833"
"P_AGUINAGA (AST)","2010-10-01","","2.74633333"
