"Estacion","Fecha inicial","Fecha final","NO2"
"P_AGUINAGA (S)","2010-10-20","","39.0"
"P_AGUINAGA (S)","2010-10-14","","21.2746454"
"P_AGUINAGA (S)","2010-10-08","","33.86250872"
"P_AGUINAGA (S)","2010-10-02","","29.32526901"
"P_AGUINAGA (S)","2010-09-26","","22.44656206"
"P_AGUINAGA (S)","2010-09-20","","23.2587705"
"P_AGUINAGA (S)","2010-07-22","","56.0"
"P_AGUINAGA (S)","2010-07-16","","63.0"
"P_AGUINAGA (S)","2010-07-10","","59.0"
"P_AGUINAGA (S)","2010-07-04","","60.0"
"P_AGUINAGA (S)","2010-06-28","","34.0"
"P_AGUINAGA (S)","2010-06-22","","30.0"
"P_AGUINAGA (S)","2010-06-16","","34.47860362"
"P_AGUINAGA (S)","2010-06-10","","56.36453073"
"P_AGUINAGA (S)","2010-06-04","","21.33966087"
"P_AGUINAGA (S)","2010-05-29","","40.79028814"
"P_AGUINAGA (S)","2010-05-23","","35.56012803"
"P_AGUINAGA (S)","2010-05-17","","32.91872331"
"P_AGUINAGA (S)","2010-05-11","","18.80381704"
"P_AGUINAGA (S)","2010-05-05","","34.38546761"
"P_AGUINAGA (S)","2010-04-29","","46.34141001"
"P_AGUINAGA (S)","2010-04-23","","31.29973355"
"P_AGUINAGA (S)","2010-04-17","","39.16200841"
"P_AGUINAGA (S)","2010-04-11","","41.49910521"
"P_AGUINAGA (S)","2010-04-05","","70.92862096"
"P_AGUINAGA (S)","2010-03-30","","35.42853216"
"P_AGUINAGA (S)","2010-03-24","","47.84686079"
"P_AGUINAGA (S)","2010-03-18","","51.55425511"
"P_AGUINAGA (S)","2010-03-06","","18.84282911"
"P_AGUINAGA (S)","2010-02-28","","42.76723996"
"P_AGUINAGA (S)","2010-02-22","","67.37376574"
"P_AGUINAGA (S)","2010-02-16","","48.63203269"
"P_AGUINAGA (S)","2010-02-10","","60.59083479"
"P_AGUINAGA (S)","2010-01-23","","59.27892961"
"P_AGUINAGA (S)","2010-01-17","","45.88467766"
"P_AGUINAGA (S)","2010-01-11","","31.0717392"
"P_AGUINAGA (S)","2010-01-05","","69.13938439"
"P_AGUINAGA (S)","2009-12-27","","35.31018589"
"P_AGUINAGA (S)","2009-12-21","","70.3244404"
"P_AGUINAGA (S)","2009-12-09","","67.42280918"
"P_AGUINAGA (S)","2009-12-03","","45.24610584"
"P_AGUINAGA (S)","2009-11-27","","43.05603379"
"P_AGUINAGA (S)","2009-11-15","","38.52072773"
"P_AGUINAGA (S)","2009-11-09","","55.16054738"
"P_AGUINAGA (S)","2009-11-03","","58.36466516"
"P_AGUINAGA (S)","2009-10-28","","64.04036018"
"P_AGUINAGA (S)","2009-10-22","","41.29516766"
"P_AGUINAGA (S)","2009-10-16","","47.30780689"
"P_AGUINAGA (S)","2009-10-10","","45.24393623"
"P_AGUINAGA (S)","2009-10-04","","41.87896629"
"P_AGUINAGA (S)","2009-09-28","","62.16941312"
"P_AGUINAGA (S)","2009-09-10","","14.0493562"
"P_AGUINAGA (S)","2009-09-04","","7.03172714"
