"Estacion","Fecha inicial","Fecha final","PM10"
"P_AGUINAGA (S)","2012-12-26","","24.74970563"
"P_AGUINAGA (S)","2012-12-23","","22.50605458"
"P_AGUINAGA (S)","2012-12-20","","28.07728116"
"P_AGUINAGA (S)","2012-12-17","","36.21178329"
"P_AGUINAGA (S)","2012-12-14","","42.11581646"
"P_AGUINAGA (S)","2012-12-11","","44.64993068"
"P_AGUINAGA (S)","2012-12-08","","21.13277881"
"P_AGUINAGA (S)","2012-12-05","","32.15512554"
"P_AGUINAGA (S)","2012-12-02","","71.6624875"
"P_AGUINAGA (S)","2012-11-29","","12.06420146"
"P_AGUINAGA (S)","2012-11-23","","42.82261298"
"P_AGUINAGA (S)","2012-11-20","","32.27778929"
"P_AGUINAGA (S)","2012-11-17","","39.80076447"
"P_AGUINAGA (S)","2012-11-14","","50.02581857"
"P_AGUINAGA (S)","2012-11-11","","32.76401401"
"P_AGUINAGA (S)","2012-11-08","","36.94656584"
"P_AGUINAGA (S)","2012-11-05","","23.89784892"
"P_AGUINAGA (S)","2012-11-02","","12.38519517"
"P_AGUINAGA (S)","2012-10-30","","43.34425791"
"P_AGUINAGA (S)","2012-10-27","","36.96440943"
"P_AGUINAGA (S)","2012-10-24","","33.76951477"
"P_AGUINAGA (S)","2012-10-21","","25.9892899"
"P_AGUINAGA (S)","2012-10-18","","49.60013764"
"P_AGUINAGA (S)","2012-10-15","","39.42402067"
"P_AGUINAGA (S)","2012-10-12","","59.30621305"
"P_AGUINAGA (S)","2012-10-09","","48.49385352"
"P_AGUINAGA (S)","2012-10-06","","62.6496033"
"P_AGUINAGA (S)","2012-10-03","","36.62480467"
"P_AGUINAGA (S)","2012-09-30","","28.38295395"
"P_AGUINAGA (S)","2012-09-27","","56.8464115"
"P_AGUINAGA (S)","2012-09-24","","43.48302474"
"P_AGUINAGA (S)","2012-09-21","","39.29665322"
"P_AGUINAGA (S)","2012-09-18","","53.84584384"
"P_AGUINAGA (S)","2012-09-15","","65.58567334"
"P_AGUINAGA (S)","2012-09-12","","46.60528018"
"P_AGUINAGA (S)","2012-09-09","","32.26289599"
"P_AGUINAGA (S)","2012-09-06","","45.01231734"
"P_AGUINAGA (S)","2012-09-03","","39.50064214"
"P_AGUINAGA (S)","2012-08-31","","55.92743501"
"P_AGUINAGA (S)","2012-08-28","","47.04494811"
"P_AGUINAGA (S)","2012-08-25","","52.71586004"
"P_AGUINAGA (S)","2012-08-22","","56.16481422"
"P_AGUINAGA (S)","2012-08-19","","25.64750296"
"P_AGUINAGA (S)","2012-08-16","","43.60760059"
"P_AGUINAGA (S)","2012-08-13","","41.20122639"
"P_AGUINAGA (S)","2012-08-10","","38.90492854"
"P_AGUINAGA (S)","2012-08-07","","23.42964286"
"P_AGUINAGA (S)","2012-08-04","","48.05626532"
"P_AGUINAGA (S)","2012-08-01","","48.76495965"
"P_AGUINAGA (S)","2012-07-23","","14.11955879"
"P_AGUINAGA (S)","2012-07-20","","38.9497415"
"P_AGUINAGA (S)","2012-07-17","","51.42532977"
"P_AGUINAGA (S)","2012-07-14","","53.45753172"
"P_AGUINAGA (S)","2012-07-11","","34.31537616"
"P_AGUINAGA (S)","2012-07-08","","30.80719738"
"P_AGUINAGA (S)","2012-07-05","","45.14603782"
"P_AGUINAGA (S)","2012-07-02","","48.16073213"
"P_AGUINAGA (S)","2012-06-29","","57.55680425"
"P_AGUINAGA (S)","2012-06-26","","47.79197475"
"P_AGUINAGA (S)","2012-06-23","","50.23256274"
"P_AGUINAGA (S)","2012-06-20","","38.89978958"
"P_AGUINAGA (S)","2012-06-17","","46.38489861"
"P_AGUINAGA (S)","2012-06-14","","41.50247431"
"P_AGUINAGA (S)","2012-06-11","","37.78555605"
"P_AGUINAGA (S)","2012-06-08","","43.03780437"
"P_AGUINAGA (S)","2012-06-05","","41.82622184"
"P_AGUINAGA (S)","2012-06-02","","33.67357046"
"P_AGUINAGA (S)","2012-05-06","","32.02062218"
"P_AGUINAGA (S)","2012-05-03","","57.62511718"
"P_AGUINAGA (S)","2012-04-30","","45.95856123"
"P_AGUINAGA (S)","2012-04-27","","51.26836576"
"P_AGUINAGA (S)","2012-04-24","","58.29383005"
"P_AGUINAGA (S)","2012-04-21","","46.62357223"
"P_AGUINAGA (S)","2012-04-18","","55.30859677"
"P_AGUINAGA (S)","2012-04-15","","27.79619189"
"P_AGUINAGA (S)","2012-04-12","","44.05659688"
"P_AGUINAGA (S)","2012-04-09","","90.96415675"
"P_AGUINAGA (S)","2012-04-06","","32.79436595"
"P_AGUINAGA (S)","2012-04-03","","16.39086991"
"P_AGUINAGA (S)","2012-03-31","","44.01515568"
"P_AGUINAGA (S)","2012-03-28","","48.04588945"
