"Estacion","Fecha inicial","Fecha final","SO2"
"P_AGUINAGA (S)","2010-07-22","","2.0"
"P_AGUINAGA (S)","2010-07-16","","2.0"
"P_AGUINAGA (S)","2010-07-10","","2.0"
"P_AGUINAGA (S)","2010-07-04","","3.0"
"P_AGUINAGA (S)","2010-06-28","","1.0"
"P_AGUINAGA (S)","2010-06-22","","3.0"
"P_AGUINAGA (S)","2010-06-16","","1.83574197"
"P_AGUINAGA (S)","2010-05-29","","2.2261566"
"P_AGUINAGA (S)","2010-05-11","","3.73685611"
"P_AGUINAGA (S)","2010-05-05","","3.00182627"
"P_AGUINAGA (S)","2010-04-29","","1.79694014"
"P_AGUINAGA (S)","2010-04-23","","0.63170289"
"P_AGUINAGA (S)","2010-04-11","","0.78727542"
"P_AGUINAGA (S)","2010-03-30","","0.61845583"
"P_AGUINAGA (S)","2010-03-24","","0.83667521"
"P_AGUINAGA (S)","2010-03-18","","1.11923837"
"P_AGUINAGA (S)","2010-02-28","","0.62075303"
"P_AGUINAGA (S)","2010-02-22","","0.76334123"
"P_AGUINAGA (S)","2010-02-10","","2.18453755"
"P_AGUINAGA (S)","2010-01-17","","1.13225277"
"P_AGUINAGA (S)","2010-01-11","","0.90289435"
"P_AGUINAGA (S)","2010-01-05","","0.62565914"
"P_AGUINAGA (S)","2009-12-27","","0.93789609"
"P_AGUINAGA (S)","2009-12-21","","1.09317711"
"P_AGUINAGA (S)","2009-12-15","","0.60844846"
"P_AGUINAGA (S)","2009-12-03","","1.7895117"
"P_AGUINAGA (S)","2009-11-27","","1.42741146"
"P_AGUINAGA (S)","2009-11-09","","2.00300245"
"P_AGUINAGA (S)","2009-11-03","","3.76177887"
"P_AGUINAGA (S)","2009-10-28","","1.88718267"
"P_AGUINAGA (S)","2009-10-10","","2.52046013"
"P_AGUINAGA (S)","2009-10-04","","2.21686148"
"P_AGUINAGA (S)","2009-09-28","","2.33330302"
"P_AGUINAGA (S)","2009-09-10","","1.25183902"
"P_AGUINAGA (S)","2009-07-30","","0.62906089"
"P_AGUINAGA (S)","2009-07-18","","5.76749875"
"P_AGUINAGA (S)","2009-07-12","","0.78171972"
"P_AGUINAGA (S)","2009-06-24","","0.62748627"
"P_AGUINAGA (S)","2009-06-06","","1.25970233"
"P_AGUINAGA (S)","2009-05-19","","1.07091281"
"P_AGUINAGA (S)","2009-05-13","","1.88403079"
"P_AGUINAGA (S)","2009-05-07","","1.89431308"
"P_AGUINAGA (S)","2009-05-01","","1.26393663"
"P_AGUINAGA (S)","2009-04-25","","0.70430281"
"P_AGUINAGA (S)","2009-04-07","","1.69949651"
"P_AGUINAGA (S)","2009-04-01","","2.05604539"
"P_AGUINAGA (S)","2009-03-26","","0.94737377"
"P_AGUINAGA (S)","2009-03-20","","1.38821615"
"P_AGUINAGA (S)","2009-03-08","","1.5110759"
"P_AGUINAGA (S)","2009-03-02","","0.78793423"
"P_AGUINAGA (S)","2009-02-24","","1.37246653"
"P_AGUINAGA (S)","2009-02-18","","0.93672469"
"P_AGUINAGA (S)","2009-02-12","","1.7185761"
