"Estacion","Fecha inicial","Fecha final","PM10"
"P_Colegio El Rosario - Itagüí (S)","2018-06-13","","30.5"
"P_Colegio El Rosario - Itagüí (S)","2018-06-10","","22.8"
"P_Colegio El Rosario - Itagüí (S)","2018-06-07","","33.6"
"P_Colegio El Rosario - Itagüí (S)","2018-06-04","","18.3"
"P_Colegio El Rosario - Itagüí (S)","2018-06-01","","32.5"
"P_Colegio El Rosario - Itagüí (S)","2018-05-29","","42.4"
"P_Colegio El Rosario - Itagüí (S)","2018-05-26","","37.6"
"P_Colegio El Rosario - Itagüí (S)","2018-05-23","","38.0"
"P_Colegio El Rosario - Itagüí (S)","2018-05-20","","21.8"
"P_Colegio El Rosario - Itagüí (S)","2018-05-17","","45.0"
"P_Colegio El Rosario - Itagüí (S)","2018-05-14","","21.5"
"P_Colegio El Rosario - Itagüí (S)","2018-05-11","","51.0"
"P_Colegio El Rosario - Itagüí (S)","2018-05-08","","26.4"
"P_Colegio El Rosario - Itagüí (S)","2018-05-05","","43.0"
"P_Colegio El Rosario - Itagüí (S)","2018-05-02","","37.9"
"P_Colegio El Rosario - Itagüí (S)","2018-04-29","","20.8"
"P_Colegio El Rosario - Itagüí (S)","2018-04-26","","37.1"
"P_Colegio El Rosario - Itagüí (S)","2018-04-23","","31.4"
"P_Colegio El Rosario - Itagüí (S)","2018-04-20","","41.0"
"P_Colegio El Rosario - Itagüí (S)","2018-04-17","","47.6"
"P_Colegio El Rosario - Itagüí (S)","2018-04-14","","37.7"
"P_Colegio El Rosario - Itagüí (S)","2018-04-11","","35.7"
"P_Colegio El Rosario - Itagüí (S)","2018-04-08","","34.8"
"P_Colegio El Rosario - Itagüí (S)","2018-04-05","","38.1"
"P_Colegio El Rosario - Itagüí (S)","2018-04-03","","48.9"
"P_Colegio El Rosario - Itagüí (S)","2018-03-31","","28.0"
"P_Colegio El Rosario - Itagüí (S)","2018-03-27","","48.1"
"P_Colegio El Rosario - Itagüí (S)","2018-03-24","","41.8"
"P_Colegio El Rosario - Itagüí (S)","2018-03-21","","63.0"
"P_Colegio El Rosario - Itagüí (S)","2018-03-18","","53.3"
"P_Colegio El Rosario - Itagüí (S)","2018-03-15","","51.8"
"P_Colegio El Rosario - Itagüí (S)","2018-03-12","","40.1"
"P_Colegio El Rosario - Itagüí (S)","2018-03-09","","38.5"
"P_Colegio El Rosario - Itagüí (S)","2018-03-06","","59.3"
"P_Colegio El Rosario - Itagüí (S)","2018-03-03","","45.9"
"P_Colegio El Rosario - Itagüí (S)","2018-02-28","","49.5"
"P_Colegio El Rosario - Itagüí (S)","2018-02-25","","40.5"
"P_Colegio El Rosario - Itagüí (S)","2018-02-22","","55.9"
"P_Colegio El Rosario - Itagüí (S)","2018-02-19","","42.5"
"P_Colegio El Rosario - Itagüí (S)","2018-02-16","","52.5"
"P_Colegio El Rosario - Itagüí (S)","2018-02-13","","47.7"
"P_Colegio El Rosario - Itagüí (S)","2018-02-10","","48.7"
"P_Colegio El Rosario - Itagüí (S)","2018-02-07","","44.7"
"P_Colegio El Rosario - Itagüí (S)","2018-02-04","","21.2"
"P_Colegio El Rosario - Itagüí (S)","2018-02-01","","43.8"
"P_Colegio El Rosario - Itagüí (S)","2017-12-29","","28.3"
"P_Colegio El Rosario - Itagüí (S)","2017-12-27","","28.5"
"P_Colegio El Rosario - Itagüí (S)","2017-12-24","","35.1"
"P_Colegio El Rosario - Itagüí (S)","2017-12-20","","45.1"
"P_Colegio El Rosario - Itagüí (S)","2017-12-18","","38.4"
"P_Colegio El Rosario - Itagüí (S)","2017-12-15","","44.2"
"P_Colegio El Rosario - Itagüí (S)","2017-12-12","","24.9"
"P_Colegio El Rosario - Itagüí (S)","2017-12-09","","29.3"
"P_Colegio El Rosario - Itagüí (S)","2017-12-06","","46.4"
"P_Colegio El Rosario - Itagüí (S)","2017-12-03","","30.5"
"P_Colegio El Rosario - Itagüí (S)","2017-11-30","","52.1"
"P_Colegio El Rosario - Itagüí (S)","2017-11-27","","39.1"
"P_Colegio El Rosario - Itagüí (S)","2017-11-24","","41.1"
"P_Colegio El Rosario - Itagüí (S)","2017-11-21","","43.3"
"P_Colegio El Rosario - Itagüí (S)","2017-11-18","","21.5"
"P_Colegio El Rosario - Itagüí (S)","2017-11-15","","27.6"
"P_Colegio El Rosario - Itagüí (S)","2017-11-12","","29.1"
"P_Colegio El Rosario - Itagüí (S)","2017-11-09","","63.8"
"P_Colegio El Rosario - Itagüí (S)","2017-11-06","","21.3"
"P_Colegio El Rosario - Itagüí (S)","2017-11-03","","39.1"
"P_Colegio El Rosario - Itagüí (S)","2017-10-31","","46.0"
"P_Colegio El Rosario - Itagüí (S)","2017-10-28","","41.7"
"P_Colegio El Rosario - Itagüí (S)","2017-10-25","","60.1"
"P_Colegio El Rosario - Itagüí (S)","2017-10-22","","32.0"
"P_Colegio El Rosario - Itagüí (S)","2017-10-19","","46.8"
"P_Colegio El Rosario - Itagüí (S)","2017-10-16","","29.5"
"P_Colegio El Rosario - Itagüí (S)","2017-10-13","","39.4"
"P_Colegio El Rosario - Itagüí (S)","2017-10-10","","62.1"
"P_Colegio El Rosario - Itagüí (S)","2017-10-07","","38.0"
"P_Colegio El Rosario - Itagüí (S)","2017-10-01","","33.6"
"P_Colegio El Rosario - Itagüí (S)","2017-09-28","","48.0"
"P_Colegio El Rosario - Itagüí (S)","2017-09-25","","39.8"
"P_Colegio El Rosario - Itagüí (S)","2017-09-22","","69.9"
"P_Colegio El Rosario - Itagüí (S)","2017-09-19","","49.9"
"P_Colegio El Rosario - Itagüí (S)","2017-09-16","","36.6"
"P_Colegio El Rosario - Itagüí (S)","2017-09-13","","53.2"
"P_Colegio El Rosario - Itagüí (S)","2017-09-10","","22.3"
"P_Colegio El Rosario - Itagüí (S)","2017-09-04","","40.0"
"P_Colegio El Rosario - Itagüí (S)","2017-09-01","","37.8"
"P_Colegio El Rosario - Itagüí (S)","2017-08-29","","26.6"
"P_Colegio El Rosario - Itagüí (S)","2017-08-26","","34.3"
"P_Colegio El Rosario - Itagüí (S)","2017-08-23","","43.5"
"P_Colegio El Rosario - Itagüí (S)","2017-08-20","","32.4"
"P_Colegio El Rosario - Itagüí (S)","2017-08-17","","39.7"
"P_Colegio El Rosario - Itagüí (S)","2017-08-14","","36.4"
"P_Colegio El Rosario - Itagüí (S)","2017-08-11","","35.8"
"P_Colegio El Rosario - Itagüí (S)","2017-08-08","","37.4"
"P_Colegio El Rosario - Itagüí (S)","2017-08-05","","43.9"
"P_Colegio El Rosario - Itagüí (S)","2017-07-30","","38.3"
"P_Colegio El Rosario - Itagüí (S)","2017-07-27","","48.0"
"P_Colegio El Rosario - Itagüí (S)","2017-07-20","","24.6"
"P_Colegio El Rosario - Itagüí (S)","2017-07-18","","39.9"
"P_Colegio El Rosario - Itagüí (S)","2017-07-15","","42.4"
"P_Colegio El Rosario - Itagüí (S)","2017-07-12","","42.2"
"P_Colegio El Rosario - Itagüí (S)","2017-07-09","","22.9"
"P_Colegio El Rosario - Itagüí (S)","2017-07-06","","43.0"
"P_Colegio El Rosario - Itagüí (S)","2017-07-03","","23.0"
"P_Colegio El Rosario - Itagüí (S)","2017-06-30","","47.2"
"P_Colegio El Rosario - Itagüí (S)","2017-06-23","","39.4"
"P_Colegio El Rosario - Itagüí (S)","2017-06-21","","40.6"
"P_Colegio El Rosario - Itagüí (S)","2017-06-18","","30.5"
"P_Colegio El Rosario - Itagüí (S)","2017-06-15","","38.2"
"P_Colegio El Rosario - Itagüí (S)","2017-06-12","","27.3"
"P_Colegio El Rosario - Itagüí (S)","2017-06-09","","35.3"
"P_Colegio El Rosario - Itagüí (S)","2017-06-06","","36.4"
"P_Colegio El Rosario - Itagüí (S)","2017-06-03","","38.8"
"P_Colegio El Rosario - Itagüí (S)","2017-05-31","","16.3"
"P_Colegio El Rosario - Itagüí (S)","2017-05-28","","28.4"
"P_Colegio El Rosario - Itagüí (S)","2017-05-22","","39.3"
"P_Colegio El Rosario - Itagüí (S)","2017-05-19","","48.5"
"P_Colegio El Rosario - Itagüí (S)","2017-05-16","","39.7"
"P_Colegio El Rosario - Itagüí (S)","2017-05-07","","34.5"
"P_Colegio El Rosario - Itagüí (S)","2017-05-04","","48.3"
"P_Colegio El Rosario - Itagüí (S)","2017-05-01","","33.4"
"P_Colegio El Rosario - Itagüí (S)","2017-04-28","","43.0"
