"Estacion","Fecha inicial","Fecha final","SO2"
"P_Colegio El Rosario - Itagüí (S)","2010-10-14","","1.55446237"
"P_Colegio El Rosario - Itagüí (S)","2010-07-22","","1.0"
"P_Colegio El Rosario - Itagüí (S)","2010-07-10","","1.71285145"
"P_Colegio El Rosario - Itagüí (S)","2010-07-04","","2.81644593"
"P_Colegio El Rosario - Itagüí (S)","2010-06-28","","0.93127768"
"P_Colegio El Rosario - Itagüí (S)","2010-06-10","","0.79395239"
"P_Colegio El Rosario - Itagüí (S)","2010-06-04","","1.49601459"
"P_Colegio El Rosario - Itagüí (S)","2010-05-29","","1.76497851"
"P_Colegio El Rosario - Itagüí (S)","2010-05-23","","0.94223849"
"P_Colegio El Rosario - Itagüí (S)","2010-05-17","","4.48210651"
"P_Colegio El Rosario - Itagüí (S)","2010-05-05","","5.17509879"
"P_Colegio El Rosario - Itagüí (S)","2010-04-29","","0.7733345"
"P_Colegio El Rosario - Itagüí (S)","2010-04-23","","0.62435462"
"P_Colegio El Rosario - Itagüí (S)","2010-03-24","","3.01300053"
"P_Colegio El Rosario - Itagüí (S)","2010-03-18","","1.23941364"
"P_Colegio El Rosario - Itagüí (S)","2010-03-12","","1.19876087"
"P_Colegio El Rosario - Itagüí (S)","2010-02-16","","0.60227134"
"P_Colegio El Rosario - Itagüí (S)","2010-02-10","","4.35090329"
"P_Colegio El Rosario - Itagüí (S)","2010-02-04","","0.58169685"
"P_Colegio El Rosario - Itagüí (S)","2010-01-17","","1.00226485"
"P_Colegio El Rosario - Itagüí (S)","2010-01-11","","1.06690174"
"P_Colegio El Rosario - Itagüí (S)","2009-12-09","","1.41313258"
"P_Colegio El Rosario - Itagüí (S)","2009-12-03","","1.38245006"
"P_Colegio El Rosario - Itagüí (S)","2009-11-27","","1.52281615"
"P_Colegio El Rosario - Itagüí (S)","2009-11-09","","1.38870806"
"P_Colegio El Rosario - Itagüí (S)","2009-11-03","","3.68773854"
"P_Colegio El Rosario - Itagüí (S)","2009-10-28","","3.57239658"
"P_Colegio El Rosario - Itagüí (S)","2009-10-16","","1.98736203"
"P_Colegio El Rosario - Itagüí (S)","2009-10-10","","1.65126183"
"P_Colegio El Rosario - Itagüí (S)","2009-10-04","","1.71785351"
"P_Colegio El Rosario - Itagüí (S)","2009-09-28","","1.84386927"
"P_Colegio El Rosario - Itagüí (S)","2009-09-22","","0.61086469"
"P_Colegio El Rosario - Itagüí (S)","2009-09-16","","0.62228035"
"P_Colegio El Rosario - Itagüí (S)","2009-09-10","","1.83408947"
"P_Colegio El Rosario - Itagüí (S)","2009-08-05","","0.93321623"
"P_Colegio El Rosario - Itagüí (S)","2009-07-30","","0.76984387"
"P_Colegio El Rosario - Itagüí (S)","2009-07-18","","0.78531164"
"P_Colegio El Rosario - Itagüí (S)","2009-06-30","","1.72288488"
"P_Colegio El Rosario - Itagüí (S)","2009-06-24","","0.62722942"
"P_Colegio El Rosario - Itagüí (S)","2009-06-12","","1.48872087"
"P_Colegio El Rosario - Itagüí (S)","2009-06-06","","0.93829442"
"P_Colegio El Rosario - Itagüí (S)","2009-05-19","","1.25867374"
"P_Colegio El Rosario - Itagüí (S)","2009-05-07","","3.9288782"
"P_Colegio El Rosario - Itagüí (S)","2009-04-25","","2.19827426"
"P_Colegio El Rosario - Itagüí (S)","2009-04-19","","2.78191881"
"P_Colegio El Rosario - Itagüí (S)","2009-03-26","","0.62749208"
"P_Colegio El Rosario - Itagüí (S)","2009-03-20","","0.76826761"
"P_Colegio El Rosario - Itagüí (S)","2009-03-14","","1.4160976"
"P_Colegio El Rosario - Itagüí (S)","2009-03-08","","1.41313258"
"P_Colegio El Rosario - Itagüí (S)","2009-03-02","","1.26079183"
"P_Colegio El Rosario - Itagüí (S)","2009-02-24","","3.23998101"
"P_Colegio El Rosario - Itagüí (S)","2009-02-18","","2.19367151"
"P_Colegio El Rosario - Itagüí (S)","2009-02-12","","1.52157304"
"P_Colegio El Rosario - Itagüí (S)","2009-02-06","","1.55510872"
"P_Colegio El Rosario - Itagüí (S)","2009-01-31","","2.3390862"
"P_Colegio El Rosario - Itagüí (S)","2009-01-25","","1.73522751"
"P_Colegio El Rosario - Itagüí (S)","2009-01-07","","1.22322538"
"P_Colegio El Rosario - Itagüí (S)","2008-12-20","","1.55964824"
"P_Colegio El Rosario - Itagüí (S)","2008-12-14","","0.60324118"
"P_Colegio El Rosario - Itagüí (S)","2008-12-08","","4.08470031"
"P_Colegio El Rosario - Itagüí (S)","2008-12-02","","3.06181261"
"P_Colegio El Rosario - Itagüí (S)","2008-11-20","","2.3083214"
"P_Colegio El Rosario - Itagüí (S)","2008-11-14","","1.23838933"
"P_Colegio El Rosario - Itagüí (S)","2008-11-08","","2.02957588"
"P_Colegio El Rosario - Itagüí (S)","2008-11-02","","2.05959919"
"P_Colegio El Rosario - Itagüí (S)","2008-10-27","","1.81041793"
"P_Colegio El Rosario - Itagüí (S)","2008-10-21","","4.97696598"
"P_Colegio El Rosario - Itagüí (S)","2008-10-15","","4.96672952"
"P_Colegio El Rosario - Itagüí (S)","2008-10-03","","5.91346825"
"P_Colegio El Rosario - Itagüí (S)","2008-09-27","","5.24920011"
"P_Colegio El Rosario - Itagüí (S)","2008-09-21","","5.92824576"
"P_Colegio El Rosario - Itagüí (S)","2008-09-15","","7.25041702"
"P_Colegio El Rosario - Itagüí (S)","2008-09-09","","7.21748351"
"P_Colegio El Rosario - Itagüí (S)","2008-09-03","","4.94872239"
"P_Colegio El Rosario - Itagüí (S)","2008-08-28","","5.78331671"
"P_Colegio El Rosario - Itagüí (S)","2008-08-22","","5.90610708"
"P_Colegio El Rosario - Itagüí (S)","2008-07-29","","2.1824642"
"P_Colegio El Rosario - Itagüí (S)","2008-07-23","","0.71128833"
"P_Colegio El Rosario - Itagüí (S)","2008-07-17","","0.93489117"
"P_Colegio El Rosario - Itagüí (S)","2008-06-23","","0.91897813"
"P_Colegio El Rosario - Itagüí (S)","2008-06-17","","1.92522268"
"P_Colegio El Rosario - Itagüí (S)","2008-06-11","","2.50001992"
"P_Colegio El Rosario - Itagüí (S)","2008-06-05","","3.22987183"
"P_Colegio El Rosario - Itagüí (S)","2008-05-30","","3.20186716"
"P_Colegio El Rosario - Itagüí (S)","2008-05-24","","4.26431005"
"P_Colegio El Rosario - Itagüí (S)","2008-05-12","","0.55087524"
"P_Colegio El Rosario - Itagüí (S)","2008-04-30","","0.76932029"
"P_Colegio El Rosario - Itagüí (S)","2008-04-24","","1.25378152"
"P_Colegio El Rosario - Itagüí (S)","2008-04-18","","0.57281853"
"P_Colegio El Rosario - Itagüí (S)","2007-12-20","","10.72858877"
"P_Colegio El Rosario - Itagüí (S)","2007-12-14","","10.55591318"
"P_Colegio El Rosario - Itagüí (S)","2007-12-08","","6.13957375"
"P_Colegio El Rosario - Itagüí (S)","2007-12-02","","2.30813232"
"P_Colegio El Rosario - Itagüí (S)","2007-11-26","","1.22451076"
"P_Colegio El Rosario - Itagüí (S)","2007-11-20","","1.77863059"
"P_Colegio El Rosario - Itagüí (S)","2007-11-14","","10.80711571"
"P_Colegio El Rosario - Itagüí (S)","2007-11-08","","12.94982073"
"P_Colegio El Rosario - Itagüí (S)","2007-11-02","","10.43862651"
"P_Colegio El Rosario - Itagüí (S)","2007-10-27","","0.5018254"
"P_Colegio El Rosario - Itagüí (S)","2007-10-21","","1.6844615"
"P_Colegio El Rosario - Itagüí (S)","2007-10-15","","1.42845029"
"P_Colegio El Rosario - Itagüí (S)","2007-10-09","","1.81174455"
"P_Colegio El Rosario - Itagüí (S)","2007-10-03","","1.51943156"
"P_Colegio El Rosario - Itagüí (S)","2007-09-27","","4.52824045"
"P_Colegio El Rosario - Itagüí (S)","2007-09-21","","2.02916168"
"P_Colegio El Rosario - Itagüí (S)","2007-09-15","","1.43895357"
"P_Colegio El Rosario - Itagüí (S)","2007-09-09","","1.00593877"
"P_Colegio El Rosario - Itagüí (S)","2007-09-03","","3.03084789"
"P_Colegio El Rosario - Itagüí (S)","2007-08-28","","2.27526154"
"P_Colegio El Rosario - Itagüí (S)","2007-08-22","","0.85993139"
"P_Colegio El Rosario - Itagüí (S)","2007-08-16","","3.23746955"
"P_Colegio El Rosario - Itagüí (S)","2007-08-10","","6.72783321"
"P_Colegio El Rosario - Itagüí (S)","2007-08-04","","5.61936905"
"P_Colegio El Rosario - Itagüí (S)","2007-07-29","","1.04946029"
"P_Colegio El Rosario - Itagüí (S)","2007-07-23","","2.83109618"
"P_Colegio El Rosario - Itagüí (S)","2007-07-17","","4.84974278"
"P_Colegio El Rosario - Itagüí (S)","2007-07-11","","5.19948709"
"P_Colegio El Rosario - Itagüí (S)","2007-07-05","","5.5270477"
"P_Colegio El Rosario - Itagüí (S)","2007-06-29","","3.67267359"
"P_Colegio El Rosario - Itagüí (S)","2007-06-23","","1.32732348"
