"Estacion","Fecha inicial","Fecha final","PST"
"P_EST-Centro Adtvo.","2008-04-06","","81.03548405"
"P_EST-Centro Adtvo.","2008-04-03","","98.62274663"
"P_EST-Centro Adtvo.","2008-03-31","","88.24739467"
"P_EST-Centro Adtvo.","2008-03-28","","100.62765603"
"P_EST-Centro Adtvo.","2007-12-29","","73.87314178"
"P_EST-Centro Adtvo.","2007-12-26","","58.24475643"
"P_EST-Centro Adtvo.","2007-12-23","","51.80156967"
"P_EST-Centro Adtvo.","2007-12-20","","88.49517203"
"P_EST-Centro Adtvo.","2007-12-17","","47.57642147"
"P_EST-Centro Adtvo.","2007-12-14","","89.67125603"
"P_EST-Centro Adtvo.","2007-12-11","","99.81108929"
"P_EST-Centro Adtvo.","2007-12-08","","91.6286826"
"P_EST-Centro Adtvo.","2007-12-05","","64.3183691"
"P_EST-Centro Adtvo.","2007-12-02","","47.76650696"
"P_EST-Centro Adtvo.","2007-11-29","","78.61246753"
"P_EST-Centro Adtvo.","2007-11-26","","59.65119588"
"P_EST-Centro Adtvo.","2007-11-23","","83.37515749"
"P_EST-Centro Adtvo.","2007-11-20","","85.43021111"
"P_EST-Centro Adtvo.","2007-11-17","","111.89990764"
"P_EST-Centro Adtvo.","2007-11-14","","77.21995939"
"P_EST-Centro Adtvo.","2007-11-11","","72.43179477"
"P_EST-Centro Adtvo.","2007-11-08","","95.30163746"
"P_EST-Centro Adtvo.","2007-11-02","","86.31966707"
"P_EST-Centro Adtvo.","2007-10-30","","83.07538557"
"P_EST-Centro Adtvo.","2007-10-27","","36.13487708"
"P_EST-Centro Adtvo.","2007-10-24","","66.77465017"
"P_EST-Centro Adtvo.","2007-10-21","","71.89200157"
"P_EST-Centro Adtvo.","2007-10-18","","45.79770038"
"P_EST-Centro Adtvo.","2007-10-15","","51.61168969"
"P_EST-Centro Adtvo.","2007-10-12","","66.61325864"
"P_EST-Centro Adtvo.","2007-10-09","","53.29959945"
"P_EST-Centro Adtvo.","2007-10-06","","57.67868744"
"P_EST-Centro Adtvo.","2007-10-03","","76.07755394"
"P_EST-Centro Adtvo.","2007-09-30","","62.24926264"
"P_EST-Centro Adtvo.","2007-09-27","","101.50864386"
"P_EST-Centro Adtvo.","2007-09-24","","81.61703765"
"P_EST-Centro Adtvo.","2007-09-21","","69.77016729"
"P_EST-Centro Adtvo.","2007-09-18","","80.87137857"
