"Estacion","Fecha inicial","Fecha final","DViento"
"P_EST-Secretaria","2015-01-13","","114.45"
"P_EST-Secretaria","2015-01-12","","106.77083333"
"P_EST-Secretaria","2015-01-11","","140.275"
"P_EST-Secretaria","2015-01-10","","112.32083333"
"P_EST-Secretaria","2015-01-09","","148.29583333"
"P_EST-Secretaria","2015-01-08","","138.7"
"P_EST-Secretaria","2015-01-07","","141.33333333"
"P_EST-Secretaria","2015-01-06","","140.7375"
"P_EST-Secretaria","2015-01-05","","165.07083333"
"P_EST-Secretaria","2015-01-04","","126.50833333"
"P_EST-Secretaria","2015-01-03","","138.425"
"P_EST-Secretaria","2015-01-02","","124.75"
"P_EST-Secretaria","2015-01-01","","102.3375"
"P_EST-Secretaria","2014-12-31","","119.325"
"P_EST-Secretaria","2014-12-30","","150.90833333"
"P_EST-Secretaria","2014-12-29","","129.07083333"
"P_EST-Secretaria","2014-12-28","","133.825"
"P_EST-Secretaria","2014-12-27","","150.83333333"
"P_EST-Secretaria","2014-12-26","","172.7875"
"P_EST-Secretaria","2014-12-25","","108.5625"
"P_EST-Secretaria","2014-12-24","","115.21666667"
"P_EST-Secretaria","2014-12-23","","136.05416667"
"P_EST-Secretaria","2014-12-22","","142.96666667"
"P_EST-Secretaria","2014-12-21","","121.1"
"P_EST-Secretaria","2014-12-20","","138.29166667"
"P_EST-Secretaria","2014-12-19","","133.94583333"
"P_EST-Secretaria","2014-12-18","","132.72916667"
"P_EST-Secretaria","2014-12-17","","134.63913043"
"P_EST-Secretaria","2014-12-16","","129.0173913"
"P_EST-Secretaria","2014-12-15","","138.76666667"
"P_EST-Secretaria","2014-12-14","","121.60416667"
"P_EST-Secretaria","2014-12-13","","121.0125"
"P_EST-Secretaria","2014-12-12","","115.58333333"
"P_EST-Secretaria","2014-12-11","","130.0125"
"P_EST-Secretaria","2014-12-10","","136.01666667"
"P_EST-Secretaria","2014-12-09","","116.93333333"
"P_EST-Secretaria","2014-12-08","","134.19166667"
