"Estacion","Fecha inicial","Fecha final","NO"
"P_EST-Secretaria","2015-01-13","","26.45833333"
"P_EST-Secretaria","2015-01-12","","10.9375"
"P_EST-Secretaria","2015-01-11","","7.65625"
"P_EST-Secretaria","2015-01-10","","12.39583333"
"P_EST-Secretaria","2015-01-09","","14.79166667"
"P_EST-Secretaria","2015-01-08","","15.05208333"
"P_EST-Secretaria","2015-01-07","","9.60227273"
"P_EST-Secretaria","2015-01-06","","6.71875"
"P_EST-Secretaria","2015-01-05","","6.97916667"
"P_EST-Secretaria","2015-01-04","","3.85416667"
"P_EST-Secretaria","2015-01-03","","6.08695652"
"P_EST-Secretaria","2015-01-02","","3.33333333"
"P_EST-Secretaria","2015-01-01","","5.36458333"
"P_EST-Secretaria","2014-12-31","","4.63541667"
"P_EST-Secretaria","2014-12-30","","5.05208333"
"P_EST-Secretaria","2014-12-29","","8.95833333"
"P_EST-Secretaria","2014-12-28","","8.90625"
"P_EST-Secretaria","2014-12-27","","7.8125"
"P_EST-Secretaria","2014-12-26","","10.05208333"
"P_EST-Secretaria","2014-12-25","","2.76041667"
"P_EST-Secretaria","2014-12-24","","7.8125"
"P_EST-Secretaria","2014-12-23","","11.66666667"
"P_EST-Secretaria","2014-12-22","","26.61458333"
"P_EST-Secretaria","2014-12-21","","34.16666667"
"P_EST-Secretaria","2014-12-20","","44.94791667"
"P_EST-Secretaria","2014-12-19","","72.1875"
"P_EST-Secretaria","2014-12-18","","73.48684211"
"P_EST-Secretaria","2014-12-17","","53.80434783"
"P_EST-Secretaria","2014-12-16","","68.90625"
"P_EST-Secretaria","2014-12-15","","61.51041667"
"P_EST-Secretaria","2014-12-14","","34.94791667"
"P_EST-Secretaria","2014-12-13","","70.36458333"
"P_EST-Secretaria","2014-12-12","","65.52083333"
"P_EST-Secretaria","2014-12-11","","69.42708333"
"P_EST-Secretaria","2014-12-10","","48.5326087"
"P_EST-Secretaria","2014-12-09","","74.47916667"
"P_EST-Secretaria","2014-12-08","","39.16666667"
"P_EST-Secretaria","2014-12-07","","32.96875"
"P_EST-Secretaria","2014-12-06","","41.19791667"
"P_EST-Secretaria","2014-12-05","","66.61458333"
"P_EST-Secretaria","2014-12-04","","80.36458333"
"P_EST-Secretaria","2014-12-03","","61.40625"
"P_EST-Secretaria","2014-12-02","","49.73958333"
"P_EST-Secretaria","2014-12-01","","39.84375"
"P_EST-Secretaria","2014-11-30","","34.7953125"
"P_EST-Secretaria","2014-11-29","","44.45052083"
"P_EST-Secretaria","2014-11-28","","42.80454545"
"P_EST-Secretaria","2014-11-27","","79.30271739"
"P_EST-Secretaria","2014-11-26","","109.48611111"
"P_EST-Secretaria","2014-11-23","","29.225"
"P_EST-Secretaria","2014-11-22","","39.2578125"
"P_EST-Secretaria","2014-11-21","","51.2859375"
"P_EST-Secretaria","2014-11-20","","50.4546875"
"P_EST-Secretaria","2014-11-19","","48.81302083"
"P_EST-Secretaria","2014-11-18","","60.69270833"
"P_EST-Secretaria","2014-11-17","","42.59010417"
"P_EST-Secretaria","2014-11-16","","39.63854167"
"P_EST-Secretaria","2014-11-15","","54.29010417"
"P_EST-Secretaria","2014-11-14","","75.26079545"
"P_EST-Secretaria","2014-11-13","","53.615625"
"P_EST-Secretaria","2014-11-12","","57.37916667"
"P_EST-Secretaria","2014-11-11","","47.01666667"
"P_EST-Secretaria","2014-11-10","","45.69895833"
"P_EST-Secretaria","2014-11-09","","38.9921875"
"P_EST-Secretaria","2014-11-08","","62.0140625"
"P_EST-Secretaria","2014-11-07","","49.13489583"
