"Estacion","Fecha inicial","Fecha final","NO2"
"P_EST-Secretaria","2015-01-13","","36.58166667"
"P_EST-Secretaria","2015-01-12","","27.65166667"
"P_EST-Secretaria","2015-01-11","","25.69333333"
"P_EST-Secretaria","2015-01-10","","33.21333333"
"P_EST-Secretaria","2015-01-09","","31.02"
"P_EST-Secretaria","2015-01-08","","32.43"
"P_EST-Secretaria","2015-01-07","","22.184"
"P_EST-Secretaria","2015-01-06","","10.34"
"P_EST-Secretaria","2015-01-05","","9.93714286"
"P_EST-Secretaria","2015-01-04","","8.272"
"P_EST-Secretaria","2015-01-03","","11.63809524"
"P_EST-Secretaria","2015-01-02","","12.455"
"P_EST-Secretaria","2015-01-01","","13.30461538"
"P_EST-Secretaria","2014-12-31","","12.408"
"P_EST-Secretaria","2014-12-30","","12.96210526"
"P_EST-Secretaria","2014-12-29","","16.47764706"
"P_EST-Secretaria","2014-12-28","","13.818"
"P_EST-Secretaria","2014-12-27","","15.77565217"
"P_EST-Secretaria","2014-12-26","","16.24857143"
"P_EST-Secretaria","2014-12-25","","10.96666667"
"P_EST-Secretaria","2014-12-24","","15.11833333"
"P_EST-Secretaria","2014-12-23","","17.625"
"P_EST-Secretaria","2014-12-22","","34.46666667"
"P_EST-Secretaria","2014-12-21","","50.21166667"
"P_EST-Secretaria","2014-12-20","","58.12333333"
"P_EST-Secretaria","2014-12-19","","68.385"
"P_EST-Secretaria","2014-12-18","","65.70105263"
"P_EST-Secretaria","2014-12-17","","69.47826087"
"P_EST-Secretaria","2014-12-16","","67.21"
"P_EST-Secretaria","2014-12-15","","77.94166667"
"P_EST-Secretaria","2014-12-14","","58.59333333"
"P_EST-Secretaria","2014-12-13","","78.17666667"
"P_EST-Secretaria","2014-12-12","","76.29666667"
"P_EST-Secretaria","2014-12-11","","73.085"
"P_EST-Secretaria","2014-12-10","","63.1026087"
"P_EST-Secretaria","2014-12-09","","70.265"
"P_EST-Secretaria","2014-12-08","","56.24333333"
"P_EST-Secretaria","2014-12-07","","59.06333333"
"P_EST-Secretaria","2014-12-06","","70.65666667"
"P_EST-Secretaria","2014-12-05","","77.785"
"P_EST-Secretaria","2014-12-04","","79.50833333"
"P_EST-Secretaria","2014-12-03","","83.03333333"
"P_EST-Secretaria","2014-12-02","","62.58833333"
