"Estacion","Fecha inicial","Fecha final","O3"
"P_EST-Secretaria","2014-12-31","","19.91666667"
"P_EST-Secretaria","2014-12-30","","20.75"
"P_EST-Secretaria","2014-12-29","","18.58333333"
"P_EST-Secretaria","2014-12-28","","15.91666667"
"P_EST-Secretaria","2014-12-27","","15.91666667"
"P_EST-Secretaria","2014-12-26","","16.5"
"P_EST-Secretaria","2014-12-25","","19.66666667"
"P_EST-Secretaria","2014-12-24","","17.75"
"P_EST-Secretaria","2014-12-23","","20.5"
"P_EST-Secretaria","2014-12-22","","20.08333333"
"P_EST-Secretaria","2014-12-21","","18.83333333"
"P_EST-Secretaria","2014-12-20","","18.16666667"
"P_EST-Secretaria","2014-12-19","","22.58333333"
"P_EST-Secretaria","2014-12-18","","15.14285714"
"P_EST-Secretaria","2014-12-17","","9.65217391"
"P_EST-Secretaria","2014-12-16","","18.25"
"P_EST-Secretaria","2014-12-15","","13.83333333"
"P_EST-Secretaria","2014-12-14","","14.66666667"
"P_EST-Secretaria","2014-12-13","","7.5"
"P_EST-Secretaria","2014-12-12","","26.58333333"
"P_EST-Secretaria","2014-12-11","","19.33333333"
"P_EST-Secretaria","2014-12-10","","13.13043478"
"P_EST-Secretaria","2014-12-09","","7.33333333"
"P_EST-Secretaria","2014-12-08","","17.16666667"
"P_EST-Secretaria","2014-12-07","","17.75"
"P_EST-Secretaria","2014-12-06","","17.33333333"
"P_EST-Secretaria","2014-12-05","","16.41666667"
"P_EST-Secretaria","2014-12-04","","23.91666667"
"P_EST-Secretaria","2014-12-03","","16.5"
"P_EST-Secretaria","2014-12-02","","21.83333333"
"P_EST-Secretaria","2014-12-01","","14.16666667"
"P_EST-Secretaria","2014-11-30","","16.27916667"
"P_EST-Secretaria","2014-11-29","","17.85916667"
"P_EST-Secretaria","2014-11-28","","21.36833333"
"P_EST-Secretaria","2014-11-27","","12.119"
"P_EST-Secretaria","2014-11-26","","5.55777778"
"P_EST-Secretaria","2014-11-23","","4.944"
"P_EST-Secretaria","2014-11-22","","20.425"
"P_EST-Secretaria","2014-11-21","","22.63583333"
"P_EST-Secretaria","2014-11-20","","21.5775"
"P_EST-Secretaria","2014-11-19","","20.30416667"
"P_EST-Secretaria","2014-11-18","","20.5775"
"P_EST-Secretaria","2014-11-17","","20.54833333"
"P_EST-Secretaria","2014-11-16","","15.985"
"P_EST-Secretaria","2014-11-15","","17.56"
"P_EST-Secretaria","2014-11-14","","15.39"
"P_EST-Secretaria","2014-11-13","","12.0825"
"P_EST-Secretaria","2014-11-12","","12.99083333"
"P_EST-Secretaria","2014-11-11","","14.59833333"
"P_EST-Secretaria","2014-11-10","","13.44583333"
"P_EST-Secretaria","2014-11-09","","20.99"
"P_EST-Secretaria","2014-11-08","","15.30583333"
"P_EST-Secretaria","2014-11-07","","22.20583333"
"P_EST-Secretaria","2014-11-06","","19.86333333"
"P_EST-Secretaria","2014-11-05","","17.00378475"
"P_EST-Secretaria","2014-11-04","","27.86870267"
"P_EST-Secretaria","2014-11-03","","24.168209"
"P_EST-Secretaria","2014-11-02","","25.6123855"
"P_EST-Secretaria","2014-11-01","","25.52482508"
"P_EST-Secretaria","2014-10-31","","18.93101565"
"P_EST-Secretaria","2014-10-30","","31.64916667"
"P_EST-Secretaria","2014-10-29","","21.35652174"
"P_EST-Secretaria","2014-10-28","","24.03130435"
"P_EST-Secretaria","2014-10-27","","29.53565217"
"P_EST-Secretaria","2014-10-26","","19.86521739"
"P_EST-Secretaria","2014-10-25","","20.44571429"
"P_EST-Secretaria","2014-10-24","","22.94521739"
"P_EST-Secretaria","2014-10-23","","19.72434783"
"P_EST-Secretaria","2014-10-22","","14.42857143"
"P_EST-Secretaria","2014-10-21","","21.22695652"
"P_EST-Secretaria","2014-10-20","","10.08434783"
"P_EST-Secretaria","2014-10-19","","20.86869565"
"P_EST-Secretaria","2014-10-18","","14.46086957"
"P_EST-Secretaria","2014-10-17","","16.48608696"
"P_EST-Secretaria","2014-10-16","","16.47130435"
"P_EST-Secretaria","2014-10-15","","12.84695652"
"P_EST-Secretaria","2014-10-14","","12.29826087"
"P_EST-Secretaria","2014-10-13","","14.81391304"
"P_EST-Secretaria","2014-10-12","","17.94521739"
"P_EST-Secretaria","2014-10-11","","14.79565217"
"P_EST-Secretaria","2014-10-10","","12.12086957"
"P_EST-Secretaria","2014-10-09","","7.48173913"
"P_EST-Secretaria","2014-10-08","","8.88086957"
"P_EST-Secretaria","2014-10-07","","16.36"
"P_EST-Secretaria","2014-10-06","","21.27478261"
"P_EST-Secretaria","2014-10-05","","22.31304348"
"P_EST-Secretaria","2014-10-04","","22.76434783"
"P_EST-Secretaria","2014-10-03","","21.27391304"
"P_EST-Secretaria","2014-10-02","","24.50869565"
"P_EST-Secretaria","2014-10-01","","28.04608696"
"P_EST-Secretaria","2014-09-30","","29.56521739"
"P_EST-Secretaria","2014-09-29","","39.83333333"
"P_EST-Secretaria","2014-09-28","","17.37167032"
"P_EST-Secretaria","2014-09-27","","36.59812475"
"P_EST-Secretaria","2014-09-26","","30.42147265"
"P_EST-Secretaria","2014-09-25","","31.26891117"
"P_EST-Secretaria","2014-09-24","","35.73913043"
"P_EST-Secretaria","2014-09-23","","28.17391304"
"P_EST-Secretaria","2014-09-22","","23.47826087"
"P_EST-Secretaria","2014-09-21","","26.7826087"
"P_EST-Secretaria","2014-09-20","","29.30434783"
"P_EST-Secretaria","2014-09-19","","17.47826087"
"P_EST-Secretaria","2014-09-18","","30.52173913"
"P_EST-Secretaria","2014-09-17","","32.2"
"P_EST-Secretaria","2014-09-16","","22.60869565"
"P_EST-Secretaria","2014-09-15","","15.81818182"
"P_EST-Secretaria","2014-09-14","","25.30434783"
"P_EST-Secretaria","2014-09-13","","19.82608696"
"P_EST-Secretaria","2014-09-12","","19.2173913"
"P_EST-Secretaria","2014-09-11","","17.2173913"
"P_EST-Secretaria","2014-09-10","","28.36363636"
"P_EST-Secretaria","2014-09-09","","31.30434783"
"P_EST-Secretaria","2014-09-08","","32.43478261"
"P_EST-Secretaria","2014-09-07","","27.47826087"
"P_EST-Secretaria","2014-09-06","","30.34782609"
"P_EST-Secretaria","2014-09-05","","22.86956522"
"P_EST-Secretaria","2014-09-04","","21.52380952"
"P_EST-Secretaria","2014-09-03","","26.0"
"P_EST-Secretaria","2014-09-02","","17.2"
"P_EST-Secretaria","2014-09-01","","39.36363636"
"P_EST-Secretaria","2014-08-31","","39.21565217"
"P_EST-Secretaria","2014-08-30","","37.89565217"
"P_EST-Secretaria","2014-08-29","","22.81478261"
"P_EST-Secretaria","2014-08-28","","9.76571429"
"P_EST-Secretaria","2014-08-27","","18.576"
"P_EST-Secretaria","2014-08-24","","0.69333333"
"P_EST-Secretaria","2014-08-23","","11.00173913"
"P_EST-Secretaria","2014-08-22","","17.13217391"
"P_EST-Secretaria","2014-08-21","","18.64608696"
"P_EST-Secretaria","2014-08-20","","19.64695652"
"P_EST-Secretaria","2014-08-19","","9.75130435"
"P_EST-Secretaria","2014-08-18","","17.51652174"
"P_EST-Secretaria","2014-08-17","","16.55913043"
"P_EST-Secretaria","2014-08-16","","17.21391304"
"P_EST-Secretaria","2014-08-15","","13.28521739"
"P_EST-Secretaria","2014-08-14","","10.36956522"
