"Estacion","Fecha inicial","Fecha final","VViento"
"P_EST-Secretaria","2015-01-13","","0.66315789"
"P_EST-Secretaria","2015-01-12","","0.86315789"
"P_EST-Secretaria","2015-01-11","","0.97272727"
"P_EST-Secretaria","2015-01-10","","1.81052632"
"P_EST-Secretaria","2015-01-09","","1.3"
"P_EST-Secretaria","2015-01-08","","1.40909091"
"P_EST-Secretaria","2015-01-07","","1.07916667"
"P_EST-Secretaria","2015-01-06","","1.78571429"
"P_EST-Secretaria","2015-01-05","","0.9"
"P_EST-Secretaria","2015-01-04","","1.04166667"
"P_EST-Secretaria","2015-01-03","","0.74166667"
"P_EST-Secretaria","2015-01-02","","1.09583333"
"P_EST-Secretaria","2015-01-01","","0.6"
"P_EST-Secretaria","2014-12-31","","0.76666667"
"P_EST-Secretaria","2014-12-30","","1.45"
"P_EST-Secretaria","2014-12-29","","0.84736842"
"P_EST-Secretaria","2014-12-28","","0.82222222"
"P_EST-Secretaria","2014-12-27","","1.115"
"P_EST-Secretaria","2014-12-26","","1.31"
"P_EST-Secretaria","2014-12-25","","1.19411765"
"P_EST-Secretaria","2014-12-24","","1.04782609"
"P_EST-Secretaria","2014-12-23","","0.86818182"
"P_EST-Secretaria","2014-12-22","","0.94761905"
"P_EST-Secretaria","2014-12-21","","0.5"
"P_EST-Secretaria","2014-12-20","","0.575"
"P_EST-Secretaria","2014-12-19","","0.625"
"P_EST-Secretaria","2014-12-18","","0.73571429"
"P_EST-Secretaria","2014-12-17","","0.76875"
"P_EST-Secretaria","2014-12-16","","0.60714286"
"P_EST-Secretaria","2014-12-15","","0.65625"
"P_EST-Secretaria","2014-12-14","","0.72941176"
"P_EST-Secretaria","2014-12-13","","0.25333333"
"P_EST-Secretaria","2014-12-12","","0.83529412"
"P_EST-Secretaria","2014-12-11","","0.41818182"
"P_EST-Secretaria","2014-12-10","","0.88888889"
"P_EST-Secretaria","2014-12-09","","0.36875"
"P_EST-Secretaria","2014-12-08","","0.8"
"P_EST-Secretaria","2014-12-07","","0.67058824"
"P_EST-Secretaria","2014-12-06","","0.38421053"
"P_EST-Secretaria","2014-12-05","","0.76818182"
"P_EST-Secretaria","2014-12-04","","0.6"
"P_EST-Secretaria","2014-12-03","","0.18"
"P_EST-Secretaria","2014-12-02","","1.15263158"
"P_EST-Secretaria","2014-12-01","","1.06666667"
"P_EST-Secretaria","2014-11-30","","0.54166667"
"P_EST-Secretaria","2014-11-29","","0.5125"
"P_EST-Secretaria","2014-11-28","","1.0625"
"P_EST-Secretaria","2014-11-27","","0.79130435"
"P_EST-Secretaria","2014-11-26","","0.32222222"
"P_EST-Secretaria","2014-11-23","","0.1"
"P_EST-Secretaria","2014-11-22","","0.40416667"
"P_EST-Secretaria","2014-11-21","","0.91666667"
"P_EST-Secretaria","2014-11-20","","0.61666667"
"P_EST-Secretaria","2014-11-19","","0.61666667"
"P_EST-Secretaria","2014-11-18","","0.52083333"
"P_EST-Secretaria","2014-11-17","","0.54166667"
"P_EST-Secretaria","2014-11-16","","0.83333333"
"P_EST-Secretaria","2014-11-15","","0.54583333"
"P_EST-Secretaria","2014-11-14","","0.55"
"P_EST-Secretaria","2014-11-13","","0.99473684"
"P_EST-Secretaria","2014-11-12","","0.37916667"
"P_EST-Secretaria","2014-11-11","","0.25416667"
"P_EST-Secretaria","2014-11-10","","0.13333333"
"P_EST-Secretaria","2014-11-09","","0.36666667"
"P_EST-Secretaria","2014-11-08","","0.35833333"
"P_EST-Secretaria","2014-11-07","","0.56666667"
"P_EST-Secretaria","2014-11-06","","0.3875"
"P_EST-Secretaria","2014-11-05","","1.11428571"
"P_EST-Secretaria","2014-10-31","","0.1"
"P_EST-Secretaria","2014-10-30","","0.4625"
"P_EST-Secretaria","2014-10-29","","0.5875"
"P_EST-Secretaria","2014-10-28","","0.64583333"
"P_EST-Secretaria","2014-10-27","","0.925"
"P_EST-Secretaria","2014-10-26","","0.3125"
"P_EST-Secretaria","2014-10-25","","0.725"
"P_EST-Secretaria","2014-10-24","","0.75833333"
"P_EST-Secretaria","2014-10-23","","0.7"
"P_EST-Secretaria","2014-10-22","","0.67083333"
"P_EST-Secretaria","2014-10-21","","0.5625"
"P_EST-Secretaria","2014-10-20","","0.29583333"
"P_EST-Secretaria","2014-10-19","","0.39166667"
"P_EST-Secretaria","2014-10-18","","0.47916667"
"P_EST-Secretaria","2014-10-17","","0.52083333"
