"Estacion","Fecha inicial","Fecha final","CO"
"P_Poblado","2010-10-28","","1.75145641"
"P_Poblado","2010-10-27","","1.7912445"
"P_Poblado","2010-10-26","","1.75807292"
"P_Poblado","2010-10-25","","1.98634325"
"P_Poblado","2010-10-24","","1.65811975"
"P_Poblado","2010-10-23","","1.98264275"
"P_Poblado","2010-10-22","","2.17202367"
"P_Poblado","2010-10-21","","1.83675071"
"P_Poblado","2010-10-20","","1.70992308"
"P_Poblado","2010-10-19","","1.78072425"
"P_Poblado","2010-10-18","","1.66504954"
"P_Poblado","2010-10-17","","1.79471138"
"P_Poblado","2010-10-16","","1.99975325"
"P_Poblado","2010-10-15","","1.72964663"
"P_Poblado","2010-10-14","","1.77393418"
"P_Poblado","2010-10-13","","1.66177308"
"P_Poblado","2010-10-12","","1.6425975"
"P_Poblado","2010-10-11","","1.64238742"
"P_Poblado","2010-10-10","","1.49206178"
"P_Poblado","2010-10-09","","1.59144708"
"P_Poblado","2010-10-08","","1.76995717"
"P_Poblado","2010-10-07","","1.69535263"
"P_Poblado","2010-10-06","","1.62086542"
"P_Poblado","2010-10-05","","1.63986292"
"P_Poblado","2010-10-04","","1.62303929"
"P_Poblado","2010-10-03","","1.68431692"
"P_Poblado","2010-10-02","","1.62893642"
"P_Poblado","2010-10-01","","1.57282788"
"P_Poblado","2010-09-30","","1.53458925"
"P_Poblado","2010-09-29","","1.57413763"
"P_Poblado","2010-09-28","","1.51529654"
"P_Poblado","2010-09-27","","1.49837587"
"P_Poblado","2010-09-26","","1.33167"
"P_Poblado","2010-09-25","","1.60831579"
"P_Poblado","2010-09-24","","1.70046067"
"P_Poblado","2010-09-23","","2.02304492"
"P_Poblado","2010-09-22","","1.67203842"
"P_Poblado","2010-09-21","","1.85705442"
"P_Poblado","2010-09-20","","1.51315675"
"P_Poblado","2010-09-19","","1.406679"
"P_Poblado","2010-09-18","","1.68604613"
"P_Poblado","2010-09-17","","1.56178979"
"P_Poblado","2010-09-16","","1.62829025"
"P_Poblado","2010-09-15","","1.4593491"
"P_Poblado","2010-09-14","","1.60806996"
"P_Poblado","2010-09-13","","1.54908875"
"P_Poblado","2010-09-12","","1.34836913"
"P_Poblado","2010-09-11","","1.53659796"
"P_Poblado","2010-09-10","","1.65272842"
"P_Poblado","2010-09-09","","1.4859645"
"P_Poblado","2010-09-08","","1.48588242"
"P_Poblado","2010-09-07","","1.61464479"
"P_Poblado","2010-09-06","","1.60291305"
"P_Poblado","2010-09-05","","1.28416721"
"P_Poblado","2010-09-04","","1.45606979"
"P_Poblado","2010-09-03","","1.51999904"
"P_Poblado","2010-09-02","","1.57737542"
"P_Poblado","2010-09-01","","1.44698533"
"P_Poblado","2010-08-31","","1.46128992"
"P_Poblado","2010-08-30","","1.39803504"
"P_Poblado","2010-08-29","","1.31179035"
"P_Poblado","2010-08-28","","1.44895075"
"P_Poblado","2010-08-27","","1.59271638"
"P_Poblado","2010-08-26","","1.63983233"
"P_Poblado","2010-08-25","","1.57969396"
"P_Poblado","2010-08-24","","1.49109479"
"P_Poblado","2010-08-23","","1.67094946"
"P_Poblado","2010-08-22","","1.41719109"
"P_Poblado","2010-08-21","","1.51415292"
"P_Poblado","2010-08-20","","1.6254613"
"P_Poblado","2010-08-19","","1.55924354"
"P_Poblado","2010-08-18","","1.53253075"
"P_Poblado","2010-08-17","","1.44765017"
"P_Poblado","2010-08-16","","1.1626792"
"P_Poblado","2010-08-15","","1.18641336"
"P_Poblado","2010-08-14","","1.29163171"
"P_Poblado","2010-08-13","","1.36780608"
"P_Poblado","2010-08-12","","1.38509988"
"P_Poblado","2010-08-11","","1.44719892"
"P_Poblado","2010-08-10","","1.42109975"
"P_Poblado","2010-08-09","","1.50809165"
"P_Poblado","2010-08-08","","1.33114538"
"P_Poblado","2010-08-07","","1.45833546"
"P_Poblado","2010-08-06","","1.5885205"
