"Estacion","Fecha inicial","Fecha final","PM10"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-30","","42.14286041"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-29","","44.26943642"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-28","","51.49369454"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-27","","37.06552911"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-26","","33.05657472"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-25","","46.11111403"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-24","","40.4759276"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-23","","46.12128894"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-22","","53.03012101"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-21","","50.81196841"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-20","","75.29304204"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-19","","25.7037422"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-18","","34.32845187"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-17","","34.07407594"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-16","","52.62311975"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-15","","43.85226123"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-14","","48.20930832"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-13","","40.1078577"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-12","","43.73546949"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-11","","39.21245654"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-10","","36.40415374"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-09","","46.03944646"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-08","","35.81488775"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-07","","32.96499928"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-06","","40.78958233"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-05","","43.71423497"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-04","","27.14489369"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-03","","21.33496267"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-02","","25.81196753"
"Plaza de Mercado Caldas - COPERPLAZA","2013-11-01","","26.11444261"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-31","","39.11070633"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-30","","50.64464601"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-29","","60.78347969"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-28","","53.51409738"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-27","","39.61945685"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-26","","50.21164266"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-25","","60.69190391"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-24","","53.9967467"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-23","","58.26007548"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-22","","38.67965525"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-21","","29.95504639"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-20","","34.18600102"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-19","","39.54823159"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-18","","65.95238487"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-17","","39.46683153"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-16","","53.85429597"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-15","","57.78229378"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-14","","42.5193345"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-13","","43.64661879"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-12","","54.99389736"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-11","","48.85836601"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-10","","40.5046831"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-09","","53.55922218"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-08","","52.70452062"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-07","","48.98046621"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-06","","34.05239926"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-05","","46.67800753"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-04","","40.84045827"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-03","","57.91412608"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-02","","36.54748842"
"Plaza de Mercado Caldas - COPERPLAZA","2013-10-01","","60.68712842"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-30","","42.62015954"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-29","","36.91968791"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-28","","37.70655452"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-27","","56.57637968"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-26","","59.2899643"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-25","","49.07204175"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-24","","50.2523431"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-23","","62.14508135"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-22","","48.41066556"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-21","","325.22181718"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-20","","318.46560991"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-19","","52.51119471"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-18","","80.88929788"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-17","","48.70441408"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-16","","43.06878525"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-15","","68.89296214"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-14","","64.20228275"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-13","","63.53073271"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-12","","67.26363356"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-11","","55.43433026"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-10","","42.28938141"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-09","","62.00854988"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-08","","48.80749152"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-07","","64.28014432"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-06","","56.21489851"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-05","","63.46968206"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-04","","85.79365508"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-03","","48.88889162"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-02","","46.76231424"
"Plaza de Mercado Caldas - COPERPLAZA","2013-09-01","","45.13431231"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-31","","56.38787421"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-30","","60.33577855"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-29","","51.23931925"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-28","","54.251122"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-27","","56.22507517"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-26","","44.03275697"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-25","","40.25585747"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-24","","45.18315277"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-23","","58.39810197"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-22","","54.69882202"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-21","","51.95333962"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-20","","47.70859003"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-19","","37.18762946"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-18","","38.71242714"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-17","","51.11400534"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-16","","66.5961843"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-15","","65.29748396"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-14","","59.32845219"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-13","","54.52584775"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-12","","43.18071077"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-11","","34.15751085"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-10","","52.13181269"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-09","","48.44959628"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-08","","52.84115691"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-07","","63.90853368"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-06","","70.5311389"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-05","","52.84115564"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-04","","47.93706512"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-03","","57.04969224"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-02","","54.18299294"
"Plaza de Mercado Caldas - COPERPLAZA","2013-08-01","","49.30606635"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-31","","63.44933168"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-30","","62.86325054"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-29","","45.26196254"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-28","","39.05319575"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-27","","51.90069548"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-26","","57.93447558"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-25","","52.74812771"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-24","","61.53457893"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-23","","46.4926765"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-22","","51.55038316"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-21","","40.40293256"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-20","","51.60296544"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-19","","61.66870459"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-18","","53.45039368"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-17","","56.00918612"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-16","","57.89959063"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-15","","70.86968994"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-14","","62.00854902"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-13","","67.28327503"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-12","","64.72120794"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-11","","56.67858959"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-10","","59.87392077"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-09","","55.66267378"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-08","","40.77940834"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-07","","41.67771603"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-06","","57.03907472"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-05","","80.59083282"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-04","","69.4200285"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-03","","72.38513384"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-02","","54.31798572"
"Plaza de Mercado Caldas - COPERPLAZA","2013-07-01","","46.0699048"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-30","","52.54579029"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-29","","70.77977857"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-28","","64.5563719"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-27","","66.28612367"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-26","","74.3779339"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-25","","59.15683407"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-24","","59.1928152"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-23","","61.1294281"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-22","","79.84366044"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-21","","72.42258055"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-20","","76.43547556"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-19","","83.74459093"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-18","","76.67388431"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-17","","70.33046888"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-16","","50.98000127"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-15","","89.19152687"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-14","","71.87867954"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-13","","60.56776794"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-12","","64.06620291"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-11","","82.46809006"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-10","","57.18966516"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-09","","57.83068991"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-08","","71.77045441"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-07","","75.37518345"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-06","","74.50646089"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-05","","72.06672781"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-04","","63.07637102"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-03","","53.55718676"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-02","","57.9031123"
"Plaza de Mercado Caldas - COPERPLAZA","2013-06-01","","63.16239516"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-31","","51.94749994"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-30","","63.55367158"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-29","","89.29315036"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-28","","73.3882803"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-27","","65.30932387"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-26","","54.99894084"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-25","","68.32433941"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-24","","54.30736221"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-23","","49.51215779"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-22","","61.16809328"
"Plaza de Mercado Caldas - COPERPLAZA","2013-05-21","","67.76105831"
