"Estacion","Fecha inicial","Fecha final","PM2.5"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-31","","10.70979565"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-30","","13.70165792"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-29","","12.93779875"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-28","","12.26336542"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-27","","7.23431875"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-26","","10.76919875"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-25","","10.80820917"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-24","","14.87934833"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-23","","14.52890667"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-22","","16.9218525"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-21","","12.8899275"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-20","","9.84264167"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-19","","12.02251125"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-18","","14.97977708"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-17","","16.90742875"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-16","","9.90935083"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-15","","15.69290958"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-14","","13.112995"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-13","","7.74813625"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-12","","11.47161917"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-11","","15.19264583"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-10","","10.32019042"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-09","","13.34538417"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-08","","11.61608375"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-07","","10.89438042"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-06","","11.9787875"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-05","","6.93111833"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-04","","16.63905"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-03","","13.52913292"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-02","","12.7667125"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-10-01","","9.39166667"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-30","","14.54688"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-29","","11.90711958"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-28","","14.32541"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-27","","20.75825625"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-26","","13.72420833"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-25","","13.6013175"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-24","","12.18887333"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-23","","12.78772875"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-22","","10.05904917"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-21","","8.26275792"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-20","","10.21242625"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-19","","13.9573175"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-18","","19.187315"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-17","","15.912185"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-16","","12.34044208"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-15","","11.18781208"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-14","","12.07205292"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-13","","15.60517708"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-12","","17.4822475"
"SAN CRISTOBAL - PARQUE BIBLIOTECA FERNANDO BOTERO","2025-09-11","","14.55325167"
