"Estacion","Fecha inicial","Fecha final","CO"
"TANQUES EPM - GIRARDOTA","2025-10-31","","470.69468826"
"TANQUES EPM - GIRARDOTA","2025-10-30","","484.81664333"
"TANQUES EPM - GIRARDOTA","2025-10-29","","460.4956725"
"TANQUES EPM - GIRARDOTA","2025-10-28","","628.56887667"
"TANQUES EPM - GIRARDOTA","2025-10-27","","712.27558667"
"TANQUES EPM - GIRARDOTA","2025-10-26","","492.38942208"
"TANQUES EPM - GIRARDOTA","2025-10-25","","821.01743292"
"TANQUES EPM - GIRARDOTA","2025-10-24","","1225.57110292"
"TANQUES EPM - GIRARDOTA","2025-10-23","","907.24692458"
"TANQUES EPM - GIRARDOTA","2025-10-22","","1042.56991583"
"TANQUES EPM - GIRARDOTA","2025-10-21","","535.31547917"
"TANQUES EPM - GIRARDOTA","2025-10-20","","497.56020417"
"TANQUES EPM - GIRARDOTA","2025-10-19","","559.50665"
"TANQUES EPM - GIRARDOTA","2025-10-18","","607.32738167"
"TANQUES EPM - GIRARDOTA","2025-10-17","","712.73759333"
"TANQUES EPM - GIRARDOTA","2025-10-16","","721.1774225"
"TANQUES EPM - GIRARDOTA","2025-10-15","","769.73287958"
"TANQUES EPM - GIRARDOTA","2025-10-14","","608.290175"
"TANQUES EPM - GIRARDOTA","2025-10-13","","677.86568708"
"TANQUES EPM - GIRARDOTA","2025-10-12","","719.82360708"
"TANQUES EPM - GIRARDOTA","2025-10-11","","952.72028042"
"TANQUES EPM - GIRARDOTA","2025-10-10","","949.36622458"
"TANQUES EPM - GIRARDOTA","2025-10-09","","1001.60775"
"TANQUES EPM - GIRARDOTA","2025-10-08","","964.68933458"
"TANQUES EPM - GIRARDOTA","2025-10-07","","332.52758542"
"TANQUES EPM - GIRARDOTA","2025-10-06","","172.47873208"
"TANQUES EPM - GIRARDOTA","2025-10-05","","133.77636458"
"TANQUES EPM - GIRARDOTA","2025-10-04","","159.42254792"
"TANQUES EPM - GIRARDOTA","2025-10-03","","234.99943583"
"TANQUES EPM - GIRARDOTA","2025-10-02","","325.30873042"
"TANQUES EPM - GIRARDOTA","2025-10-01","","570.90583"
"TANQUES EPM - GIRARDOTA","2025-09-30","","403.99962217"
"TANQUES EPM - GIRARDOTA","2025-09-29","","255.90483333"
"TANQUES EPM - GIRARDOTA","2025-09-28","","270.25239958"
"TANQUES EPM - GIRARDOTA","2025-09-27","","556.91201917"
"TANQUES EPM - GIRARDOTA","2025-09-26","","594.9563825"
"TANQUES EPM - GIRARDOTA","2025-09-25","","539.14022167"
"TANQUES EPM - GIRARDOTA","2025-09-24","","287.60368333"
"TANQUES EPM - GIRARDOTA","2025-09-23","","352.58910917"
"TANQUES EPM - GIRARDOTA","2025-09-22","","327.36134792"
"TANQUES EPM - GIRARDOTA","2025-09-21","","474.00071917"
"TANQUES EPM - GIRARDOTA","2025-09-20","","495.4895075"
"TANQUES EPM - GIRARDOTA","2025-09-19","","661.28326375"
"TANQUES EPM - GIRARDOTA","2025-09-18","","670.23709583"
"TANQUES EPM - GIRARDOTA","2025-09-17","","611.61408125"
"TANQUES EPM - GIRARDOTA","2025-09-16","","604.26350458"
"TANQUES EPM - GIRARDOTA","2025-09-15","","520.50556"
"TANQUES EPM - GIRARDOTA","2025-09-14","","528.78339167"
"TANQUES EPM - GIRARDOTA","2025-09-13","","550.74238875"
"TANQUES EPM - GIRARDOTA","2025-09-12","","533.14636833"
"TANQUES EPM - GIRARDOTA","2025-09-11","","434.26094583"
"TANQUES EPM - GIRARDOTA","2025-09-10","","446.74982042"
"TANQUES EPM - GIRARDOTA","2025-09-09","","503.46779625"
"TANQUES EPM - GIRARDOTA","2025-09-08","","574.63808667"
"TANQUES EPM - GIRARDOTA","2025-09-07","","639.16584333"
"TANQUES EPM - GIRARDOTA","2025-09-06","","697.94370333"
"TANQUES EPM - GIRARDOTA","2025-09-05","","733.03103458"
"TANQUES EPM - GIRARDOTA","2025-09-04","","689.54441958"
"TANQUES EPM - GIRARDOTA","2025-09-03","","626.59768667"
"TANQUES EPM - GIRARDOTA","2025-09-02","","592.01014042"
"TANQUES EPM - GIRARDOTA","2025-09-01","","648.79834917"
"TANQUES EPM - GIRARDOTA","2025-08-31","","744.30668473"
"TANQUES EPM - GIRARDOTA","2025-08-30","","768.71365419"
"TANQUES EPM - GIRARDOTA","2025-08-29","","743.30836468"
"TANQUES EPM - GIRARDOTA","2025-08-28","","631.13624053"
"TANQUES EPM - GIRARDOTA","2025-08-27","","409.81070016"
"TANQUES EPM - GIRARDOTA","2025-08-26","","261.06719621"
"TANQUES EPM - GIRARDOTA","2025-08-25","","191.9811079"
"TANQUES EPM - GIRARDOTA","2025-08-24","","142.69846549"
"TANQUES EPM - GIRARDOTA","2025-08-23","","243.11913684"
"TANQUES EPM - GIRARDOTA","2025-08-22","","181.4139033"
"TANQUES EPM - GIRARDOTA","2025-08-21","","171.85824938"
"TANQUES EPM - GIRARDOTA","2025-08-20","","216.3931879"
"TANQUES EPM - GIRARDOTA","2025-08-19","","179.17858165"
"TANQUES EPM - GIRARDOTA","2025-08-18","","147.59781692"
"TANQUES EPM - GIRARDOTA","2025-08-17","","273.94021946"
"TANQUES EPM - GIRARDOTA","2025-08-16","","426.16624791"
"TANQUES EPM - GIRARDOTA","2025-08-15","","428.12925484"
