"Estacion","Fecha inicial","Fecha final","DViento"
"TANQUES EPM - GIRARDOTA","2025-10-31","","97.19426087"
"TANQUES EPM - GIRARDOTA","2025-10-30","","99.15645833"
"TANQUES EPM - GIRARDOTA","2025-10-29","","83.92529167"
"TANQUES EPM - GIRARDOTA","2025-10-28","","147.09591667"
"TANQUES EPM - GIRARDOTA","2025-10-27","","254.29204167"
"TANQUES EPM - GIRARDOTA","2025-10-26","","126.854875"
"TANQUES EPM - GIRARDOTA","2025-10-25","","152.40225"
"TANQUES EPM - GIRARDOTA","2025-10-24","","213.310375"
"TANQUES EPM - GIRARDOTA","2025-10-23","","202.70208333"
"TANQUES EPM - GIRARDOTA","2025-10-22","","202.25895833"
"TANQUES EPM - GIRARDOTA","2025-10-21","","156.206875"
"TANQUES EPM - GIRARDOTA","2025-10-20","","117.62745833"
"TANQUES EPM - GIRARDOTA","2025-10-19","","129.80029167"
"TANQUES EPM - GIRARDOTA","2025-10-18","","115.72508333"
"TANQUES EPM - GIRARDOTA","2025-10-17","","157.81033333"
"TANQUES EPM - GIRARDOTA","2025-10-16","","177.961125"
"TANQUES EPM - GIRARDOTA","2025-10-15","","74.90108333"
"TANQUES EPM - GIRARDOTA","2025-10-14","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-13","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-12","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-11","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-10","","109.270875"
"TANQUES EPM - GIRARDOTA","2025-10-09","","182.33933333"
"TANQUES EPM - GIRARDOTA","2025-10-08","","187.63258333"
"TANQUES EPM - GIRARDOTA","2025-10-07","","96.42404167"
"TANQUES EPM - GIRARDOTA","2025-10-06","","102.7135"
"TANQUES EPM - GIRARDOTA","2025-10-05","","114.45925"
"TANQUES EPM - GIRARDOTA","2025-10-04","","90.9905"
"TANQUES EPM - GIRARDOTA","2025-10-03","","117.69645833"
"TANQUES EPM - GIRARDOTA","2025-10-02","","121.51779167"
"TANQUES EPM - GIRARDOTA","2025-10-01","","141.91908333"
"TANQUES EPM - GIRARDOTA","2025-09-30","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-29","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-28","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-27","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-26","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-25","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-24","","72.41675"
"TANQUES EPM - GIRARDOTA","2025-09-23","","130.723125"
"TANQUES EPM - GIRARDOTA","2025-09-22","","91.843875"
"TANQUES EPM - GIRARDOTA","2025-09-21","","113.28133333"
"TANQUES EPM - GIRARDOTA","2025-09-20","","146.13495833"
"TANQUES EPM - GIRARDOTA","2025-09-19","","95.89166667"
"TANQUES EPM - GIRARDOTA","2025-09-18","","120.47679167"
"TANQUES EPM - GIRARDOTA","2025-09-17","","114.87233333"
"TANQUES EPM - GIRARDOTA","2025-09-16","","122.79125"
"TANQUES EPM - GIRARDOTA","2025-09-15","","119.05445833"
"TANQUES EPM - GIRARDOTA","2025-09-14","","100.01404167"
"TANQUES EPM - GIRARDOTA","2025-09-13","","129.919125"
"TANQUES EPM - GIRARDOTA","2025-09-12","","116.71566667"
"TANQUES EPM - GIRARDOTA","2025-09-11","","129.37795833"
"TANQUES EPM - GIRARDOTA","2025-09-10","","129.93158333"
"TANQUES EPM - GIRARDOTA","2025-09-09","","148.41525"
"TANQUES EPM - GIRARDOTA","2025-09-08","","44.12858333"
"TANQUES EPM - GIRARDOTA","2025-09-07","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-06","","115.873375"
"TANQUES EPM - GIRARDOTA","2025-09-05","","77.88529167"
"TANQUES EPM - GIRARDOTA","2025-09-04","","122.50666667"
"TANQUES EPM - GIRARDOTA","2025-09-03","","131.48220833"
"TANQUES EPM - GIRARDOTA","2025-09-02","","118.61054167"
"TANQUES EPM - GIRARDOTA","2025-09-01","","131.51816667"
"TANQUES EPM - GIRARDOTA","2025-08-31","","109.75907225"
