"Estacion","Fecha inicial","Fecha final","HAire10"
"TANQUES EPM - GIRARDOTA","2025-10-31","","76.76347826"
"TANQUES EPM - GIRARDOTA","2025-10-30","","83.33254167"
"TANQUES EPM - GIRARDOTA","2025-10-29","","81.27108333"
"TANQUES EPM - GIRARDOTA","2025-10-28","","77.17195833"
"TANQUES EPM - GIRARDOTA","2025-10-27","","82.00108333"
"TANQUES EPM - GIRARDOTA","2025-10-26","","85.426875"
"TANQUES EPM - GIRARDOTA","2025-10-25","","83.19554167"
"TANQUES EPM - GIRARDOTA","2025-10-24","","85.85941667"
"TANQUES EPM - GIRARDOTA","2025-10-23","","86.51645833"
"TANQUES EPM - GIRARDOTA","2025-10-22","","90.25154167"
"TANQUES EPM - GIRARDOTA","2025-10-21","","81.77995833"
"TANQUES EPM - GIRARDOTA","2025-10-20","","82.05504167"
"TANQUES EPM - GIRARDOTA","2025-10-19","","74.20254167"
"TANQUES EPM - GIRARDOTA","2025-10-18","","80.579"
"TANQUES EPM - GIRARDOTA","2025-10-17","","85.02725"
"TANQUES EPM - GIRARDOTA","2025-10-16","","82.93716667"
"TANQUES EPM - GIRARDOTA","2025-10-15","","37.10708333"
"TANQUES EPM - GIRARDOTA","2025-10-14","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-13","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-12","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-11","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-10","","50.21620833"
"TANQUES EPM - GIRARDOTA","2025-10-09","","78.08004167"
"TANQUES EPM - GIRARDOTA","2025-10-08","","86.962125"
"TANQUES EPM - GIRARDOTA","2025-10-07","","77.10541667"
"TANQUES EPM - GIRARDOTA","2025-10-06","","82.60570833"
"TANQUES EPM - GIRARDOTA","2025-10-05","","77.29283333"
"TANQUES EPM - GIRARDOTA","2025-10-04","","76.39933333"
"TANQUES EPM - GIRARDOTA","2025-10-03","","77.81879167"
"TANQUES EPM - GIRARDOTA","2025-10-02","","75.19758333"
"TANQUES EPM - GIRARDOTA","2025-10-01","","77.03154167"
"TANQUES EPM - GIRARDOTA","2025-09-30","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-29","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-28","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-27","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-26","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-25","","0.0"
"TANQUES EPM - GIRARDOTA","2025-09-24","","35.5795"
"TANQUES EPM - GIRARDOTA","2025-09-23","","70.44941667"
"TANQUES EPM - GIRARDOTA","2025-09-22","","74.027375"
"TANQUES EPM - GIRARDOTA","2025-09-21","","71.454"
"TANQUES EPM - GIRARDOTA","2025-09-20","","74.497"
"TANQUES EPM - GIRARDOTA","2025-09-19","","85.692125"
"TANQUES EPM - GIRARDOTA","2025-09-18","","91.17975"
"TANQUES EPM - GIRARDOTA","2025-09-17","","80.37608333"
"TANQUES EPM - GIRARDOTA","2025-09-16","","71.26066667"
"TANQUES EPM - GIRARDOTA","2025-09-15","","67.27183333"
"TANQUES EPM - GIRARDOTA","2025-09-14","","74.52375"
"TANQUES EPM - GIRARDOTA","2025-09-13","","66.69545833"
"TANQUES EPM - GIRARDOTA","2025-09-12","","70.489875"
"TANQUES EPM - GIRARDOTA","2025-09-11","","70.34925"
"TANQUES EPM - GIRARDOTA","2025-09-10","","68.85491667"
"TANQUES EPM - GIRARDOTA","2025-09-09","","68.43"
