"Estacion","Fecha inicial","Fecha final","NO"
"TANQUES EPM - GIRARDOTA","2025-10-31","","6.70567261"
"TANQUES EPM - GIRARDOTA","2025-10-30","","9.27088708"
"TANQUES EPM - GIRARDOTA","2025-10-29","","8.88621125"
"TANQUES EPM - GIRARDOTA","2025-10-28","","8.31710042"
"TANQUES EPM - GIRARDOTA","2025-10-27","","10.32811"
"TANQUES EPM - GIRARDOTA","2025-10-26","","6.27836875"
"TANQUES EPM - GIRARDOTA","2025-10-25","","13.55898375"
"TANQUES EPM - GIRARDOTA","2025-10-24","","25.64593667"
"TANQUES EPM - GIRARDOTA","2025-10-23","","19.50447292"
"TANQUES EPM - GIRARDOTA","2025-10-22","","18.64301958"
"TANQUES EPM - GIRARDOTA","2025-10-21","","7.225025"
"TANQUES EPM - GIRARDOTA","2025-10-20","","1.07561542"
"TANQUES EPM - GIRARDOTA","2025-10-19","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-18","","0.0"
"TANQUES EPM - GIRARDOTA","2025-10-17","","6.68428667"
"TANQUES EPM - GIRARDOTA","2025-10-16","","8.56702875"
"TANQUES EPM - GIRARDOTA","2025-10-15","","15.78174167"
"TANQUES EPM - GIRARDOTA","2025-10-14","","7.55102"
"TANQUES EPM - GIRARDOTA","2025-10-13","","12.51064083"
"TANQUES EPM - GIRARDOTA","2025-10-12","","4.40861625"
"TANQUES EPM - GIRARDOTA","2025-10-11","","20.64545375"
"TANQUES EPM - GIRARDOTA","2025-10-10","","13.5376375"
"TANQUES EPM - GIRARDOTA","2025-10-09","","14.51790542"
"TANQUES EPM - GIRARDOTA","2025-10-08","","13.71661458"
"TANQUES EPM - GIRARDOTA","2025-10-07","","4.36064125"
"TANQUES EPM - GIRARDOTA","2025-10-06","","7.56204333"
"TANQUES EPM - GIRARDOTA","2025-10-05","","2.87367"
"TANQUES EPM - GIRARDOTA","2025-10-04","","3.28419833"
"TANQUES EPM - GIRARDOTA","2025-10-03","","5.894075"
"TANQUES EPM - GIRARDOTA","2025-10-02","","6.375615"
"TANQUES EPM - GIRARDOTA","2025-10-01","","14.89583667"
"TANQUES EPM - GIRARDOTA","2025-09-30","","12.63478478"
"TANQUES EPM - GIRARDOTA","2025-09-29","","2.1554"
